Name,Country,Industry,Net Worth (in billions),Company
Rob Walton,Mexico,Finance,8.5,Walmart
Sergey Brin,USA,Automotive,44.76,Google
Steve Ballmer,USA,Manufacturing,13.43,Koch Industries
Mukesh Ambani,USA,Technology,120.44,Google
Jim Walton,USA,Fashion,122.39,Walmart
Sergey Brin,USA,Technology,93.19,Walmart
Michael Bloomberg,USA,Cosmetics,117.96,Reliance Industries
Warren Buffett,France,Retail,36.62,Microsoft
Carlos Slim,USA,Technology,97.35,Reliance Industries
Larry Page,USA,Technology,88.05,Walmart
Rob Walton,France,Technology,29.31,Berkshire Hathaway
Alice Walton,USA,Technology,167.09,Zara
Larry Page,USA,Technology,60.75,Reliance Industries
Alice Walton,USA,Technology,192.96,Oracle
Larry Ellison,USA,Technology,71.13,Google
Bernard Arnault,USA,Manufacturing,10.82,Google
Larry Page,USA,Technology,90.08,Amazon
Larry Ellison,USA,Media,167.65,Koch Industries
Rob Walton,USA,Media,6.94,LVMH
Larry Page,USA,Technology,184.8,Berkshire Hathaway
Mukesh Ambani,France,Cosmetics,17.46,Microsoft
Jeff Bezos,USA,Cosmetics,117.13,Grupo Carso
Amancio Ortega,USA,Manufacturing,197.26,Zara
Amancio Ortega,USA,Petrochemicals,47.87,Google
Bernard Arnault,USA,Fashion,127.9,Zara
Mark Zuckerberg,USA,Technology,175.15,Google
Bernard Arnault,USA,Technology,53.96,Koch Industries
Michael Bloomberg,USA,Retail,148.66,Zara
Larry Ellison,USA,Fashion,72.35,Berkshire Hathaway
Charles Koch,Spain,Technology,30.55,Koch Industries
Bill Gates,France,Media,167.65,Facebook
Francoise Bettencourt Meyers,USA,Cosmetics,29.77,Walmart
Rob Walton,USA,Retail,65.8,Walmart
Mark Zuckerberg,USA,Cosmetics,120.51,Oracle
Mark Zuckerberg,USA,Technology,171.94,Microsoft
Jim Walton,USA,Technology,3.69,Tesla
Alice Walton,USA,Retail,92.64,Zara
Sergey Brin,USA,Automotive,29.97,Oracle
Rob Walton,USA,Retail,54.67,Facebook
Larry Page,Mexico,Automotive,49.35,Tesla
Warren Buffett,USA,Retail,52.33,Walmart
Jeff Bezos,USA,Technology,126.21,Berkshire Hathaway
Larry Page,USA,Retail,157.22,Berkshire Hathaway
Mark Zuckerberg,USA,Technology,87.06,Walmart
Rob Walton,USA,Technology,36.79,Tesla
Bill Gates,France,Retail,88.94,Walmart
Bill Gates,USA,Technology,104.75,Microsoft
Jim Walton,USA,Technology,196.19,Walmart
Elon Musk,USA,Technology,76.65,LVMH
Larry Ellison,USA,Technology,21.69,Bloomberg LP
Charles Koch,USA,Finance,109.62,Google
Warren Buffett,USA,Retail,61.5,Koch Industries
Jeff Bezos,Mexico,Technology,167.46,Oracle
David Koch,Spain,Media,112.09,Microsoft
Jeff Bezos,USA,Retail,24.15,Walmart
Michael Bloomberg,USA,Manufacturing,139.47,Walmart
Amancio Ortega,India,Manufacturing,109.61,Grupo Carso
Rob Walton,USA,Retail,100.89,Google
Warren Buffett,France,Technology,86.58,Walmart
Sergey Brin,USA,Manufacturing,160.64,Grupo Carso
Amancio Ortega,USA,Technology,70.01,Microsoft
Michael Bloomberg,USA,Technology,53.09,Facebook
Jeff Bezos,France,Petrochemicals,106.39,Walmart
David Koch,USA,Technology,186.37,LVMH
Sergey Brin,USA,Technology,177.1,Grupo Carso
Warren Buffett,USA,Retail,100.8,Tesla
Larry Ellison,France,Technology,36.0,Microsoft
Alice Walton,France,Retail,44.35,Zara
Amancio Ortega,USA,Technology,180.02,Berkshire Hathaway
Francoise Bettencourt Meyers,USA,Technology,105.8,Tesla
Amancio Ortega,USA,Media,169.08,Oracle
Bernard Arnault,USA,Technology,84.27,Zara
Rob Walton,USA,Technology,22.88,Oracle
Amancio Ortega,USA,Manufacturing,48.99,Facebook
Michael Bloomberg,USA,Petrochemicals,57.78,Microsoft
Amancio Ortega,USA,Manufacturing,90.12,Reliance Industries
Michael Bloomberg,France,Retail,57.85,Google
Amancio Ortega,USA,Automotive,134.06,Reliance Industries
Mukesh Ambani,Spain,Manufacturing,59.33,L'Oreal
Bill Gates,USA,Technology,33.51,Walmart
Michael Bloomberg,India,Retail,194.72,Koch Industries
Charles Koch,USA,Manufacturing,170.55,Facebook
Michael Bloomberg,France,Petrochemicals,123.94,Google
Bernard Arnault,France,Technology,145.87,Reliance Industries
Carlos Slim,France,Retail,87.52,Walmart
Mukesh Ambani,USA,Technology,17.86,Bloomberg LP
Alice Walton,USA,Retail,164.98,Microsoft
Amancio Ortega,France,Retail,82.74,Koch Industries
Bernard Arnault,USA,Retail,70.21,Walmart
Bill Gates,India,Technology,48.59,Walmart
Alice Walton,India,Retail,138.61,Reliance Industries
Larry Ellison,USA,Manufacturing,199.0,Walmart
Francoise Bettencourt Meyers,Mexico,Manufacturing,176.38,L'Oreal
Rob Walton,Spain,Technology,90.74,Amazon
Bill Gates,USA,Technology,166.25,Facebook
Elon Musk,USA,Cosmetics,51.1,Facebook
Carlos Slim,USA,Manufacturing,11.47,Reliance Industries
David Koch,USA,Retail,166.63,Facebook
Rob Walton,USA,Technology,112.08,Zara
Michael Bloomberg,USA,Technology,194.32,Walmart
Mark Zuckerberg,USA,Technology,191.69,Grupo Carso
Larry Ellison,France,Technology,72.93,Oracle
Bill Gates,USA,Automotive,183.94,Microsoft
Steve Ballmer,USA,Telecommunications,8.24,Walmart
Rob Walton,France,Fashion,109.29,Koch Industries
David Koch,USA,Technology,194.15,Grupo Carso
Mukesh Ambani,USA,Retail,142.51,Amazon
Elon Musk,USA,Cosmetics,105.84,Microsoft
Mukesh Ambani,USA,Cosmetics,120.69,Amazon
Jim Walton,France,Technology,141.84,Bloomberg LP
David Koch,Mexico,Manufacturing,11.51,Amazon
Elon Musk,USA,Technology,193.83,Walmart
Larry Ellison,India,Technology,77.0,Zara
Steve Ballmer,India,Manufacturing,4.6,Walmart
Alice Walton,Spain,Retail,80.54,LVMH
Amancio Ortega,France,Retail,199.2,L'Oreal
Steve Ballmer,USA,Manufacturing,178.0,LVMH
Sergey Brin,USA,Technology,41.71,L'Oreal
Steve Ballmer,USA,Retail,88.0,Microsoft
Mukesh Ambani,USA,Automotive,175.34,Koch Industries
Warren Buffett,France,Petrochemicals,66.6,Tesla
Mukesh Ambani,Spain,Manufacturing,186.81,Koch Industries
Charles Koch,USA,Telecommunications,106.16,Facebook
Steve Ballmer,India,Technology,46.05,LVMH
Michael Bloomberg,USA,Petrochemicals,158.29,Facebook
Larry Page,USA,Retail,93.74,Berkshire Hathaway
Michael Bloomberg,USA,Technology,119.85,Walmart
Sergey Brin,USA,Telecommunications,47.16,Koch Industries
Amancio Ortega,USA,Automotive,151.76,Walmart
Bernard Arnault,USA,Technology,29.09,Walmart
Bill Gates,USA,Technology,165.72,Bloomberg LP
Bernard Arnault,Spain,Petrochemicals,135.05,Oracle
Charles Koch,Mexico,Retail,36.22,Oracle
Larry Ellison,USA,Technology,176.83,Amazon
Rob Walton,USA,Technology,165.92,Microsoft
Charles Koch,USA,Telecommunications,173.99,Tesla
Jeff Bezos,USA,Technology,65.44,L'Oreal
Sergey Brin,USA,Manufacturing,60.56,L'Oreal
Larry Ellison,USA,Technology,55.7,Koch Industries
Carlos Slim,USA,Manufacturing,45.03,L'Oreal
Rob Walton,USA,Manufacturing,112.97,Walmart
Jeff Bezos,USA,Telecommunications,47.8,Google
Amancio Ortega,USA,Technology,174.17,Bloomberg LP
Rob Walton,USA,Retail,81.1,Walmart
Bill Gates,USA,Technology,125.14,Facebook
Elon Musk,USA,Petrochemicals,106.52,Grupo Carso
Carlos Slim,USA,Cosmetics,40.21,Reliance Industries
Elon Musk,USA,Cosmetics,182.38,Google
Bill Gates,USA,Retail,129.8,Microsoft
Mukesh Ambani,USA,Retail,150.87,LVMH
Rob Walton,USA,Petrochemicals,68.77,Tesla
Mukesh Ambani,USA,Retail,194.47,Microsoft
Michael Bloomberg,USA,Fashion,3.21,Reliance Industries
Rob Walton,USA,Retail,105.04,Facebook
Sergey Brin,USA,Technology,17.06,Walmart
Carlos Slim,USA,Technology,162.04,Google
Jeff Bezos,USA,Manufacturing,149.43,Bloomberg LP
Warren Buffett,Mexico,Retail,51.37,Tesla
Warren Buffett,USA,Technology,8.34,Amazon
Jim Walton,USA,Telecommunications,144.61,Grupo Carso
Bernard Arnault,USA,Retail,173.14,Google
Sergey Brin,USA,Technology,124.69,Facebook
Rob Walton,USA,Technology,154.84,Facebook
Francoise Bettencourt Meyers,USA,Manufacturing,161.79,Google
Michael Bloomberg,France,Cosmetics,125.62,Koch Industries
Mukesh Ambani,USA,Retail,163.08,Koch Industries
Rob Walton,USA,Automotive,103.89,L'Oreal
Francoise Bettencourt Meyers,USA,Cosmetics,134.7,Google
Larry Page,USA,Retail,185.43,Grupo Carso
Larry Page,USA,Retail,62.97,Google
Elon Musk,USA,Finance,118.35,Walmart
Bill Gates,USA,Manufacturing,78.34,Koch Industries
David Koch,USA,Retail,62.27,Zara
David Koch,USA,Retail,17.24,Bloomberg LP
Michael Bloomberg,Spain,Automotive,41.38,Facebook
Jeff Bezos,USA,Technology,161.02,Microsoft
Michael Bloomberg,USA,Technology,47.56,Oracle
Steve Ballmer,USA,Retail,179.5,L'Oreal
Alice Walton,USA,Technology,104.36,Amazon
David Koch,USA,Retail,71.56,Grupo Carso
Jim Walton,USA,Telecommunications,8.52,Google
Amancio Ortega,France,Technology,114.32,Microsoft
David Koch,France,Manufacturing,138.94,Microsoft
Jeff Bezos,USA,Technology,124.13,Microsoft
Charles Koch,Spain,Technology,65.3,Amazon
Alice Walton,USA,Automotive,7.11,Koch Industries
Mukesh Ambani,USA,Retail,160.12,Walmart
Charles Koch,USA,Petrochemicals,129.6,Grupo Carso
Steve Ballmer,USA,Retail,178.29,Walmart
Larry Page,France,Finance,149.14,Tesla
Rob Walton,USA,Fashion,3.18,LVMH
Amancio Ortega,USA,Finance,158.46,Microsoft
Rob Walton,USA,Technology,112.91,Reliance Industries
Mukesh Ambani,USA,Media,192.81,Amazon
Jeff Bezos,USA,Technology,76.1,Grupo Carso
Amancio Ortega,USA,Retail,182.09,Zara
Jeff Bezos,France,Fashion,50.12,Grupo Carso
Elon Musk,USA,Media,146.6,Berkshire Hathaway
Charles Koch,India,Technology,123.48,Walmart
Rob Walton,USA,Telecommunications,95.47,Bloomberg LP
Mukesh Ambani,USA,Retail,1.57,Walmart
Rob Walton,USA,Media,70.38,Walmart
Michael Bloomberg,Mexico,Technology,187.64,Zara
Jeff Bezos,USA,Technology,7.01,Facebook
Elon Musk,France,Fashion,150.71,LVMH
Larry Ellison,USA,Manufacturing,28.29,Walmart
Warren Buffett,USA,Cosmetics,191.67,Facebook
Michael Bloomberg,USA,Technology,43.87,Reliance Industries
Larry Ellison,Mexico,Technology,91.65,Amazon
Francoise Bettencourt Meyers,USA,Petrochemicals,43.48,Google
Jim Walton,USA,Manufacturing,79.89,Amazon
Bernard Arnault,France,Technology,101.91,Google
Jim Walton,USA,Media,192.52,Oracle
Steve Ballmer,France,Media,178.74,Tesla
Larry Page,USA,Petrochemicals,109.25,Amazon
Francoise Bettencourt Meyers,USA,Technology,53.61,Reliance Industries
Michael Bloomberg,USA,Media,123.75,Google
Francoise Bettencourt Meyers,USA,Technology,79.29,Reliance Industries
Francoise Bettencourt Meyers,Mexico,Technology,141.37,Walmart
Warren Buffett,India,Media,130.61,Bloomberg LP
Sergey Brin,Mexico,Technology,183.31,Bloomberg LP
Larry Page,USA,Finance,125.15,Grupo Carso
David Koch,USA,Technology,110.14,L'Oreal
Sergey Brin,France,Manufacturing,168.37,Oracle
Francoise Bettencourt Meyers,USA,Retail,160.39,Microsoft
Jim Walton,USA,Retail,80.8,L'Oreal
Sergey Brin,USA,Cosmetics,104.54,Amazon
Jim Walton,USA,Technology,30.12,Walmart
Mark Zuckerberg,Mexico,Media,138.77,Walmart
Amancio Ortega,France,Finance,109.41,Koch Industries
Mukesh Ambani,USA,Manufacturing,49.07,Tesla
Jim Walton,USA,Manufacturing,171.19,Tesla
Steve Ballmer,USA,Finance,58.35,Bloomberg LP
Jeff Bezos,USA,Technology,143.54,Oracle
Jeff Bezos,France,Finance,180.1,Reliance Industries
Sergey Brin,USA,Petrochemicals,38.16,Koch Industries
David Koch,France,Media,76.01,Walmart
Charles Koch,USA,Fashion,170.91,Microsoft
Rob Walton,Spain,Media,16.32,Microsoft
Alice Walton,USA,Fashion,126.92,Grupo Carso
Jeff Bezos,USA,Technology,193.13,Reliance Industries
Elon Musk,USA,Retail,165.77,Oracle
Jim Walton,France,Cosmetics,41.66,Facebook
Mark Zuckerberg,France,Retail,125.75,Zara
Warren Buffett,USA,Retail,72.82,Microsoft
Larry Ellison,USA,Fashion,14.01,Grupo Carso
Mukesh Ambani,USA,Media,161.39,Walmart
Rob Walton,USA,Telecommunications,37.69,Walmart
Mark Zuckerberg,USA,Manufacturing,158.11,Google
Francoise Bettencourt Meyers,USA,Technology,91.5,Zara
Larry Page,France,Technology,57.47,Walmart
Larry Ellison,USA,Fashion,9.33,LVMH
Mark Zuckerberg,USA,Technology,139.1,LVMH
Mukesh Ambani,USA,Manufacturing,6.48,Zara
Jeff Bezos,USA,Telecommunications,88.32,Koch Industries
Rob Walton,France,Technology,113.23,Bloomberg LP
Rob Walton,India,Technology,32.61,Google
Mukesh Ambani,USA,Retail,156.05,Koch Industries
David Koch,USA,Technology,133.09,Facebook
David Koch,Mexico,Technology,156.29,L'Oreal
Michael Bloomberg,USA,Retail,183.18,LVMH
Charles Koch,USA,Cosmetics,152.37,Reliance Industries
Michael Bloomberg,France,Technology,38.42,Bloomberg LP
Charles Koch,USA,Retail,140.57,Facebook
Alice Walton,Mexico,Petrochemicals,19.44,Oracle
Elon Musk,USA,Technology,161.85,Tesla
Elon Musk,USA,Retail,107.06,Berkshire Hathaway
Carlos Slim,USA,Telecommunications,155.89,Berkshire Hathaway
Jim Walton,France,Retail,137.32,Zara
Charles Koch,Mexico,Retail,183.95,Berkshire Hathaway
Mukesh Ambani,USA,Retail,52.09,Google
Carlos Slim,USA,Retail,88.42,L'Oreal
Larry Ellison,USA,Manufacturing,28.05,Microsoft
Carlos Slim,USA,Telecommunications,179.69,Amazon
Michael Bloomberg,USA,Retail,97.19,Microsoft
Francoise Bettencourt Meyers,USA,Technology,146.2,Koch Industries
Jim Walton,USA,Retail,170.22,LVMH
Alice Walton,USA,Manufacturing,6.03,Berkshire Hathaway
Alice Walton,France,Technology,109.99,Grupo Carso
Mark Zuckerberg,USA,Retail,173.89,Koch Industries
Bill Gates,USA,Cosmetics,29.69,Facebook
Mark Zuckerberg,USA,Retail,13.39,Oracle
Warren Buffett,USA,Petrochemicals,193.51,Amazon
Mark Zuckerberg,Spain,Manufacturing,172.82,Zara
Rob Walton,India,Retail,20.54,Zara
Amancio Ortega,Mexico,Technology,143.27,Walmart
Larry Ellison,France,Retail,168.29,Amazon
Alice Walton,France,Retail,28.72,Koch Industries
Mukesh Ambani,France,Technology,186.12,LVMH
Sergey Brin,USA,Petrochemicals,114.92,Amazon
Michael Bloomberg,USA,Retail,84.59,Microsoft
Amancio Ortega,USA,Retail,38.47,Zara
Jim Walton,USA,Technology,108.6,LVMH
Rob Walton,USA,Media,196.03,Google
Elon Musk,USA,Telecommunications,144.78,Berkshire Hathaway
Charles Koch,USA,Finance,117.8,Microsoft
Bill Gates,USA,Technology,188.28,Koch Industries
Bernard Arnault,Spain,Telecommunications,121.3,Bloomberg LP
Alice Walton,France,Technology,170.42,Facebook
Rob Walton,USA,Manufacturing,183.88,Grupo Carso
Jim Walton,USA,Technology,95.13,Walmart
Bill Gates,USA,Media,21.08,Zara
Larry Page,USA,Technology,146.96,Zara
Jim Walton,USA,Technology,52.51,Zara
Amancio Ortega,Mexico,Technology,100.56,Amazon
Mukesh Ambani,USA,Cosmetics,110.73,Koch Industries
Larry Ellison,USA,Automotive,85.24,Zara
Larry Page,USA,Retail,102.84,Koch Industries
Jim Walton,USA,Technology,127.4,Walmart
Larry Page,USA,Manufacturing,181.45,Walmart
Alice Walton,USA,Technology,118.89,Walmart
Warren Buffett,India,Technology,32.99,Walmart
Larry Ellison,India,Technology,142.77,Koch Industries
Charles Koch,USA,Media,69.19,Walmart
Amancio Ortega,USA,Automotive,117.18,Walmart
Rob Walton,USA,Automotive,58.9,Tesla
Elon Musk,USA,Retail,2.77,Reliance Industries
Alice Walton,Mexico,Finance,39.87,Reliance Industries
Michael Bloomberg,USA,Retail,192.11,Google
Francoise Bettencourt Meyers,USA,Technology,169.52,Microsoft
Mukesh Ambani,USA,Retail,152.78,Google
Mark Zuckerberg,USA,Retail,88.6,Zara
Michael Bloomberg,Spain,Petrochemicals,63.51,Koch Industries
Bill Gates,USA,Retail,123.43,LVMH
Francoise Bettencourt Meyers,USA,Technology,12.14,Facebook
Charles Koch,USA,Retail,125.83,Koch Industries
Larry Ellison,USA,Telecommunications,185.43,LVMH
Jim Walton,USA,Cosmetics,136.21,Microsoft
Bill Gates,USA,Manufacturing,45.3,Oracle
Larry Page,USA,Manufacturing,159.81,Tesla
Rob Walton,USA,Fashion,66.76,Microsoft
Sergey Brin,USA,Petrochemicals,182.44,Bloomberg LP
Sergey Brin,USA,Cosmetics,177.27,Zara
Charles Koch,India,Fashion,132.5,Walmart
Jeff Bezos,USA,Retail,98.24,Koch Industries
Alice Walton,USA,Cosmetics,101.72,Microsoft
Bernard Arnault,India,Technology,114.4,LVMH
Warren Buffett,France,Manufacturing,120.47,Koch Industries
Elon Musk,USA,Manufacturing,194.9,LVMH
Larry Ellison,Spain,Technology,29.4,Berkshire Hathaway
Rob Walton,USA,Media,81.5,LVMH
Carlos Slim,USA,Manufacturing,76.01,Zara
Larry Ellison,USA,Petrochemicals,146.09,LVMH
Warren Buffett,Spain,Retail,32.49,Koch Industries
Elon Musk,USA,Retail,68.76,Koch Industries
Bill Gates,USA,Technology,74.76,Walmart
Bernard Arnault,Spain,Telecommunications,91.9,Reliance Industries
Larry Ellison,USA,Manufacturing,160.84,Koch Industries
Mark Zuckerberg,USA,Technology,46.55,Walmart
Larry Ellison,USA,Retail,137.02,Bloomberg LP
Bernard Arnault,USA,Petrochemicals,54.98,Grupo Carso
Larry Ellison,USA,Finance,27.8,Tesla
Charles Koch,USA,Fashion,40.2,Berkshire Hathaway
Rob Walton,USA,Retail,172.43,Google
Mukesh Ambani,France,Media,143.26,Tesla
Elon Musk,USA,Technology,153.14,Google
Carlos Slim,USA,Cosmetics,129.32,Walmart
Michael Bloomberg,USA,Retail,187.89,Tesla
Mukesh Ambani,Mexico,Manufacturing,66.02,L'Oreal
Bill Gates,USA,Technology,2.99,Microsoft
Larry Page,Mexico,Manufacturing,171.44,Grupo Carso
Larry Ellison,USA,Retail,193.66,Zara
David Koch,USA,Automotive,32.29,LVMH
Warren Buffett,USA,Retail,150.42,Walmart
Elon Musk,USA,Retail,197.25,LVMH
Michael Bloomberg,USA,Telecommunications,76.36,Tesla
Mukesh Ambani,USA,Technology,97.53,Amazon
Bill Gates,USA,Petrochemicals,193.96,Oracle
Carlos Slim,USA,Finance,123.09,Walmart
Bill Gates,France,Technology,164.67,Bloomberg LP
Jim Walton,USA,Telecommunications,117.3,Tesla
Charles Koch,USA,Technology,106.09,Walmart
Warren Buffett,Spain,Finance,81.39,Amazon
Elon Musk,India,Cosmetics,29.29,Microsoft
Amancio Ortega,USA,Retail,183.61,Amazon
Jeff Bezos,USA,Retail,26.31,L'Oreal
Jeff Bezos,Mexico,Petrochemicals,197.6,Walmart
Sergey Brin,India,Technology,198.05,Walmart
Mark Zuckerberg,USA,Manufacturing,130.36,Walmart
Larry Ellison,Mexico,Petrochemicals,47.84,Microsoft
Mukesh Ambani,USA,Technology,93.2,Google
Carlos Slim,Mexico,Media,87.79,Amazon
Jim Walton,USA,Petrochemicals,79.51,Microsoft
Michael Bloomberg,USA,Finance,162.95,Google
Sergey Brin,USA,Telecommunications,89.48,Google
Alice Walton,USA,Technology,112.75,Walmart
Sergey Brin,USA,Automotive,24.12,Reliance Industries
David Koch,USA,Technology,57.39,Google
Mukesh Ambani,USA,Technology,99.6,Zara
Jeff Bezos,USA,Retail,39.71,Microsoft
Bill Gates,USA,Fashion,65.6,LVMH
Bill Gates,USA,Retail,184.55,Berkshire Hathaway
Sergey Brin,USA,Technology,78.03,Koch Industries
Carlos Slim,USA,Manufacturing,130.23,Microsoft
Rob Walton,USA,Telecommunications,49.42,Koch Industries
Warren Buffett,USA,Technology,58.83,Oracle
Bernard Arnault,USA,Retail,159.55,Oracle
Larry Ellison,USA,Technology,150.51,Oracle
David Koch,USA,Retail,3.27,Microsoft
Francoise Bettencourt Meyers,USA,Manufacturing,159.28,Koch Industries
Larry Ellison,France,Technology,124.88,Koch Industries
Charles Koch,USA,Technology,64.96,Walmart
Jim Walton,USA,Technology,26.35,Walmart
Bill Gates,USA,Retail,188.05,Facebook
Jim Walton,Mexico,Finance,32.44,LVMH
Elon Musk,India,Technology,105.38,LVMH
Charles Koch,USA,Finance,72.47,Microsoft
Bill Gates,USA,Manufacturing,73.82,Bloomberg LP
Steve Ballmer,USA,Technology,179.62,LVMH
Bill Gates,USA,Media,79.04,L'Oreal
Carlos Slim,USA,Technology,18.28,Microsoft
Rob Walton,USA,Technology,53.47,Koch Industries
Steve Ballmer,USA,Retail,185.8,Oracle
Larry Ellison,USA,Retail,70.84,Koch Industries
Alice Walton,Spain,Technology,120.08,Koch Industries
Warren Buffett,USA,Manufacturing,185.03,LVMH
David Koch,USA,Retail,29.65,Walmart
Francoise Bettencourt Meyers,USA,Retail,133.22,Google
Warren Buffett,USA,Telecommunications,137.08,Bloomberg LP
Carlos Slim,USA,Technology,90.57,LVMH
Alice Walton,USA,Cosmetics,38.95,Koch Industries
Elon Musk,USA,Technology,106.7,Bloomberg LP
Sergey Brin,USA,Technology,116.42,Google
Larry Ellison,USA,Retail,62.1,Amazon
Carlos Slim,USA,Technology,106.15,Google
Mark Zuckerberg,France,Technology,55.52,Reliance Industries
Bill Gates,USA,Technology,12.76,Grupo Carso
Alice Walton,France,Retail,78.03,LVMH
Mukesh Ambani,USA,Manufacturing,83.16,Microsoft
Carlos Slim,USA,Finance,54.05,L'Oreal
Amancio Ortega,USA,Manufacturing,41.68,Microsoft
Sergey Brin,USA,Media,180.47,Amazon
Larry Page,USA,Technology,144.63,Walmart
Alice Walton,USA,Finance,67.29,Berkshire Hathaway
Charles Koch,USA,Automotive,182.65,Koch Industries
Alice Walton,USA,Retail,27.22,Walmart
Jeff Bezos,USA,Technology,4.01,Tesla
Alice Walton,USA,Petrochemicals,123.26,L'Oreal
Larry Ellison,USA,Petrochemicals,72.83,Microsoft
Charles Koch,USA,Technology,151.59,Koch Industries
Rob Walton,USA,Technology,30.27,Facebook
Bernard Arnault,USA,Technology,135.01,Grupo Carso
Jim Walton,USA,Fashion,116.42,Walmart
Larry Ellison,USA,Technology,59.92,Tesla
Francoise Bettencourt Meyers,India,Technology,82.28,Reliance Industries
Steve Ballmer,USA,Technology,169.31,Grupo Carso
Jeff Bezos,USA,Retail,59.49,Grupo Carso
Warren Buffett,USA,Retail,58.44,Facebook
Francoise Bettencourt Meyers,USA,Technology,183.17,Koch Industries
Mukesh Ambani,USA,Technology,99.67,Google
Carlos Slim,USA,Retail,159.87,Walmart
Warren Buffett,USA,Technology,118.7,Zara
Steve Ballmer,USA,Telecommunications,137.1,Walmart
Amancio Ortega,Mexico,Automotive,149.93,L'Oreal
Carlos Slim,USA,Retail,9.23,Google
Sergey Brin,France,Technology,43.15,Google
Mukesh Ambani,USA,Technology,65.74,Oracle
Alice Walton,India,Retail,151.72,Microsoft
Rob Walton,USA,Technology,190.56,Amazon
Rob Walton,USA,Media,150.29,LVMH
Steve Ballmer,France,Technology,93.27,Oracle
Alice Walton,USA,Technology,74.91,LVMH
Alice Walton,France,Technology,2.41,Oracle
Jim Walton,Spain,Retail,61.95,Zara
David Koch,USA,Manufacturing,10.98,Google
Bill Gates,Spain,Cosmetics,39.64,Koch Industries
Rob Walton,Spain,Fashion,120.59,Microsoft
Carlos Slim,Spain,Technology,47.9,Zara
Elon Musk,USA,Technology,66.25,L'Oreal
Sergey Brin,France,Technology,146.06,Reliance Industries
Larry Page,USA,Cosmetics,68.3,Walmart
Alice Walton,France,Technology,179.81,Reliance Industries
Rob Walton,France,Technology,192.11,Microsoft
Larry Ellison,USA,Finance,154.85,Walmart
Steve Ballmer,France,Technology,188.45,Berkshire Hathaway
Francoise Bettencourt Meyers,Mexico,Retail,48.56,Google
Francoise Bettencourt Meyers,Mexico,Telecommunications,10.94,Facebook
Mark Zuckerberg,USA,Finance,134.81,Zara
Mark Zuckerberg,Spain,Media,80.62,Oracle
Michael Bloomberg,USA,Fashion,104.04,Walmart
Michael Bloomberg,USA,Retail,179.91,Google
Rob Walton,France,Technology,57.65,L'Oreal
Carlos Slim,USA,Technology,25.66,Google
Sergey Brin,USA,Technology,84.65,Reliance Industries
Sergey Brin,USA,Retail,72.75,Koch Industries
Mark Zuckerberg,USA,Cosmetics,158.16,Facebook
Charles Koch,USA,Cosmetics,76.21,Microsoft
Warren Buffett,India,Technology,19.26,Tesla
Mark Zuckerberg,USA,Technology,73.92,Walmart
David Koch,USA,Retail,82.06,Google
David Koch,USA,Finance,122.3,Walmart
Carlos Slim,USA,Cosmetics,128.02,Walmart
Larry Page,France,Retail,138.72,Berkshire Hathaway
Carlos Slim,USA,Telecommunications,6.75,Koch Industries
Amancio Ortega,France,Retail,140.4,Walmart
Sergey Brin,USA,Manufacturing,148.48,LVMH
Larry Page,Mexico,Retail,186.53,Microsoft
Warren Buffett,USA,Technology,180.36,Koch Industries
Michael Bloomberg,USA,Retail,138.8,Tesla
Elon Musk,USA,Telecommunications,75.9,Zara
Jim Walton,USA,Technology,85.85,Microsoft
