Name,Country,Industry,Net Worth (in billions),Company
Francoise Bettencourt Meyers,USA,Technology,29.38,Bloomberg LP
Francoise Bettencourt Meyers,USA,Technology,138.85,L'Oreal
Larry Ellison,Spain,Technology,191.89,Walmart
Steve Ballmer,USA,Media,23.17,Google
Charles Koch,USA,Media,115.08,Microsoft
Michael Bloomberg,USA,Technology,70.35,LVMH
Charles Koch,USA,Petrochemicals,76.97,Microsoft
Larry Ellison,USA,Retail,92.38,Bloomberg LP
Carlos Slim,USA,Petrochemicals,98.55,Koch Industries
Elon Musk,India,Technology,136.18,Tesla
Bill Gates,USA,Fashion,43.23,Facebook
Larry Page,USA,Finance,96.1,Walmart
Amancio Ortega,USA,Cosmetics,127.27,Koch Industries
Rob Walton,Mexico,Technology,66.0,Oracle
Jim Walton,USA,Petrochemicals,47.33,Google
Carlos Slim,USA,Retail,41.54,LVMH
Elon Musk,Mexico,Technology,88.13,Amazon
Amancio Ortega,USA,Fashion,126.23,Google
Amancio Ortega,USA,Retail,29.78,Walmart
Amancio Ortega,USA,Technology,142.61,Google
Alice Walton,India,Technology,180.06,Bloomberg LP
Steve Ballmer,USA,Fashion,92.06,Facebook
Carlos Slim,Spain,Retail,140.11,Google
Warren Buffett,USA,Automotive,182.16,Walmart
Jeff Bezos,USA,Manufacturing,41.39,Facebook
Rob Walton,USA,Fashion,169.98,Microsoft
Amancio Ortega,USA,Petrochemicals,15.88,Koch Industries
Amancio Ortega,USA,Fashion,30.06,Microsoft
Alice Walton,Mexico,Petrochemicals,85.05,Walmart
Alice Walton,USA,Fashion,98.43,Microsoft
Elon Musk,USA,Finance,108.96,Facebook
Warren Buffett,USA,Telecommunications,149.67,Google
Michael Bloomberg,USA,Fashion,30.26,Microsoft
Charles Koch,USA,Technology,1.86,Zara
Elon Musk,USA,Media,58.9,Microsoft
Francoise Bettencourt Meyers,USA,Technology,11.78,Reliance Industries
Sergey Brin,USA,Technology,32.84,L'Oreal
Larry Page,USA,Technology,95.77,Grupo Carso
Steve Ballmer,USA,Retail,92.14,Walmart
Warren Buffett,USA,Retail,105.17,L'Oreal
Mark Zuckerberg,USA,Retail,90.59,Walmart
Larry Page,France,Technology,63.06,Google
Amancio Ortega,USA,Retail,177.42,Microsoft
Elon Musk,Mexico,Telecommunications,145.86,Berkshire Hathaway
Michael Bloomberg,USA,Telecommunications,135.32,Tesla
Amancio Ortega,USA,Technology,76.09,LVMH
Rob Walton,USA,Retail,66.16,Walmart
Mukesh Ambani,Mexico,Retail,171.01,Bloomberg LP
Warren Buffett,USA,Technology,160.47,Google
Michael Bloomberg,USA,Cosmetics,42.91,Reliance Industries
Alice Walton,USA,Cosmetics,66.69,Walmart
Mark Zuckerberg,USA,Manufacturing,3.86,Google
Jim Walton,USA,Technology,150.6,Google
Alice Walton,USA,Automotive,118.3,Zara
Amancio Ortega,USA,Retail,50.95,Walmart
Michael Bloomberg,France,Media,78.1,L'Oreal
David Koch,India,Manufacturing,102.72,Microsoft
Bernard Arnault,USA,Manufacturing,76.45,Grupo Carso
Jeff Bezos,USA,Technology,92.83,Walmart
Larry Page,India,Fashion,82.68,Tesla
Larry Ellison,India,Telecommunications,189.1,Reliance Industries
Jim Walton,USA,Retail,90.32,Tesla
Sergey Brin,France,Retail,87.35,Facebook
Sergey Brin,USA,Manufacturing,181.34,Tesla
Michael Bloomberg,USA,Retail,123.52,Walmart
Elon Musk,USA,Technology,36.23,Google
Carlos Slim,France,Media,128.3,Walmart
Bill Gates,USA,Manufacturing,189.48,Google
Amancio Ortega,Mexico,Retail,53.03,Berkshire Hathaway
Mukesh Ambani,USA,Retail,182.5,Koch Industries
Mukesh Ambani,USA,Technology,46.36,Zara
Bill Gates,USA,Technology,18.68,Microsoft
David Koch,USA,Telecommunications,165.01,Facebook
Steve Ballmer,Mexico,Telecommunications,158.26,Koch Industries
Bernard Arnault,USA,Manufacturing,165.84,Microsoft
Carlos Slim,USA,Automotive,30.43,Google
Charles Koch,USA,Technology,120.09,LVMH
Alice Walton,USA,Technology,180.58,Oracle
Mukesh Ambani,USA,Finance,55.01,Grupo Carso
Larry Page,USA,Technology,166.82,Zara
Alice Walton,USA,Technology,139.71,Google
Mark Zuckerberg,USA,Telecommunications,179.23,LVMH
David Koch,USA,Cosmetics,80.7,Oracle
Larry Ellison,USA,Finance,199.21,Grupo Carso
Francoise Bettencourt Meyers,India,Media,4.55,Google
Larry Ellison,USA,Telecommunications,78.74,Grupo Carso
Bill Gates,France,Retail,112.13,Koch Industries
Larry Ellison,USA,Cosmetics,71.84,L'Oreal
Carlos Slim,USA,Technology,7.33,Microsoft
Bill Gates,USA,Technology,155.19,Reliance Industries
Amancio Ortega,USA,Technology,65.74,Amazon
Amancio Ortega,USA,Retail,95.08,Walmart
Elon Musk,USA,Technology,163.63,Zara
Carlos Slim,USA,Finance,189.18,Tesla
Carlos Slim,Spain,Technology,138.05,Google
Larry Ellison,USA,Manufacturing,13.28,Walmart
Steve Ballmer,USA,Technology,59.66,Reliance Industries
Alice Walton,USA,Technology,92.98,Bloomberg LP
Francoise Bettencourt Meyers,USA,Finance,188.23,Bloomberg LP
Alice Walton,USA,Fashion,71.18,Koch Industries
David Koch,USA,Retail,28.64,Walmart
Jeff Bezos,France,Technology,37.33,Reliance Industries
Larry Page,USA,Technology,137.14,Koch Industries
Amancio Ortega,USA,Cosmetics,172.35,Microsoft
Amancio Ortega,Mexico,Technology,94.85,Berkshire Hathaway
Charles Koch,USA,Retail,127.45,Koch Industries
Francoise Bettencourt Meyers,USA,Media,39.33,Berkshire Hathaway
Charles Koch,USA,Technology,58.71,LVMH
Larry Ellison,USA,Retail,139.32,Reliance Industries
Larry Ellison,USA,Technology,40.58,Oracle
Jim Walton,USA,Manufacturing,193.57,Zara
Carlos Slim,USA,Technology,21.42,Google
Bernard Arnault,USA,Technology,45.94,Amazon
Bernard Arnault,USA,Technology,168.53,Berkshire Hathaway
Jim Walton,USA,Cosmetics,30.01,Google
Steve Ballmer,USA,Retail,199.24,Facebook
Rob Walton,France,Technology,110.87,Walmart
Bernard Arnault,USA,Fashion,86.83,Walmart
Francoise Bettencourt Meyers,Mexico,Automotive,11.87,Grupo Carso
Warren Buffett,USA,Finance,55.05,Microsoft
Jeff Bezos,India,Technology,9.17,Reliance Industries
Warren Buffett,France,Fashion,31.28,Oracle
Elon Musk,USA,Petrochemicals,47.34,Koch Industries
Mukesh Ambani,USA,Technology,25.64,Bloomberg LP
Elon Musk,USA,Retail,194.33,Walmart
Jim Walton,India,Technology,158.31,Oracle
Bernard Arnault,USA,Cosmetics,40.2,Microsoft
Larry Page,USA,Finance,158.63,Google
Francoise Bettencourt Meyers,USA,Manufacturing,56.77,Google
Carlos Slim,USA,Technology,150.98,Bloomberg LP
Sergey Brin,USA,Technology,4.98,Walmart
Larry Page,USA,Fashion,106.12,Amazon
Rob Walton,USA,Finance,69.17,Google
Rob Walton,USA,Manufacturing,114.58,Walmart
Elon Musk,USA,Manufacturing,185.61,Berkshire Hathaway
Mark Zuckerberg,USA,Retail,196.43,Google
Charles Koch,USA,Technology,33.39,Koch Industries
Charles Koch,USA,Technology,2.49,Google
Larry Page,USA,Technology,3.61,Berkshire Hathaway
Michael Bloomberg,France,Technology,83.56,L'Oreal
Charles Koch,Spain,Technology,94.22,Walmart
Carlos Slim,USA,Technology,97.4,Zara
Mark Zuckerberg,USA,Cosmetics,56.48,Reliance Industries
Elon Musk,France,Automotive,164.93,Facebook
David Koch,USA,Finance,188.07,Microsoft
Rob Walton,Spain,Fashion,188.76,LVMH
Carlos Slim,USA,Technology,42.04,Koch Industries
Michael Bloomberg,USA,Petrochemicals,186.87,Walmart
Steve Ballmer,USA,Telecommunications,105.84,Zara
Charles Koch,India,Retail,189.21,Koch Industries
Charles Koch,USA,Retail,45.19,Berkshire Hathaway
Sergey Brin,USA,Technology,132.38,Facebook
Amancio Ortega,USA,Petrochemicals,66.3,Zara
Carlos Slim,USA,Telecommunications,90.31,Microsoft
Sergey Brin,USA,Technology,81.38,Google
Mukesh Ambani,USA,Media,14.12,Google
Francoise Bettencourt Meyers,USA,Technology,71.75,Koch Industries
Bill Gates,USA,Technology,188.65,Walmart
Amancio Ortega,USA,Finance,15.0,Amazon
Alice Walton,USA,Finance,43.74,Berkshire Hathaway
Charles Koch,USA,Technology,12.88,Berkshire Hathaway
Mark Zuckerberg,USA,Cosmetics,55.24,Reliance Industries
Jeff Bezos,USA,Retail,113.41,Google
Jeff Bezos,USA,Manufacturing,148.19,Bloomberg LP
Mark Zuckerberg,USA,Telecommunications,64.42,Walmart
Larry Ellison,USA,Retail,72.37,Grupo Carso
Mukesh Ambani,India,Manufacturing,198.77,Microsoft
Bernard Arnault,USA,Technology,170.65,Google
Elon Musk,USA,Retail,82.25,Walmart
Charles Koch,USA,Media,164.18,Koch Industries
Larry Page,USA,Petrochemicals,87.72,L'Oreal
Steve Ballmer,USA,Fashion,100.33,Oracle
Bill Gates,USA,Retail,97.36,Google
Warren Buffett,USA,Telecommunications,162.11,L'Oreal
Amancio Ortega,Spain,Retail,80.29,Koch Industries
Warren Buffett,USA,Technology,95.57,Amazon
Bill Gates,Mexico,Manufacturing,121.14,Berkshire Hathaway
David Koch,India,Technology,154.22,Microsoft
Elon Musk,France,Retail,5.68,Koch Industries
Larry Ellison,France,Technology,148.28,Amazon
Larry Ellison,India,Finance,92.02,Zara
Bernard Arnault,USA,Technology,28.38,Facebook
Sergey Brin,USA,Automotive,81.01,Walmart
Elon Musk,USA,Retail,44.48,Walmart
Rob Walton,USA,Finance,21.34,Walmart
Larry Ellison,USA,Retail,72.74,Walmart
Bernard Arnault,France,Fashion,188.93,Microsoft
Alice Walton,USA,Automotive,13.64,Walmart
Elon Musk,USA,Technology,43.1,Koch Industries
Francoise Bettencourt Meyers,USA,Manufacturing,110.97,L'Oreal
Larry Ellison,USA,Technology,98.27,Tesla
Larry Ellison,USA,Finance,161.06,Bloomberg LP
Larry Ellison,USA,Retail,143.65,L'Oreal
Michael Bloomberg,USA,Technology,172.72,Walmart
Elon Musk,USA,Media,115.16,Oracle
Alice Walton,USA,Technology,9.3,Berkshire Hathaway
Francoise Bettencourt Meyers,USA,Telecommunications,114.97,Walmart
Larry Ellison,USA,Technology,194.57,Google
Larry Page,USA,Technology,145.62,Koch Industries
Mukesh Ambani,USA,Media,191.8,LVMH
David Koch,Mexico,Petrochemicals,10.59,Amazon
Bernard Arnault,USA,Technology,126.86,Koch Industries
Sergey Brin,USA,Retail,161.41,Walmart
Mark Zuckerberg,USA,Manufacturing,88.92,L'Oreal
Elon Musk,Spain,Technology,73.93,Grupo Carso
Larry Ellison,USA,Cosmetics,146.07,Reliance Industries
Francoise Bettencourt Meyers,USA,Media,109.45,Zara
Mukesh Ambani,France,Automotive,95.22,Koch Industries
Francoise Bettencourt Meyers,USA,Automotive,52.53,Berkshire Hathaway
Amancio Ortega,USA,Technology,191.54,Microsoft
Carlos Slim,USA,Manufacturing,34.76,Google
Larry Ellison,USA,Technology,41.95,Bloomberg LP
Michael Bloomberg,USA,Manufacturing,33.29,Walmart
Jim Walton,USA,Technology,169.38,Google
Jim Walton,USA,Retail,107.75,Google
Elon Musk,USA,Retail,112.43,L'Oreal
Bernard Arnault,USA,Retail,123.45,Walmart
Jim Walton,USA,Manufacturing,125.6,Google
Carlos Slim,Spain,Retail,184.41,Microsoft
Charles Koch,USA,Retail,169.26,Facebook
Alice Walton,USA,Fashion,112.07,Koch Industries
Charles Koch,USA,Technology,107.99,Google
Mark Zuckerberg,USA,Technology,17.56,Walmart
Amancio Ortega,USA,Retail,82.27,Reliance Industries
Bill Gates,USA,Manufacturing,165.46,LVMH
Bill Gates,USA,Fashion,191.42,Koch Industries
Sergey Brin,USA,Cosmetics,101.75,Walmart
Sergey Brin,USA,Retail,121.2,Walmart
Mark Zuckerberg,USA,Finance,170.56,Walmart
Jeff Bezos,USA,Automotive,38.87,LVMH
Charles Koch,USA,Technology,135.97,Google
Carlos Slim,India,Technology,109.18,Walmart
Larry Ellison,USA,Technology,155.82,Grupo Carso
Bill Gates,USA,Fashion,30.0,Google
Sergey Brin,USA,Retail,25.04,Reliance Industries
Sergey Brin,USA,Technology,176.42,LVMH
Elon Musk,Mexico,Fashion,96.27,Walmart
Bernard Arnault,USA,Retail,93.8,Walmart
Michael Bloomberg,USA,Automotive,192.9,Berkshire Hathaway
Elon Musk,USA,Petrochemicals,184.99,Facebook
Alice Walton,USA,Automotive,31.05,Microsoft
Warren Buffett,Spain,Technology,141.47,Berkshire Hathaway
Bill Gates,USA,Technology,34.6,Reliance Industries
Jeff Bezos,India,Technology,46.86,L'Oreal
Jeff Bezos,USA,Manufacturing,67.34,Bloomberg LP
Michael Bloomberg,USA,Telecommunications,159.42,Grupo Carso
Michael Bloomberg,USA,Technology,56.21,Koch Industries
Rob Walton,USA,Technology,136.06,LVMH
Mukesh Ambani,USA,Manufacturing,106.55,Berkshire Hathaway
Mark Zuckerberg,Spain,Technology,117.43,L'Oreal
Elon Musk,USA,Petrochemicals,138.55,Tesla
Carlos Slim,USA,Technology,118.71,Walmart
Jeff Bezos,Mexico,Technology,106.72,Walmart
Amancio Ortega,India,Technology,134.72,Facebook
Larry Ellison,USA,Telecommunications,108.98,Walmart
Bernard Arnault,USA,Petrochemicals,84.78,Reliance Industries
Jim Walton,France,Retail,84.27,Microsoft
Mark Zuckerberg,USA,Manufacturing,94.24,Walmart
Jeff Bezos,USA,Technology,18.95,Reliance Industries
Larry Ellison,USA,Manufacturing,179.62,Tesla
Steve Ballmer,USA,Petrochemicals,67.04,Oracle
Larry Ellison,USA,Manufacturing,6.79,Koch Industries
Amancio Ortega,Mexico,Technology,194.75,L'Oreal
Bill Gates,USA,Retail,118.56,Microsoft
Sergey Brin,USA,Technology,29.75,Walmart
Jeff Bezos,USA,Finance,165.33,Microsoft
Bernard Arnault,USA,Technology,107.69,Microsoft
Rob Walton,France,Technology,110.27,Amazon
Mark Zuckerberg,USA,Technology,189.29,Amazon
Francoise Bettencourt Meyers,USA,Cosmetics,14.94,Koch Industries
Mukesh Ambani,USA,Retail,99.37,Facebook
Bill Gates,USA,Technology,64.9,Google
Bernard Arnault,India,Manufacturing,178.48,Koch Industries
Charles Koch,USA,Retail,17.84,Microsoft
David Koch,USA,Retail,131.67,Oracle
Bill Gates,Spain,Retail,142.44,Berkshire Hathaway
David Koch,USA,Automotive,108.15,Walmart
Elon Musk,USA,Technology,37.34,Google
Francoise Bettencourt Meyers,USA,Retail,168.08,Bloomberg LP
Steve Ballmer,USA,Retail,109.48,L'Oreal
Sergey Brin,USA,Automotive,133.03,Tesla
Larry Page,USA,Technology,171.27,Koch Industries
Warren Buffett,Spain,Technology,117.37,Google
Mark Zuckerberg,USA,Technology,67.82,Grupo Carso
Sergey Brin,France,Retail,78.87,Walmart
Amancio Ortega,USA,Manufacturing,183.83,Google
Charles Koch,France,Technology,4.18,LVMH
Warren Buffett,India,Technology,146.19,Amazon
Jim Walton,USA,Technology,52.23,Google
Elon Musk,USA,Media,189.07,Koch Industries
Rob Walton,USA,Technology,104.79,Grupo Carso
Rob Walton,USA,Technology,189.53,Koch Industries
Jim Walton,USA,Technology,178.57,Facebook
Amancio Ortega,USA,Technology,82.34,Oracle
Jim Walton,India,Manufacturing,195.57,Walmart
Bill Gates,USA,Retail,176.31,Reliance Industries
Francoise Bettencourt Meyers,Spain,Technology,144.14,L'Oreal
Elon Musk,USA,Manufacturing,9.41,L'Oreal
Bill Gates,USA,Finance,149.08,Tesla
Jim Walton,USA,Automotive,150.77,Berkshire Hathaway
Steve Ballmer,Spain,Technology,89.19,Google
David Koch,USA,Retail,109.59,Walmart
Bill Gates,USA,Retail,107.4,LVMH
Elon Musk,USA,Technology,23.91,LVMH
Sergey Brin,USA,Technology,191.9,Amazon
Michael Bloomberg,USA,Technology,90.66,Reliance Industries
Larry Page,France,Retail,185.14,Tesla
Michael Bloomberg,France,Technology,62.24,Walmart
Larry Page,USA,Technology,66.24,Grupo Carso
Michael Bloomberg,USA,Cosmetics,2.92,Bloomberg LP
Amancio Ortega,USA,Manufacturing,3.62,Microsoft
David Koch,USA,Finance,19.47,Walmart
Rob Walton,USA,Technology,183.93,Koch Industries
Carlos Slim,USA,Media,14.02,Berkshire Hathaway
Warren Buffett,USA,Telecommunications,116.42,Koch Industries
Francoise Bettencourt Meyers,Mexico,Technology,34.6,Oracle
Warren Buffett,USA,Retail,108.72,Tesla
Amancio Ortega,France,Technology,154.78,Walmart
Bernard Arnault,USA,Technology,61.53,Google
Carlos Slim,USA,Retail,162.7,Grupo Carso
David Koch,USA,Technology,168.87,Koch Industries
Warren Buffett,USA,Technology,35.44,Walmart
Bernard Arnault,USA,Retail,108.88,Tesla
Warren Buffett,USA,Retail,40.5,Microsoft
Bill Gates,France,Technology,153.31,Walmart
Warren Buffett,USA,Finance,107.12,Google
David Koch,USA,Automotive,72.84,Berkshire Hathaway
Bill Gates,USA,Technology,106.03,Walmart
Rob Walton,USA,Media,147.67,Google
Sergey Brin,USA,Telecommunications,162.39,Google
Mukesh Ambani,USA,Finance,69.35,Amazon
Mukesh Ambani,USA,Retail,59.5,Walmart
Elon Musk,USA,Telecommunications,49.01,Zara
Bernard Arnault,USA,Automotive,160.72,Microsoft
David Koch,USA,Media,105.63,Facebook
Jeff Bezos,USA,Fashion,168.62,Walmart
Mark Zuckerberg,USA,Retail,99.7,Koch Industries
Francoise Bettencourt Meyers,USA,Automotive,61.93,Microsoft
Bill Gates,USA,Technology,165.21,Walmart
Bill Gates,USA,Technology,125.63,LVMH
Alice Walton,Mexico,Retail,115.32,Facebook
Sergey Brin,France,Technology,153.75,L'Oreal
Bernard Arnault,USA,Retail,64.87,Oracle
Larry Page,USA,Technology,45.18,Zara
Alice Walton,USA,Technology,197.41,Reliance Industries
Larry Page,France,Media,105.56,Walmart
Michael Bloomberg,USA,Technology,54.19,Grupo Carso
Michael Bloomberg,USA,Finance,145.35,Bloomberg LP
Jeff Bezos,Mexico,Telecommunications,166.96,Tesla
Amancio Ortega,USA,Technology,127.98,Berkshire Hathaway
Steve Ballmer,USA,Media,30.62,Bloomberg LP
Amancio Ortega,France,Retail,174.92,Tesla
Warren Buffett,France,Technology,17.9,LVMH
Carlos Slim,France,Cosmetics,34.13,Reliance Industries
David Koch,USA,Technology,24.65,L'Oreal
Mark Zuckerberg,USA,Fashion,93.26,Bloomberg LP
Steve Ballmer,USA,Automotive,153.48,Koch Industries
Amancio Ortega,USA,Technology,39.88,Microsoft
Larry Page,USA,Finance,180.79,Zara
Francoise Bettencourt Meyers,USA,Retail,117.6,Koch Industries
Michael Bloomberg,USA,Technology,81.64,Zara
Mukesh Ambani,France,Automotive,195.84,L'Oreal
Francoise Bettencourt Meyers,USA,Manufacturing,130.07,Tesla
Larry Ellison,USA,Technology,153.93,Walmart
Warren Buffett,USA,Technology,178.49,Google
Mukesh Ambani,USA,Retail,55.13,Koch Industries
Amancio Ortega,USA,Telecommunications,155.14,Reliance Industries
Larry Page,Spain,Manufacturing,12.37,Walmart
Carlos Slim,Spain,Retail,126.8,Koch Industries
Larry Ellison,USA,Automotive,149.17,Walmart
Alice Walton,USA,Retail,75.32,Oracle
Michael Bloomberg,USA,Technology,83.8,Walmart
Francoise Bettencourt Meyers,USA,Fashion,72.29,Amazon
Elon Musk,USA,Technology,41.62,Grupo Carso
Mukesh Ambani,USA,Technology,22.0,Walmart
Elon Musk,USA,Technology,13.26,Oracle
Bernard Arnault,India,Telecommunications,107.66,Koch Industries
Steve Ballmer,USA,Retail,82.6,Tesla
Jim Walton,USA,Cosmetics,165.13,Reliance Industries
Michael Bloomberg,USA,Media,20.19,Google
Amancio Ortega,USA,Automotive,79.78,Facebook
Mark Zuckerberg,USA,Automotive,111.64,Reliance Industries
Michael Bloomberg,USA,Media,114.93,L'Oreal
Mukesh Ambani,USA,Technology,157.94,Reliance Industries
Michael Bloomberg,India,Technology,191.22,Microsoft
Jim Walton,USA,Cosmetics,57.56,LVMH
Rob Walton,India,Cosmetics,16.03,Google
Jim Walton,France,Manufacturing,102.34,Tesla
Steve Ballmer,Mexico,Retail,104.8,Facebook
Warren Buffett,India,Technology,102.24,Grupo Carso
Carlos Slim,USA,Technology,52.95,L'Oreal
David Koch,France,Media,62.0,Koch Industries
Larry Ellison,USA,Retail,55.44,Grupo Carso
Elon Musk,USA,Technology,180.3,Oracle
Jim Walton,USA,Cosmetics,192.98,L'Oreal
Mukesh Ambani,USA,Technology,51.77,L'Oreal
Mukesh Ambani,USA,Retail,30.01,Microsoft
Elon Musk,USA,Media,20.32,Google
Charles Koch,USA,Technology,157.87,LVMH
Carlos Slim,USA,Media,44.15,Walmart
David Koch,USA,Retail,36.3,Koch Industries
Elon Musk,USA,Technology,192.24,Bloomberg LP
Sergey Brin,USA,Retail,20.01,Oracle
Bill Gates,USA,Technology,98.48,Microsoft
Warren Buffett,USA,Petrochemicals,104.62,Koch Industries
Larry Ellison,USA,Telecommunications,187.04,Reliance Industries
Francoise Bettencourt Meyers,USA,Cosmetics,22.73,LVMH
Francoise Bettencourt Meyers,USA,Fashion,59.68,L'Oreal
Francoise Bettencourt Meyers,USA,Manufacturing,144.37,Walmart
Jim Walton,France,Telecommunications,188.43,Microsoft
Charles Koch,India,Technology,81.33,Grupo Carso
Michael Bloomberg,Spain,Finance,65.98,Microsoft
Alice Walton,USA,Technology,199.1,Microsoft
David Koch,USA,Finance,12.97,Koch Industries
Bernard Arnault,USA,Retail,198.34,Oracle
Michael Bloomberg,USA,Technology,49.99,Microsoft
Amancio Ortega,USA,Technology,109.15,L'Oreal
Larry Page,Spain,Technology,166.86,Microsoft
Amancio Ortega,USA,Manufacturing,46.73,Berkshire Hathaway
Alice Walton,USA,Technology,25.67,Walmart
David Koch,USA,Technology,190.44,Reliance Industries
Warren Buffett,USA,Manufacturing,134.08,Google
Rob Walton,USA,Retail,94.94,Google
Rob Walton,USA,Retail,153.74,Grupo Carso
Elon Musk,USA,Technology,179.63,Amazon
Amancio Ortega,USA,Media,108.48,Google
Bernard Arnault,USA,Automotive,19.25,Walmart
Mukesh Ambani,USA,Technology,22.82,Walmart
Sergey Brin,USA,Media,63.77,Walmart
David Koch,USA,Technology,9.92,Grupo Carso
Amancio Ortega,Mexico,Telecommunications,45.56,L'Oreal
Mark Zuckerberg,USA,Technology,147.54,Koch Industries
Amancio Ortega,USA,Technology,98.27,Oracle
Larry Ellison,USA,Telecommunications,95.89,Grupo Carso
Rob Walton,USA,Technology,90.66,Microsoft
Carlos Slim,USA,Technology,23.4,Oracle
Steve Ballmer,Spain,Retail,115.55,Grupo Carso
Bill Gates,India,Manufacturing,121.63,Walmart
Bill Gates,USA,Telecommunications,157.52,Berkshire Hathaway
Mark Zuckerberg,USA,Retail,112.34,Google
Charles Koch,USA,Retail,2.07,L'Oreal
Steve Ballmer,Spain,Fashion,4.34,Berkshire Hathaway
Alice Walton,France,Technology,137.83,Facebook
Carlos Slim,USA,Media,79.56,Microsoft
Alice Walton,Mexico,Media,28.71,Reliance Industries
Jeff Bezos,USA,Technology,121.0,Microsoft
Elon Musk,USA,Petrochemicals,153.79,Tesla
Larry Page,Mexico,Technology,57.8,LVMH
Elon Musk,USA,Retail,100.73,Microsoft
Amancio Ortega,Spain,Technology,73.4,Bloomberg LP
Rob Walton,USA,Technology,171.88,Grupo Carso
Larry Ellison,USA,Technology,140.12,Walmart
Amancio Ortega,USA,Retail,120.23,Berkshire Hathaway
Mukesh Ambani,France,Retail,83.67,Microsoft
Elon Musk,Spain,Retail,178.96,Zara
Sergey Brin,USA,Technology,126.53,L'Oreal
Larry Ellison,USA,Media,55.55,Koch Industries
Warren Buffett,India,Retail,54.9,Google
Larry Ellison,Spain,Media,119.47,Zara
Rob Walton,India,Technology,185.38,Koch Industries
Charles Koch,USA,Manufacturing,33.01,LVMH
Carlos Slim,USA,Petrochemicals,198.05,Microsoft
Steve Ballmer,USA,Cosmetics,147.35,Zara
Sergey Brin,USA,Retail,92.59,Koch Industries
Bill Gates,USA,Finance,37.93,Berkshire Hathaway
David Koch,USA,Technology,144.28,Walmart
Charles Koch,USA,Technology,77.01,Google
Mukesh Ambani,USA,Technology,96.68,Microsoft
Larry Ellison,USA,Retail,169.07,LVMH
Warren Buffett,USA,Retail,188.95,LVMH
Michael Bloomberg,USA,Retail,105.21,L'Oreal
Charles Koch,USA,Retail,117.62,Berkshire Hathaway
Amancio Ortega,USA,Retail,132.01,Walmart
Warren Buffett,India,Retail,45.63,Bloomberg LP
Francoise Bettencourt Meyers,USA,Technology,71.3,Amazon
Larry Ellison,USA,Retail,151.55,Grupo Carso
Alice Walton,Spain,Retail,36.1,Koch Industries
Steve Ballmer,USA,Retail,187.02,Microsoft
Alice Walton,USA,Technology,28.26,Koch Industries
Bill Gates,Spain,Manufacturing,77.99,Amazon
Michael Bloomberg,USA,Technology,127.12,Microsoft
Steve Ballmer,Spain,Automotive,141.48,Reliance Industries
Jeff Bezos,USA,Retail,98.19,Walmart
David Koch,USA,Cosmetics,185.84,Walmart
Alice Walton,USA,Media,73.76,Walmart
Sergey Brin,Spain,Retail,76.77,Google
Rob Walton,Mexico,Finance,48.46,Oracle
Steve Ballmer,USA,Manufacturing,52.21,Microsoft
Charles Koch,France,Technology,137.79,Koch Industries
Charles Koch,USA,Retail,93.7,Walmart
Jim Walton,USA,Fashion,9.18,L'Oreal
Charles Koch,India,Retail,19.53,L'Oreal
Larry Ellison,Mexico,Automotive,75.21,Tesla
Mark Zuckerberg,Mexico,Finance,87.07,Reliance Industries
Warren Buffett,USA,Retail,142.66,Facebook
Amancio Ortega,USA,Media,166.87,Walmart
Alice Walton,USA,Retail,30.44,Walmart
Amancio Ortega,Spain,Retail,163.18,Reliance Industries
Jim Walton,USA,Retail,186.94,Berkshire Hathaway
