Country,Population 2024,Population 2023,Area (km2),Density (/km2),Growth Rate,World %,World Rank
India,1441719852,1428627663,3M,485.0,0.0092,0.1801,1
China,1425178782,1425671352,9.4M,151.0,-0.0003,0.178,2
United States,341814420,339996563,9.1M,37.0,0.0053,0.0427,3
Indonesia,279798049,277534122,1.9M,149.0,0.0082,0.035,4
Pakistan,245209815,240485658,770.9K,318.0,0.0196,0.0306,5
Nigeria,229152217,223804632,910.8K,252.0,0.0239,0.0286,6
Brazil,217637297,216422446,8.4M,26.0,0.0056,0.0272,7
Bangladesh,174701211,172954319,130.2K,1342.0,0.0101,0.0218,8
Russia,143957079,144444359,16.4M,9.0,-0.0034,0.018,9
Ethiopia,129719719,126527060,1.1M,115.0,0.0252,0.0162,10
Mexico,129388467,128455567,1.9M,67.0,0.0073,0.0162,11
Japan,122631432,123294513,364.5K,336.0,-0.0054,0.0153,12
Philippines,119106224,117337368,298.2K,399.0,0.0151,0.0149,13
Egypt,114484252,112716598,1M,115.0,0.0157,0.0143,14
DR Congo,105625114,102262808,2.3M,47.0,0.0329,0.0132,15
Vietnam,99497680,98858950,313.4K,317.0,0.0065,0.0124,16
Iran,89809781,89172767,1.6M,55.0,0.0071,0.0112,17
Turkey,86260417,85816199,783.6K,110.0,0.0052,0.0108,18
Germany,83252474,83294633,349.4K,238.0,-0.0005,0.0104,19
Thailand,71885799,71801279,510.9K,141.0,0.0012,0.009,20
Tanzania,69419073,67438106,885.8K,78.0,0.0294,0.0087,21
United Kingdom,67961439,67736802,241.9K,281.0,0.0033,0.0085,22
France,64881830,64756584,547.6K,118.0,0.0019,0.0081,23
South Africa,61020221,60414495,1.2M,50.0,0.01,0.0076,24
Italy,58697744,58870762,295.7K,198.0,-0.0029,0.0073,25
Kenya,56203030,55100586,569.1K,99.0,0.02,0.007,26
Myanmar,54964694,54577997,652.7K,84.0,0.0071,0.0069,27
Colombia,52340774,52085168,1.1M,47.0,0.0049,0.0065,28
South Korea,51741963,51784059,97.6K,530.0,-0.0008,0.0065,29
Uganda,49924252,48582334,200.5K,249.0,0.0276,0.0062,30
Sudan,49358228,48109006,1.9M,26.0,0.026,0.0062,31
Spain,47473373,47519628,499.6K,95.0,-0.001,0.0059,32
Iraq,46523657,45504560,434.1K,107.0,0.0224,0.0058,33
Algeria,46278751,45606480,2.4M,19.0,0.0147,0.0058,34
Argentina,46057866,45773884,2.7M,17.0,0.0062,0.0058,35
Afghanistan,43372950,42239854,652.2K,66.0,0.0268,0.0054,36
Poland,40221726,41026067,306.1K,131.0,-0.0196,0.005,37
Canada,39107046,38781291,9M,4.0,0.0084,0.0049,38
Morocco,38211459,37840044,446.3K,86.0,0.0098,0.0048,39
Ukraine,37937821,36744634,579.4K,65.0,0.0325,0.0047,40
Angola,37804634,36684202,1.2M,30.0,0.0305,0.0047,41
Saudi Arabia,37473929,36947025,2.1M,17.0,0.0143,0.0047,42
Uzbekistan,35673804,35163944,440.6K,81.0,0.0145,0.0045,43
Yemen,35219853,34449825,528K,67.0,0.0224,0.0044,44
Mozambique,34858402,33897354,786.4K,44.0,0.0284,0.0044,45
Ghana,34777522,34121985,227.5K,153.0,0.0192,0.0043,46
Peru,34683444,34352719,1.3M,27.0,0.0096,0.0043,47
Malaysia,34671895,34308525,328.6K,106.0,0.0106,0.0043,48
Nepal,31240315,30896590,143.3K,218.0,0.0111,0.0039,49
Madagascar,31056610,30325732,581.8K,53.0,0.0241,0.0039,50
Ivory Coast,29603302,28873034,318K,93.0,0.0253,0.0037,51
Venezuela,29395334,28838499,882K,33.0,0.0193,0.0037,52
Cameroon,29394433,28647293,472.7K,62.0,0.0261,0.0037,53
Niger,28238972,27202843,1.3M,22.0,0.0381,0.0035,54
Australia,26699482,26439111,7.7M,3.0,0.0098,0.0033,55
North Korea,26244582,26160821,120.4K,218.0,0.0032,0.0033,56
Syria,24348053,23227014,183.6K,133.0,0.0483,0.003,57
Mali,24015789,23293698,1.2M,20.0,0.031,0.003,58
Taiwan,23950214,23923276,36.2K,662.0,0.0011,0.003,59
Burkina Faso,23840247,23251485,273.6K,87.0,0.0253,0.003,60
Sri Lanka,21949268,21893579,61.9K,355.0,0.0025,0.0027,61
Malawi,21475962,20931751,94.3K,228.0,0.026,0.0027,62
Zambia,21134695,20569737,743.4K,28.0,0.0275,0.0026,63
Kazakhstan,19828165,19606633,2.7M,7.0,0.0113,0.0025,64
Chile,19658839,19629590,743.5K,26.0,0.0015,0.0025,65
Romania,19618996,19892812,230.1K,85.0,-0.0138,0.0025,66
Chad,18847148,18278568,1.3M,15.0,0.0311,0.0024,67
Somalia,18706922,18143378,627.3K,30.0,0.0311,0.0023,68
Ecuador,18377367,18190484,248.4K,74.0,0.0103,0.0023,69
Guatemala,18358430,18092026,107.2K,171.0,0.0147,0.0023,70
Senegal,18221567,17763163,192.5K,95.0,0.0258,0.0023,71
Netherlands,17671125,17618299,33.7K,525.0,0.003,0.0022,72
Cambodia,17121847,16944826,176.5K,97.0,0.0104,0.0021,73
Zimbabwe,17020321,16665409,386.9K,44.0,0.0213,0.0021,74
Guinea,14528770,14190612,245.7K,59.0,0.0238,0.0018,75
Rwanda,14414910,14094683,24.7K,584.0,0.0227,0.0018,76
Benin,14080072,13712828,112.8K,125.0,0.0268,0.0018,77
Burundi,13591657,13238559,25.7K,529.0,0.0267,0.0017,78
Bolivia,12567336,12388571,1.1M,12.0,0.0144,0.0016,79
Tunisia,12564689,12458223,155.4K,81.0,0.0085,0.0016,80
Haiti,11867030,11724763,27.6K,431.0,0.0121,0.0015,81
Belgium,11715774,11686140,30.3K,387.0,0.0025,0.0015,82
Dominican Republic,11434005,11332972,48.3K,237.0,0.0089,0.0014,83
Jordan,11384922,11337052,88.8K,128.0,0.0042,0.0014,84
South Sudan,11277092,11088796,631.9K,18.0,0.017,0.0014,85
Cuba,11174587,11194449,103.8K,108.0,-0.0018,0.0014,86
Honduras,10759406,10593798,111.9K,96.0,0.0156,0.0013,87
Sweden,10673669,10612086,407.3K,26.0,0.0058,0.0013,88
Papua New Guinea,10515788,10329931,452.9K,23.0,0.018,0.0013,89
Czech Republic,10503734,10495295,77.2K,136.0,0.0008,0.0013,90
Azerbaijan,10462904,10412651,82.6K,127.0,0.0048,0.0013,91
Tajikistan,10331513,10143543,138.8K,74.0,0.0185,0.0013,92
Greece,10302720,10341277,128.9K,80.0,-0.0037,0.0013,93
Portugal,10223349,10247605,91.6K,112.0,-0.0024,0.0013,94
Hungary,9994993,10156239,91.3K,110.0,-0.0159,0.0012,95
United Arab Emirates,9591853,9516871,71K,135.0,0.0079,0.0012,96
Belarus,9455037,9498238,203K,47.0,-0.0045,0.0012,97
Israel,9311652,9174520,21.6K,430.0,0.0149,0.0012,98
Togo,9260864,9053799,54.4K,170.0,0.0229,0.0012,99
Sierra Leone,8977972,8791092,72.2K,124.0,0.0213,0.0011,100
Austria,8977139,8958960,82.5K,109.0,0.002,0.0011,101
Switzerland,8851431,8796669,39.5K,224.0,0.0062,0.0011,102
Laos,7736681,7633779,230.8K,34.0,0.0135,0.001,103
Hong Kong,7496681,7491609,1.1K,7140.0,0.0007,0.0009,104
Nicaragua,7142529,7046310,120.3K,59.0,0.0137,0.0009,105
Serbia,7097028,7149077,87.5K,81.0,-0.0073,0.0009,106
Libya,6964197,6888388,1.8M,4.0,0.011,0.0009,107
Paraguay,6947270,6861524,397.3K,17.0,0.0125,0.0009,108
Kyrgyzstan,6839606,6735347,191.8K,36.0,0.0155,0.0009,109
Bulgaria,6618615,6687717,108.6K,61.0,-0.0103,0.0008,110
Turkmenistan,6598071,6516100,469.9K,14.0,0.0126,0.0008,111
El Salvador,6396289,6364943,20.7K,309.0,0.0049,0.0008,112
Republic of the Congo,6244547,6106869,341.5K,18.0,0.0225,0.0008,113
Singapore,6052709,6014723,718,8430.0,0.0063,0.0008,114
Denmark,5939695,5910913,40K,148.0,0.0049,0.0007,115
Central African Republic,5915627,5742315,623K,9.0,0.0302,0.0007,116
Slovakia,5702832,5795199,49K,116.0,-0.0159,0.0007,117
Finland,5549886,5545475,303.9K,18.0,0.0008,0.0007,118
Liberia,5536949,5418377,96.3K,57.0,0.0219,0.0007,119
Norway,5514477,5474360,364.3K,15.0,0.0073,0.0007,120
Palestine,5494963,5371230,6K,913.0,0.023,0.0007,121
New Zealand,5269939,5228100,263.3K,20.0,0.008,0.0007,122
Costa Rica,5246714,5212173,51.1K,103.0,0.0066,0.0007,123
Lebanon,5219044,5353930,10.2K,510.0,-0.0252,0.0007,124
Ireland,5089478,5056935,68.9K,74.0,0.0064,0.0006,125
Mauritania,4993922,4862989,1M,5.0,0.0269,0.0006,126
Oman,4713553,4644384,309.5K,15.0,0.0149,0.0006,127
Panama,4527961,4468087,74.2K,61.0,0.0134,0.0006,128
Kuwait,4349380,4310108,17.8K,244.0,0.0091,0.0005,129
Croatia,3986627,4008617,56K,71.0,-0.0055,0.0005,130
Eritrea,3817651,3748901,121K,32.0,0.0183,0.0005,131
Georgia,3717425,3728282,69.5K,53.0,-0.0029,0.0005,132
Mongolia,3493629,3447157,1.6M,2.0,0.0135,0.0004,133
Uruguay,3423316,3423108,175K,20.0,0.0001,0.0004,134
Moldova,3329865,3435931,32.9K,101.0,-0.0309,0.0004,135
Puerto Rico,3268802,3260314,8.9K,369.0,0.0026,0.0004,136
Bosnia and Herzegovina,3194378,3210847,51.2K,62.0,-0.0051,0.0004,137
Gambia,2841803,2773168,10.1K,281.0,0.0247,0.0004,138
Albania,2826020,2832439,27.4K,103.0,-0.0023,0.0004,139
Jamaica,2824738,2825544,10.8K,261.0,-0.0003,0.0004,140
Armenia,2777979,2777970,28.5K,98.0,0.0,0.0003,141
Qatar,2737061,2716391,11.5K,238.0,0.0076,0.0003,142
Botswana,2719694,2675352,566.7K,5.0,0.0166,0.0003,143
Lithuania,2692798,2718352,62.6K,43.0,-0.0094,0.0003,144
Namibia,2645805,2604172,823.3K,3.0,0.016,0.0003,145
Gabon,2484557,2436566,257.7K,10.0,0.0197,0.0003,146
Lesotho,2356083,2330318,30.4K,78.0,0.0111,0.0003,147
Guinea Bissau,2197149,2150842,28.1K,78.0,0.0215,0.0003,148
Slovenia,2118965,2119675,20.1K,105.0,-0.0003,0.0003,149
North Macedonia,2082706,2085679,25.2K,83.0,-0.0014,0.0003,150
Latvia,1810240,1830211,62.2K,29.0,-0.0109,0.0002,151
Equatorial Guinea,1754993,1714671,28.1K,63.0,0.0235,0.0002,152
Trinidad and Tobago,1538200,1534937,5.1K,300.0,0.0021,0.0002,153
Bahrain,1498712,1485509,785,1909.0,0.0089,0.0002,154
Timor Leste,1379883,1360596,14.9K,93.0,0.0142,0.0002,155
Estonia,1319041,1322765,42.8K,31.0,-0.0028,0.0002,156
Mauritius,1301978,1300557,2K,641.0,0.0011,0.0002,157
Cyprus,1268467,1260138,9.2K,137.0,0.0066,0.0002,158
Eswatini,1222075,1210822,17.2K,71.0,0.0093,0.0002,159
Djibouti,1152329,1136455,23.2K,50.0,0.014,0.0001,160
Reunion,989350,981796,2.5K,394.0,0.0077,0.0001,161
Fiji,943072,936375,18.3K,52.0,0.0072,0.0001,162
Comoros,867605,852075,1.9K,466.0,0.0182,0.0001,163
Guyana,819594,813834,196.8K,4.0,0.0071,0.0001,164
Bhutan,792382,787424,38.1K,21.0,0.0063,0.0001,165
Solomon Islands,756673,740424,28K,27.0,0.0219,0.0001,166
Macau,713082,704149,33,21674.0,0.0127,0.0001,167
Luxembourg,661594,654768,2.6K,257.0,0.0104,0.0001,168
Suriname,628785,623236,156K,4.0,0.0089,0.0001,169
Montenegro,626102,626485,13.4K,47.0,-0.0006,0.0001,170
Cape Verde,604461,598682,4K,150.0,0.0097,0.0001,171
Western Sahara,598385,587259,266K,2.0,0.0189,0.0001,172
Malta,536740,535064,320,1677.0,0.0031,0.0001,173
Maldives,517887,521021,300,1726.0,-0.006,0.0001,174
Brunei,455858,452524,5.3K,87.0,0.0074,0.0001,175
Belize,416656,410825,22.8K,18.0,0.0142,0.0001,176
Bahamas,415223,412623,10K,41.0,0.0063,0.0001,177
Guadeloupe,396346,395839,1.6K,243.0,0.0013,0.0,178
Iceland,377689,375318,100.8K,4.0,0.0063,0.0,179
Martinique,366416,366981,1.1K,325.0,-0.0015,0.0,180
Mayotte,345996,335995,374,925.0,0.0298,0.0,181
Vanuatu,342325,334506,12.2K,28.0,0.0234,0.0,182
French Guiana,319796,312155,83.5K,4.0,0.0245,0.0,183
French Polynesia,311383,308872,3.5K,90.0,0.0081,0.0,184
New Caledonia,295966,292991,18.3K,16.0,0.0102,0.0,185
Barbados,282309,281995,430,657.0,0.0011,0.0,186
Sao Tome and Principe,236381,231856,960,246.0,0.0195,0.0,187
Samoa,228966,225681,2.8K,82.0,0.0146,0.0,188
Curacao,192965,192077,444,435.0,0.0046,0.0,189
Saint Lucia,180805,180251,610,296.0,0.0031,0.0,190
Guam,174114,172952,540,322.0,0.0067,0.0,191
Kiribati,135763,133515,810,168.0,0.0168,0.0,192
Grenada,126887,126183,340,373.0,0.0056,0.0,193
Micronesia,116300,115224,700,166.0,0.0093,0.0,194
Jersey,112843,111802,120,940.0,0.0093,0.0,195
Tonga,108683,107773,720,151.0,0.0084,0.0,196
Seychelles,108263,107660,460,235.0,0.0056,0.0,197
Aruba,106177,106277,180,590.0,-0.0009,0.0,198
Saint Vincent and the Grenadines,103683,103698,390,266.0,-0.0001,0.0,199
United States Virgin Islands,98055,98750,347,283.0,-0.007,0.0,200
Antigua and Barbuda,94816,94298,440,215.0,0.0055,0.0,201
Isle of Man,84904,84710,570,149.0,0.0023,0.0,202
Andorra,80341,80088,470,171.0,0.0032,0.0,203
Dominica,73368,73040,750,98.0,0.0045,0.0,204
Cayman Islands,69885,69310,240,291.0,0.0083,0.0,205
Bermuda,63935,64069,54,1184.0,-0.0021,0.0,206
Guernsey,63788,63544,63,1013.0,0.0038,0.0,207
Greenland,56789,56643,410.4K,0.14,0.0026,0.0,208
Faroe Islands,53444,53270,1.4K,39.0,0.0033,0.0,209
Northern Mariana Islands,50025,49796,460,109.0,0.0046,0.0,210
Saint Kitts and Nevis,47847,47755,260,184.0,0.0019,0.0,211
Turks and Caicos Islands,46431,46062,948,49.0,0.008,0.0,212
Sint Maarten,44309,44222,34,1303.0,0.002,0.0,213
American Samoa,43544,43914,200,218.0,-0.0084,0.0,214
Marshall Islands,42415,41996,180,236.0,0.01,0.0,215
Liechtenstein,39822,39584,160,249.0,0.006,0.0,216
Monaco,36157,36297,2,18079.0,-0.0039,0.0,217
San Marino,33614,33642,60,560.0,-0.0008,0.0,218
Gibraltar,32718,32688,7,4811.0,0.0009,0.0,219
Saint Martin,32337,32077,50,647.0,0.0081,0.0,220
British Virgin Islands,31763,31538,150,212.0,0.0071,0.0,221
Palau,18051,18058,460,39.0,-0.0004,0.0,222
Cook Islands,17072,17044,240,71.0,0.0016,0.0,223
Anguilla,15936,15899,91,175.0,0.0023,0.0,224
Nauru,12884,12780,20,644.0,0.0081,0.0,225
Tuvalu,11478,11396,30,383.0,0.0072,0.0,226
Wallis and Futuna,11439,11502,274,42.0,-0.0055,0.0,227
Saint Barthelemy,11019,10994,25,441.0,0.0023,0.0,228
Saint Pierre and Miquelon,5815,5840,242,24.0,-0.0043,,229
Montserrat,4372,4386,102,43.0,-0.0032,,230
Falkland Islands,3803,3791,12.2K,0.31,0.0032,,231
Niue,1935,1935,261,7.0,0.0,,232
Tokelau,1915,1893,10,192.0,0.0116,,233
Vatican City,526,518,< 1,1195.0,0.0154,,234
