City,Country,Continent,Population (2024),Population (2023),Growth Rate
Bucaramanga,Colombia,South America,1396632,1381498,0.011
Uyo,Nigeria,Africa,1393453,1329284,0.0483
Copenhagen,Denmark,Europe,1391205,1381005,0.0074
Shiyan,China,Asia,1387377,1354025,0.0246
Taizhong,Taiwan,Asia,1381855,1369066,0.0093
Bareilly,India,Asia,1380715,1348664,0.0238
Pointe Noire,Republic of the Congo,,1379368,1336387,0.0322
Adelaide,Australia,Oceania,1379280,1366783,0.0091
Suweon,South Korea,Asia,1378229,1365352,0.0094
Mwanza,Tanzania,Africa,1378014,1310754,0.0513
Mianyang Sichuan,China,Asia,1376449,1351383,0.0185
Samut Prakan,Thailand,Asia,1376146,1358871,0.0127
Maceio,Brazil,South America,1375984,1363510,0.0091
San Diego,United States,North America,1375452,1378307,-0.0021
Qom,Iran,Asia,1373800,1354174,0.0145
Antalya,Turkey,Asia,1372400,1347240,0.0187
Joinville,Brazil,South America,1361992,1348521,0.01
Tengzhou,China,Asia,1360779,1322916,0.0286
Yingkou,China,Asia,1355564,1323174,0.0245
Ad Dammam,Saudi Arabia,Asia,1352912,1329291,0.0178
Suzhou,China,Asia,1349994,1310433,0.0302
Tanger,Morocco,Africa,1348848,1314178,0.0264
Freetown,Sierra Leone,Africa,1347559,1309168,0.0293
Helsinki,Finland,Europe,1346810,1337786,0.0067
Aligarh,India,Asia,1346018,1312369,0.0256
Moradabad,India,Asia,1335966,1301740,0.0263
Pekan Baru,Indonesia,Asia,1334532,1303355,0.0239
Maoming,China,Asia,1333930,1303900,0.023
Lilongwe,Malawi,Africa,1333096,1276316,0.0445
Porto,Portugal,Europe,1329301,1324652,0.0035
Prague,Czech Republic,,1327947,1323339,0.0035
Astana,Kazakhstan,Asia,1324111,1291280,0.0254
Jieyang,China,Asia,1320779,1282479,0.0299
Fushun Liaoning,China,Asia,1317276,1304565,0.0097
Mysore,India,Asia,1316461,1288245,0.0219
Abomey Calavi,Benin,Africa,1314916,1252890,0.0495
Ruian,China,Asia,1314784,1281790,0.0257
Fes,Morocco,Africa,1313311,1290039,0.018
Port Elizabeth,South Africa,Africa,1312631,1295928,0.0129
Florianopolis,Brazil,South America,1309895,1294486,0.0119
Ahvaz,Iran,Asia,1309372,1293619,0.0122
Bukavu,DR Congo,Africa,1308469,1248783,0.0478
Nnewi,Nigeria,Africa,1300993,1239186,0.0499
Kazan,Russia,Asia,1296232,1291884,0.0034
Jinhua,China,Asia,1296065,1257941,0.0303
Dallas,United States,North America,1295447,1297495,-0.0016
San Luis Potosi,Mexico,North America,1292133,1273325,0.0148
Baoji,China,Asia,1290231,1261077,0.0231
Durg Bhilainagar,India,Asia,1289673,1266034,0.0187
Bhubaneswar,India,Asia,1289254,1257642,0.0251
Kigali,Rwanda,Africa,1287952,1247551,0.0324
Sofia,Bulgaria,Europe,1287540,1288114,-0.0004
Pingdingshan Henan,China,Asia,1285750,1256581,0.0232
Dublin,Ireland,Europe,1284551,1270172,0.0113
Puning,China,Asia,1282756,1254160,0.0228
Chifeng,China,Asia,1279544,1252414,0.0217
Zhuzhou,China,Asia,1277238,1254519,0.0181
Bujumbura,Burundi,Africa,1277050,1206767,0.0582
Zhenjiang Jiangsu,China,Asia,1275395,1250668,0.0198
Liupanshui,China,Asia,1272872,1230644,0.0343
Barquisimeto,Venezuela,South America,1267872,1254192,0.0109
Islamabad,Pakistan,Asia,1266792,1232447,0.0279
Huaibei,China,Asia,1264856,1236271,0.0231
Tasikmalaya,Indonesia,Asia,1258124,1213778,0.0365
Maracay,Venezuela,South America,1256553,1242945,0.0109
Bogor,Indonesia,Asia,1256155,1231445,0.0201
Da Nang,Vietnam,Asia,1253228,1220634,0.0267
Nizhniy Novgorod,Russia,Asia,1250302,1251332,-0.0008
Nanyang Henan,China,Asia,1250300,1224629,0.021
Xiangtan Hunan,China,Asia,1249380,1223912,0.0208
Pizhou,China,Asia,1247177,1207275,0.0331
Tiruchirappalli,India,Asia,1244978,1221960,0.0188
Chelyabinsk,Russia,Asia,1243883,1240926,0.0024
Mendoza,Argentina,South America,1242319,1226427,0.013
Luohe,China,Asia,1241152,1197935,0.0361
Xiongan,China,Asia,1240158,1183042,0.0483
Chandigarh,India,Asia,1239699,1214775,0.0205
Merida,Mexico,North America,1239654,1220603,0.0156
Jinzhou,China,Asia,1238377,1215376,0.0189
Benxi,China,Asia,1237550,1216852,0.017
Binzhou,China,Asia,1233584,1200222,0.0278
Aba,Nigeria,Africa,1230407,1188803,0.035
Chiang Mai,Thailand,Asia,1228773,1213348,0.0127
Bazhong,China,Asia,1225591,1175989,0.0422
Quetta,Pakistan,Asia,1221495,1190348,0.0262
Kaduna,Nigeria,Africa,1221451,1187398,0.0287
Guilin,China,Asia,1218067,1196841,0.0177
Saharanpur,India,Asia,1207856,1171689,0.0309
Hubli Dharwad,India,Asia,1205428,1181194,0.0205
Yueqing,China,Asia,1201400,1169864,0.027
Guwahati,India,Asia,1199455,1176330,0.0197
Mexicali,Mexico,North America,1196982,1178477,0.0157
Salem,India,Asia,1194757,1169953,0.0212
Maputo,Mozambique,Africa,1193253,1162793,0.0262
Tripoli,Libya,Africa,1192436,1183292,0.0077
Haifa,Israel,Asia,1186475,1174429,0.0103
Bandar Lampung,Indonesia,Asia,1186233,1162242,0.0206
Bobo Dioulasso,Burkina Faso,Africa,1185053,1128646,0.05
Amsterdam,Netherlands,Europe,1181817,1174025,0.0066
Shimkent,Kazakhstan,Asia,1181020,1155073,0.0225
Omsk,Russia,Asia,1180677,1180745,-0.0001
Aguascalientes,Mexico,North America,1179301,1161448,0.0154
Hargeysa,Somalia,Africa,1176617,1127198,0.0438
Krasnoyarsk,Russia,Asia,1173095,1166792,0.0054
Xinxiang,China,Asia,1160840,1140599,0.0177
Siliguri,India,Asia,1159371,1126249,0.0294
Wenling,China,Asia,1159259,1131361,0.0247
Samara,Russia,Asia,1154451,1155732,-0.0011
Zaozhuang,China,Asia,1150859,1133629,0.0152
Cologne,Germany,Europe,1149014,1143715,0.0046
Yongin,South Korea,Asia,1147967,1135671,0.0108
Ufa,Russia,Asia,1146786,1144799,0.0017
Fuyang,China,Asia,1146343,1120694,0.0229
Ikorodu,Nigeria,Africa,1145224,1093308,0.0475
Bien Hoa,Vietnam,Asia,1142997,1110824,0.029
Jalandhar,India,Asia,1142682,1118826,0.0213
Panjin,China,Asia,1142542,1120675,0.0195
Ma'anshan,China,Asia,1140264,1112680,0.0248
Cuernavaca,Mexico,North America,1140169,1123843,0.0145
Rostov on Don,Russia,Asia,1139641,1138854,0.0007
Chihuahua,Mexico,North America,1135342,1116295,0.0171
Fuzhou Jiangxi,China,Asia,1131718,1100271,0.0286
Tshikapa,DR Congo,Africa,1131226,1077108,0.0502
Shangrao,China,Asia,1130887,1106736,0.0218
Samarinda,Indonesia,Asia,1128176,1100324,0.0253
Bishkek,Kyrgyzstan,Asia,1127721,1104742,0.0208
Zhaoqing,China,Asia,1127601,1103202,0.0221
San Salvador,El Salvador,North America,1123376,1116052,0.0066
Yichun Jiangxi,China,Asia,1122041,1078630,0.0402
Chenzhou,China,Asia,1119791,1084969,0.0321
Sekondi Takoradi,Ghana,Africa,1119534,1077929,0.0386
Leshan,China,Asia,1116497,1087409,0.0267
Aden,Yemen,Asia,1116193,1079670,0.0338
Goyang,South Korea,Asia,1114079,1105283,0.008
Diyarbakir,Turkey,Asia,1113333,1096937,0.0149
Asmara,Eritrea,Africa,1111748,1072666,0.0364
Dezhou,China,Asia,1108356,1080680,0.0256
Jingzhou Hubei,China,Asia,1108067,1089886,0.0167
Managua,Nicaragua,North America,1107118,1094510,0.0115
Johor Bahru,Malaysia,Asia,1107001,1086214,0.0191
Kermanshah,Iran,Asia,1101611,1084623,0.0157
Nyala,Sudan,Africa,1101314,1056952,0.042
Oslo,Norway,Europe,1100868,1085992,0.0137
Kirkuk,Iraq,Asia,1100390,1074884,0.0237
Yerevan,Armenia,Asia,1097542,1094813,0.0025
Cartagena,Colombia,South America,1096463,1087599,0.0082
Changshu,China,Asia,1093687,1059902,0.0319
Huzhou,China,Asia,1091811,1067651,0.0226
Xuchang,China,Asia,1091744,1063876,0.0262
Solapur,India,Asia,1088131,1070322,0.0166
Lille,France,Europe,1085199,1079120,0.0056
Mersin,Turkey,Asia,1084817,1069402,0.0144
Tbilisi,Georgia,Asia,1084471,1082245,0.0021
Perm,Russia,Asia,1084120,1081768,0.0022
Voronezh,Russia,Asia,1083724,1080808,0.0027
Denpasar,Indonesia,Asia,1075244,1053041,0.0211
Toulouse,France,Europe,1070746,1060460,0.0097
Blantyre Limbe,Malawi,Africa,1070625,1030974,0.0385
Aracaju,Brazil,South America,1070122,1056986,0.0124
Marrakech,Morocco,Africa,1067172,1049690,0.0167
Qujing,China,Asia,1066897,1038964,0.0269
Yueyang,China,Asia,1064166,1048889,0.0146
Ilorin,Nigeria,Africa,1063713,1030498,0.0322
Tampico,Mexico,North America,1062567,1047251,0.0146
Antwerp,Belgium,Europe,1061089,1057215,0.0037
Teresina,Brazil,South America,1059657,1050459,0.0088
Guiping,China,Asia,1055921,1020399,0.0348
Warangal,India,Asia,1055604,1031090,0.0238
Changwon,South Korea,Asia,1055373,1054442,0.0009
Padang,Indonesia,Asia,1052849,1033645,0.0186
Saltillo,Mexico,North America,1050320,1034126,0.0157
Xintai,China,Asia,1049486,1023756,0.0251
Cancun,Mexico,North America,1045005,1022604,0.0219
Cebu City,Philippines,Asia,1042613,1024945,0.0172
San Miguel De Tucuman,Argentina,South America,1039226,1026767,0.0121
Hamah,Syria,Asia,1034498,995747,0.0389
Acapulco De Juarez,Mexico,North America,1032772,1018976,0.0135
Warri,Nigeria,Africa,1031425,986921,0.0451
Kayseri,Turkey,Asia,1025507,1013240,0.0121
Chengde,China,Asia,1024521,993097,0.0316
Owerri,Nigeria,Africa,1022922,983352,0.0402
Rotterdam,Netherlands,Europe,1021919,1018012,0.0038
Pingxiang Jiangxi,China,Asia,1021575,999721,0.0219
Zhucheng,China,Asia,1019600,991208,0.0286
Songkhla,Thailand,Asia,1017784,1005007,0.0127
Valparaiso,Chile,South America,1016585,1008599,0.0079
Dehradun,India,Asia,1016402,991876,0.0247
Nonthaburi,Thailand,Asia,1013672,1000947,0.0127
Leiyang,China,Asia,1013191,978327,0.0356
Dushanbe,Tajikistan,Asia,1012794,986899,0.0262
Nampula,Mozambique,Africa,1012582,969322,0.0446
Misratah,Libya,Africa,1011119,984193,0.0274
Krasnodar,Russia,Asia,1010552,1001155,0.0094
Laiwu,China,Asia,1009727,986248,0.0238
Bordeaux,France,Europe,1009594,1000475,0.0091
Jixi Heilongjiang,China,Asia,1008989,993175,0.0159
San Pedro Sula,Honduras,North America,1008220,982021,0.0267
Odesa,Ukraine,Europe,1007596,1007716,-0.0001
Jiujiang,China,Asia,1004247,982777,0.0218
Lubango,Angola,Africa,1003016,958548,0.0464
Morelia,Mexico,North America,1002461,988744,0.0139
Jos,Nigeria,Africa,1001155,970129,0.032
Sylhet,Bangladesh,Asia,999374,964291,0.0364
Agadir,Morocco,Africa,998146,979248,0.0193
Volgograd,Russia,Asia,993352,995078,-0.0017
Mudanjiang,China,Asia,992414,975348,0.0175
Jacksonville,United States,North America,990931,981125,0.01
Guigang,China,Asia,990310,967428,0.0237
Fort Worth,United States,North America,989842,973275,0.017
Najaf,Iraq,Asia,987814,958487,0.0306
Bangui,Central African Republic,,985965,958335,0.0288
Rajshahi,Bangladesh,Asia,983707,961991,0.0226
Hengshui,China,Asia,983694,955663,0.0293
Austin,United States,North America,983126,978786,0.0044
Jerusalem,Israel,Asia,983097,969804,0.0137
Zhangzhou,China,Asia,980054,955519,0.0257
Xinyu,China,Asia,979303,952278,0.0284
Linfen,China,Asia,978614,951822,0.0281
Tianmen,China,Asia,978317,953768,0.0257
Ciudad Guayana,Venezuela,South America,978202,964266,0.0145
Zamboanga City,Philippines,Asia,977081,960349,0.0174
Yangjiang,China,Asia,976606,956079,0.0215
Taiz,Yemen,Asia,974518,940600,0.0361
Cucuta,Colombia,South America,972485,963045,0.0098
Arequipa,Peru,South America,971296,958998,0.0128
Liling,China,Asia,970907,936997,0.0362
Antipolo,Philippines,Asia,968288,946653,0.0229
Veracruz,Mexico,North America,968070,955226,0.0134
Reynosa,Mexico,North America,967627,951417,0.017
Khulna,Bangladesh,Asia,965483,955104,0.0109
Deyang,China,Asia,963160,939166,0.0255
Pathum Thani,Thailand,Asia,962126,950048,0.0127
Bengbu,China,Asia,959784,944465,0.0162
Jiangyin,China,Asia,959250,933395,0.0277
Southampton,United Kingdom,,959202,951531,0.0081
Villahermosa,Mexico,North America,958118,943530,0.0155
Baishan,China,Asia,956976,927532,0.0317
Nice,France,Europe,951808,948149,0.0039
Oran,Algeria,Africa,950768,935947,0.0158
West Rand,South Africa,Africa,947734,934341,0.0143
Cabinda,Angola,Africa,947634,904676,0.0475
Umuahia,Nigeria,Africa,947460,904139,0.0479
Bogra,Bangladesh,Asia,944877,905814,0.0431
Bahawalpur,Pakistan,Asia,944812,919654,0.0274
Seongnam,South Korea,Asia,942159,941508,0.0007
Guntur,India,Asia,940205,918324,0.0238
Dnipro,Ukraine,Europe,936766,941586,-0.0051
Campo Grande,Brazil,South America,934936,926095,0.0095
Malang,Indonesia,Asia,933392,919443,0.0152
Londrina,Brazil,South America,932892,922425,0.0113
Dandong,China,Asia,932648,917936,0.016
San Jose,United States,North America,932636,951934,-0.0203
Changzhi,China,Asia,930620,910743,0.0218
Hermosillo,Mexico,North America,929961,915060,0.0163
Bhiwandi,India,Asia,924670,906581,0.02
La Plata,Argentina,South America,923715,914036,0.0106
Liverpool,United Kingdom,Europe,922871,917032,0.0064
Ashgabat,Turkmenistan,Asia,921601,902353,0.0213
Concepcion,Chile,South America,920916,911862,0.0099
Charlotte,United States,North America,920325,909022,0.0124
Puducherry,India,Asia,919280,897983,0.0237
Changde,China,Asia,919026,898338,0.023
Bergamo,Italy,Europe,918675,913376,0.0058
Firozabad,India,Asia,918218,894388,0.0266
Erbil,Iraq,Asia,917639,896716,0.0233
Tyumen,Russia,Asia,916862,903815,0.0144
Trujillo,Peru,South America,916632,903896,0.0141
Liaoyang,China,Asia,916238,900692,0.0173
Shangqiu,China,Asia,915823,895111,0.0231
Ulsan,South Korea,Asia,914300,912734,0.0017
Tuxtla Gutierrez,Mexico,North America,913075,897694,0.0171
Columbus,United States,North America,909676,908823,0.0009
Kuerle,China,Asia,906765,875496,0.0357
Soshanguve,South Africa,Africa,905868,892254,0.0153
Xingtai,China,Asia,904070,886381,0.02
Culiacan,Mexico,North America,903910,888620,0.0172
Quzhou,China,Asia,902621,871457,0.0358
Cherthala,India,Asia,901820,870465,0.036
Huangshi,China,Asia,893107,876930,0.0184
Fuxin,China,Asia,889767,876131,0.0156
Lokoja,Nigeria,Africa,885882,839046,0.0558
Hufuf Mubarraz,Saudi Arabia,Asia,884753,872438,0.0141
Libreville,Gabon,Africa,883920,869773,0.0163
Yongzhou,China,Asia,883326,860522,0.0265
Xinghua,China,Asia,882986,861978,0.0244
Donetsk,Ukraine,Europe,882209,887716,-0.0062
Yibin,China,Asia,881480,864910,0.0192
Enugu,Nigeria,Africa,875552,846560,0.0342
Tainan,Taiwan,Asia,875392,869625,0.0066
Indianapolis (balance),United States,North America,874089,877355,-0.0037
Xinyang,China,Asia,873268,855191,0.0211
Ipoh,Malaysia,Asia,872424,857225,0.0177
Luzhou,China,Asia,870714,857683,0.0152
Banghazi,Libya,Africa,870502,859209,0.0131
Maiduguri,Nigeria,Africa,870201,844747,0.0301
Yangquan,China,Asia,869585,851630,0.0211
Huaihua,China,Asia,869575,843754,0.0306
Xiaogan,China,Asia,869479,849580,0.0234
Tianshui,China,Asia,858672,837479,0.0253
Bunia,DR Congo,Africa,856339,812090,0.0545
Bozhou,China,Asia,854946,830125,0.0299
Kottayam,India,Asia,853635,818628,0.0428
Zhuji,China,Asia,852608,834782,0.0214
Kunshan,China,Asia,851399,826414,0.0302
Quebec City,Canada,North America,851061,844249,0.0081
Palermo,Italy,Europe,850233,849687,0.0006
Winnipeg,Canada,North America,849251,841108,0.0097
Orumiyeh,Iran,Asia,848443,835900,0.015
Eskisehir,Turkey,Asia,848002,834065,0.0167
Benguela,Angola,Africa,843207,809468,0.0417
Jincheng,China,Asia,841928,818057,0.0292
Valencia,Spain,Europe,839770,838301,0.0018
Heze,China,Asia,838928,826777,0.0147
Saratov,Russia,Asia,837687,838377,-0.0008
Nellore,India,Asia,837660,816293,0.0262
Huludao,China,Asia,836344,821132,0.0185
Zanzibar,Tanzania,Africa,835850,800010,0.0448
Barcelona Puerto La Cruz,Venezuela,South America,835805,825581,0.0124
Bikaner,India,Asia,835802,818566,0.0211
Haicheng,China,Asia,834639,821192,0.0164
Gebze,Turkey,Asia,831360,813394,0.0221
Taixing,China,Asia,830623,811451,0.0236
Liaocheng,China,Asia,830004,813369,0.0205
Zhumadian,China,Asia,829361,804537,0.0309
Newcastle Upon Tyne,United Kingdom,,828712,823431,0.0064
Langfang,China,Asia,827967,807833,0.0249
Bucheon,South Korea,Asia,826919,826981,-0.0001
Sulaimaniya,Iraq,Asia,823199,800793,0.028
Xalapa,Mexico,North America,822863,811041,0.0146
Malanje,Angola,Africa,822471,783243,0.0501
Anqiu,China,Asia,821765,791931,0.0377
Sorocaba,Brazil,South America,821435,813320,0.01
Gaomi,China,Asia,821154,797964,0.0291
Dasmarinas,Philippines,Asia,820886,802600,0.0228
Cagayan De Oro City,Philippines,Asia,820297,803194,0.0213
Hanchuan,China,Asia,818761,795835,0.0288
Meishan,China,Asia,818037,796756,0.0267
Bologna,Italy,Europe,816848,814332,0.0031
Ar Rayyan,Qatar,Asia,815869,798382,0.0219
Thessaloniki,Greece,Europe,814980,814524,0.0006
Muzaffarnagar,India,Asia,814491,791214,0.0294
Kayamkulam,India,Asia,813379,786192,0.0346
Nottingham,United Kingdom,,813078,806757,0.0078
Nakhon Ratchasima,Thailand,Asia,811446,801853,0.012
Danyang,China,Asia,810450,789755,0.0262
Ibb,Yemen,Asia,810149,771514,0.0501
Amravati,India,Asia,808263,792620,0.0197
Jiaozuo,China,Asia,808079,796509,0.0145
Vereeniging,South Africa,Africa,802900,793927,0.0113
Gorakhpur,India,Asia,801634,788276,0.0169
Gaza,Palestine,Asia,800636,778187,0.0288
Frankfurt,Germany,Europe,800529,796437,0.0051
Anqing,China,Asia,795987,779535,0.0211
Niigata,Japan,Asia,795916,797865,-0.0024
Oshogbo,Nigeria,Africa,795808,771515,0.0315
Linhai,China,Asia,795777,776076,0.0254
Shaoguan,China,Asia,794279,784230,0.0128
Erduosi Ordoss,China,Asia,794143,774321,0.0256
Merca,Somalia,Africa,793545,760129,0.044
Bur Sa'id,Egypt,Africa,792925,778280,0.0188
Kitwe,Zambia,Africa,792350,762981,0.0385
Yan'an,China,Asia,791839,767188,0.0321
Cuttack,India,Asia,789558,775559,0.0181
Hamilton,Canada,North America,786843,781047,0.0074
Zaria,Nigeria,Africa,786197,766007,0.0264
Banjarmasin,Indonesia,Asia,785125,770959,0.0184
Dengzhou,China,Asia,783041,759150,0.0315
Belgaum,India,Asia,783020,767161,0.0207
Malegaon,India,Asia,781925,764628,0.0226
Goma,DR Congo,Africa,781875,744247,0.0506
Zigong,China,Asia,779684,768075,0.0151
Qingyuan,China,Asia,778628,766782,0.0154
Yuncheng,China,Asia,777193,754711,0.0298
Shaoyang,China,Asia,776404,761169,0.02
Yanji,China,Asia,775672,757224,0.0244
Tirupati,India,Asia,775455,752744,0.0302
Maturin,Venezuela,South America,775097,758185,0.0223
Yuxi,China,Asia,774356,750102,0.0323
Akure,Nigeria,Africa,773141,744371,0.0387
Tongliao,China,Asia,772756,756158,0.022
Sialkot,Pakistan,Asia,770962,753325,0.0234
Tongling,China,Asia,770032,752916,0.0227
Krakow,Poland,Europe,769396,769417,0.0
Ansan,South Korea,Asia,768822,766703,0.0028
Wuzhou,China,Asia,768512,751679,0.0224
Dazhou,China,Asia,767532,748257,0.0258
Suining Sichuan,China,Asia,765887,750097,0.0211
Mangalore,India,Asia,763312,749073,0.019
Jiamusi,China,Asia,761903,749763,0.0162
Al Hudaydah,Yemen,Asia,759157,734699,0.0333
Seattle,United States,North America,757992,753624,0.0058
Sargodha,Pakistan,Asia,757915,741818,0.0217
Nay Pyi Taw,Myanmar,Asia,757823,722836,0.0484
Tamale,Ghana,Africa,757506,729768,0.038
Sao Jose Dos Campos,Brazil,South America,757137,749188,0.0106
Bacoor,Philippines,Asia,757035,739682,0.0235
Dongtai,China,Asia,756344,738200,0.0246
Zhangjiagang,China,Asia,755752,733810,0.0299
Nanded Waghala,India,Asia,755577,738552,0.0231
Xianyang Shaanxi,China,Asia,754446,743491,0.0147
Amara,Iraq,Asia,753708,729276,0.0335
Zarqa,Jordan,Asia,753392,748428,0.0066
Bhavnagar,India,Asia,751493,737128,0.0195
Sheffield,United Kingdom,Europe,751303,745876,0.0073
Huambo,Angola,Africa,751297,727641,0.0325
Ribeirao Preto,Brazil,South America,750174,742115,0.0109
Panzhihua,China,Asia,750036,738495,0.0156
