"State/UT","Area","Ever tobacco users (%)","Current tobacco users (%)","Ever tobacco smokers (%)","Current tobacco smokers (%)","Ever cigarette users (%)","Current cigarette users (%)","Ever bidi users (%) ","Current bidi users (%)","Ever smokeless tobacco users (%)","Current smokeless tobacco users (%)","Ever users of  paan masala together with tobacco (%)","Never cigarette smokers susceptible to cigarette use in future (%)","Median age of initiation of Cigarette (in years)","Median age of initiation of Bidi (in years)","Median age of initiation of smokeless tobacco (in years)","Awareness about e-cigarette (%)","Ever e-cigarette use (%)","Ever tobacco smokers who quit in last 12 months (%)","Current tobacco smokers who tried to quit smoking in the past 12 months (%)","Current tobacco smokers who wanted to quit smoking now   (%)","Ever  smokeless tobacco users who quit  in last 12 months (%)","Current smokeless tobacco users who tried to quit tobacco in the past 12 months   (%)","Current  smokeless tobacco users who wanted to quit tobacco now     (%)","Exposure to tobacco smoke at home/public place (%)","Exposure to tobacco smoke at home   (%)","Exposure to tobacco smoke inside any enclosed public  places  (%)","Exposure to tobacco smoke at any outdoor public places  (%)","Students who saw anyone smoking inside the  school building or outside school property (%)","Major source of tobacco product- Cigarette: Store   (%)","Major source of tobacco product- Cigarette: Paan shop (%)","Major source of tobacco product- Bidi: Store   (%)","Major source of tobacco product- Bidi: Paan shop (%)","Major source of tobacco product- Smokeless tobacco: Store   (%)","Major source of tobacco product- Smokeless tobacco: Paan shop  (%)","Current cigarette smokers who bought cigarettes from a store, paan shop, street vendor, or vending machine       (%)","Current bidi smokers who bought bidi from a store, paan shop, or street vendor (%)","Refused sale of cigarette because of age in past 30 days   (%)","Refused sale of bidi because of age in past 30 days   (%)","Refused sale of smokeless tobacco because of age in past 30 days    (%)","Bought Cigarette as individual sticks in past 30 days    (%)","Bought Bidi as individual sticks in past 30 days     (%)","Students who noticed anti-tobacco messages anywhere in past 30 days    (%)","Students who noticed anti-tobacco messages in mass media in past 30 days    (%)","Students who noticed anti-tobacco messages at sporting,  fairs, concerts, community events or social gatherings in past 30 days   (%)","Students who noticed health warnings on any tobacco product/cigarette packages in past 30 days       (%)","Students who saw tobacco advertisements anywhere in past 30 days  (%)","Students who saw anyone using tobacco on mass media in past 30 days  (%)","Students who noticed cigarette advertisements/promotions at point of sale in past 30 days (%)","Students who were taught in class about harmful effects of tobacco use during past 12 months (%)","Students who thought it is difficult to quit once someone starts smoking tobacco (%)","Students who thought other people’s tobacco smoking is harmful to them (%)","Students who favoured ban on smoking inside enclosed public places (%)","Students who favoured ban on smoking at outdoor public places (%)","School heads aware of COTPA, 2003  (%)","Schools authorized by the state government to collect fine for violation under Section-6 of the COTPA, 2003  (%)","Schools followed ‘tobacco-free school’ guidelines  (%)","Schools aware of the policy for displaying ‘tobacco-free school’ board  (%)"
"Meghalaya","Rural","42.7","33.2","35.0","29.0","23.6","19.9","21.2","17.5","33.4","23.1","12.7","4.1","11.7","12.2","11.9","33.9","10.0","33.9","41.6","57.9","65.5","48.3","68.7","68.0","40.8","54.7","59.5","46.1","28.6","23.0","48.6","21.2","58.1","26.7","71.6","74.4","68.3","52.5","56.6","52.3","57.2","83.5","52.6","29.5","49.9","69.6","58.4","28.2","46.0","37.4","58.6","67.1","77.0","94.4","38.9","83.3","88.9"
"Mizoram","Total","89.7","57.9","83.0","43.6","76.9","35.3","19.7","4.6","69.1","33.3","17.7","2.4","11.1","11.5","10.1","37.9","21.1","21.8","52.3","52.7","22.4","59.3","50.2","64.8","42.4","50.7","55.8","68.6","48.0","34.8","66.7","17.0","51.4","28.4","57.8","24.7","18.8","17.0","10.1","45.5","53.5","89.9","57.0","39.1","68.0","77.3","72.7","17.3","55.5","63.1","83.7","85.9","88.6","95.2","57.1","76.2","81.0"
"Mizoram","Urban","88.7","59.6","81.9","44.5","76.8","37.3","20.2","4.7","72.9","37.0","21.7","1.7","11.2","11.2","10.4","37.7","18.5","21.3","55.3","54.9","24.2","61.4","54.5","65.7","43.3","53.5","57.0","68.9","51.8","30.9","63.4","2.7","49.2","31.0","63.0","20.8","15.9","8.4","9.2","52.2","60.1","90.5","61.9","43.6","69.4","83.7","79.1","20.4","60.6","65.3","88.7","86.6","92.1","91.7","50.0","66.7","75.0"
"Mizoram","Rural","91.1","55.8","84.5","42.4","77.1","32.7","19.1","4.3","63.9","28.3","12.3","3.6","10.9","12.1","9.7","38.2","24.4","22.4","48.0","49.5","19.7","55.5","42.6","63.6","41.3","46.9","54.1","68.1","41.9","41.1","69.7","30.3","55.9","23.4","49.7","30.3","23.8","20.7","11.6","35.1","47.3","89.0","50.4","33.0","66.0","68.8","64.3","13.3","48.7","60.2","77.1","85.1","83.9","100.0","66.7","88.9","88.9"
"Nagaland","Total","68.3","42.6","42.7","26.5","36.4","20.4","29.1","20.8","62.9","35.1","30.5","12.2","11.0","10.1","10.4","17.3","2.9","13.5","65.7","78.6","13.5","72.6","85.1","68.7","28.3","57.9","54.4","35.7","59.3","28.0","45.7","19.9","54.6","34.8","85.0","77.8","17.6","17.3","7.7","61.8","38.8","80.2","37.0","31.6","53.3","81.5","69.8","28.4","42.4","35.8","70.6","80.4","61.5","95.7","69.6","82.6","100.0"
"Nagaland","Urban","64.2","37.4","38.7","22.5","32.7","16.4","22.5","15.1","58.4","30.4","25.3","12.3","11.5","10.5","10.8","19.5","3.4","19.5","60.8","72.3","12.2","66.8","77.7","62.5","25.0","53.4","49.5","37.6","49.3","33.9","50.2","12.6","50.2","35.9","83.7","68.4","13.0","7.4","7.0","57.4","38.1","81.3","40.1","34.7","55.7","79.8","69.2","28.1","43.7","37.4","75.5","82.4","69.1","91.7","75.0","75.0","100.0"
"Nagaland","Rural","71.5","46.8","45.9","29.7","39.4","23.6","34.3","25.3","66.6","38.9","34.7","12.0","10.6","9.9","10.1","15.5","2.6","9.4","68.7","82.5","14.4","76.2","89.8","73.7","31.1","61.6","58.4","34.2","65.1","24.6","43.6","23.3","57.5","34.2","85.8","82.3","20.2","21.8","8.2","64.3","39.1","79.3","34.4","29.1","51.4","82.8","70.2","28.7","41.3","34.6","66.7","78.8","55.4","100.0","63.6","90.9","100.0"
"Odisha","Total","17.9","6.2","11.5","4.6","4.8","1.6","4.2","1.9","10.2","2.4","3.7","13.9","11.1","10.7","10.1","9.6","2.0","11.6","24.1","20.4","18.0","36.8","17.3","19.0","5.0","12.8","13.6","20.7","35.7","22.8","57.5","19.1","43.4","20.5","45.2","45.7","65.9","87.9","68.0","10.3","19.5","59.0","38.2","24.6","17.4","27.8","17.5","39.2","26.0","21.8","61.9","46.3","42.6","59.4","37.5","56.3","37.5"
"Odisha","Urban","16.9","5.3","9.0","3.8","5.0","1.8","2.1","0.7","11.8","2.3","2.9","16.9","9.3","10.7","10.5","10.7","2.3","5.7","5.2","11.3","11.8","28.1","0.0","16.9","4.2","10.6","10.8","18.2","100.0","0.0","65.5","34.5","91.5","0.0","6.6","70.7","0.0","100.0","100.0","0.0","65.5","69.7","47.9","25.8","14.5","25.6","12.8","33.0","34.7","16.8","64.6","51.8","50.1","80.0","60.0","60.0","60.0"
"Odisha","Rural","18.1","6.4","12.0","4.8","4.8","1.5","4.6","2.1","10.0","2.5","3.8","13.4","11.5","10.7","9.9","9.4","1.9","12.3","26.8","21.7","19.3","38.2","20.1","19.4","5.2","13.2","14.1","21.2","34.6","23.2","56.9","17.9","37.4","23.0","53.0","44.3","76.2","87.1","62.8","10.4","16.1","57.1","36.5","24.4","17.9","28.2","18.3","40.3","24.5","22.7","61.4","45.3","41.3","55.6","33.3","55.6","33.3"
"Puducherry","Total","11.6","4.3","5.7","2.8","1.5","0.0","0.1","0.0","8.6","1.4","4.2","3.8","14.5","12.2","<7.0","12.5","0.2","24.8","0.1","0.1","0.1","0.1","0.1","49.2","3.0","42.0","37.8","17.9","56.4","17.2","66.2","17.1","63.8","27.1","65.0","6.1","29.0","7.3","53.1","30.0","41.8","75.4","56.5","27.7","19.3","55.5","46.8","14.8","24.6","40.5","77.1","52.6","59.1","68.2","18.2","63.6","45.5"
"Puducherry","Urban","11.6","4.3","5.7","2.8","1.5","0.0","0.1","0.0","8.6","1.4","4.2","3.8","14.5","12.4","<7.0","12.5","0.2","24.9","0.0","0.0","0.0","0.0","0.0","49.3","3.0","42.0","37.9","17.9","36.0","0.0","56.5","0.0","29.0","0.0","30.5","1.4","36.8","15.9","71.5","23.1","0.0","75.4","56.4","27.8","19.2","55.4","46.8","14.8","24.7","40.6","77.1","52.5","59.1","61.5","30.8","61.5","30.8"
"Puducherry","Rural","13.7","2.7","6.0","1.7","4.2","1.0","1.2","0.6","10.8","1.9","3.7","2.0","12.0","12.0","10.6","11.9","1.4","8.8","13.3","36.7","13.5","26.8","26.8","29.6","7.8","22.4","24.1","19.7","66.7","25.8","71.0","25.5","68.3","30.6","94.4","98.7","26.0","1.6","42.4","33.5","69.7","79.5","72.1","20.5","35.9","68.0","61.4","16.2","11.4","19.5","79.7","78.5","60.5","77.8","0.0","66.7","66.7"
"Punjab","Total","12.3","5.7","8.2","5.3","4.8","3.6","3.7","2.9","7.2","1.4","1.6","5.4","7.9","8.0","7.6","21.6","2.1","4.6","20.7","36.8","11.6","21.3","21.4","15.2","4.8","10.4","10.7","16.1","87.3","5.2","54.0","24.8","54.2","45.8","89.3","96.4","53.8","80.4","100.0","32.1","17.2","71.7","57.4","36.6","17.6","67.2","65.5","11.2","40.3","18.5","75.5","46.9","70.9","100.0","32.3","96.8","93.6"
"Punjab","Urban","8.5","3.0","5.6","2.2","1.3","0.8","1.0","0.7","3.6","0.9","0.9","5.0","9.7","12.8","<7","20.4","1.3","3.1","10.8","6.6","4.8","0.0","0.0","19.7","2.8","15.3","16.5","17.6","40.2","0.0","34.1","25.1","0.0","0.0","51.7","59.2","74.9","58.8","0.0","35.3","19.4","75.4","64.9","44.0","21.4","73.2","72.3","12.6","34.5","22.0","82.4","57.9","81.2","100.0","36.4","90.9","100.0"
"Punjab","Rural","13.9","6.8","9.2","6.6","6.2","4.7","4.8","3.9","8.7","1.5","2.0","5.5","7.8","7.9","7.8","22.1","2.4","5.0","22.1","41.1","12.8","26.5","26.6","13.3","5.6","8.3","8.3","15.4","89.8","5.5","55.6","24.8","100.0","100.0","91.8","99.3","52.8","82.0","100.0","31.9","17.0","70.1","54.2","33.5","16.0","64.7","62.7","10.5","42.8","17.0","72.6","42.3","66.7","100.0","30.0","100.0","90.0"
"Rajasthan","Total","11.1","4.1","8.0","3.9","7.0","3.7","4.5","3.6","7.0","3.7","2.8","17.1","13.4","14.2","7.6","15.6","0.4","30.4","88.9","88.9","17.8","33.4","2.4","19.2","9.3","12.7","15.7","30.4","63.2","34.7","99.0","0.6","64.6","34.6","96.7","98.3","2.0","0.5","66.2","33.8","32.6","82.5","46.2","53.7","43.8","74.3","67.9","16.0","46.6","23.5","72.7","69.2","71.9","100.0","64.7","97.1","94.1"
"Rajasthan","Urban","5.6","0.7","2.4","0.7","1.7","0.7","1.0","0.4","3.3","0.1","0.0","4.4","12.7","13.1","10.9","23.0","0.3","0.0","0.0","0.0","4.3","0.0","100.0","22.8","10.1","13.7","15.3","24.9","19.9","39.7","100.0","0.0","0.0","100.0","59.6","100.0","50.0","0.0","0.0","39.7","0.0","83.6","72.8","43.9","36.8","77.4","73.5","19.4","36.4","21.6","78.3","83.6","83.2","100.0","55.6","100.0","100.0"
"Rajasthan","Rural","12.1","4.7","9.0","4.5","7.9","4.2","5.2","4.1","7.6","4.3","3.3","19.4","13.4","14.2","7.6","14.4","0.4","31.8","91.4","91.4","18.8","33.6","1.8","18.5","9.2","12.5","15.8","31.3","64.5","34.5","99.0","0.6","65.0","34.2","97.8","98.3","0.8","0.5","66.2","33.7","33.2","82.3","41.6","55.4","45.1","73.7","67.0","15.5","48.3","23.9","71.8","66.7","69.9","100.0","68.0","96.0","92.0"
"Sikkim","Total","41.8","24.6","31.7","23.4","27.0","19.4","14.3","9.9","33.5","10.7","9.7","5.8","12.7","12.2","12.8","50.0","14.1","37.2","54.2","49.1","17.3","35.2","55.2","51.7","19.0","37.3","41.8","36.2","33.1","22.6","38.3","25.1","28.3","28.2","45.6","41.3","57.8","53.4","50.2","55.9","37.4","79.8","61.7","42.7","42.9","65.9","60.2","20.3","46.8","46.3","73.0","71.7","69.6","100.0","33.3","94.4","77.8"
"Sikkim","Urban","43.6","26.7","34.7","25.5","30.1","21.3","15.0","9.8","34.5","12.7","9.9","6.1","12.8","12.0","12.9","57.5","16.4","40.1","59.0","54.0","18.8","27.3","49.7","51.7","18.4","35.9","40.5","33.6","33.0","26.6","31.7","24.5","31.1","31.1","43.6","43.2","51.8","56.8","49.2","65.2","38.6","78.9","63.3","45.1","41.1","65.2","59.8","19.1","47.3","47.3","72.6","75.4","73.4","100.0","50.0","87.5","75.0"
"Sikkim","Rural","39.1","21.4","27.1","20.1","22.1","16.5","13.2","10.0","32.0","7.6","9.3","5.3","12.5","12.7","12.4","38.9","10.6","31.4","44.8","39.3","14.7","55.6","69.3","51.6","19.9","39.5","43.7","40.3","33.4","15.1","47.4","28.9","20.5","20.1","49.4","38.6","72.8","49.4","53.4","38.2","35.7","81.0","59.3","39.0","45.8","66.9","60.7","22.1","46.0","44.8","73.7","66.0","63.7","100.0","20.0","100.0","80.0"
"Tamil Nadu","Total","14.1","4.8","7.8","4.1","3.9","2.3","3.7","1.7","9.1","1.6","2.1","8.8","11.0","10.9","8.3","11.1","2.1","16.4","25.3","20.1","8.8","12.1","16.5","43.5","14.5","32.1","34.6","28.3","41.0","33.7","68.4","16.3","39.9","31.9","76.0","62.7","81.3","80.9","87.9","22.8","22.4","69.2","53.2","32.6","27.1","48.0","39.2","14.8","28.3","34.3","68.4","61.1","62.2","67.7","35.3","64.7","70.6"
"Tamil Nadu","Urban","15.1","6.4","10.0","5.8","5.5","3.7","4.9","2.1","8.8","1.9","2.3","8.1","11.1","11.8","8.9","13.4","2.5","17.8","30.9","22.7","11.6","16.6","20.7","41.9","15.5","31.2","33.1","24.1","50.7","33.9","73.5","13.3","28.7","49.2","87.8","75.3","79.8","79.6","100.0","21.2","15.5","72.5","56.8","35.6","30.4","45.4","36.7","13.9","31.9","35.3","66.3","66.1","69.7","60.0","26.7","66.7","60.0"
"Tamil Nadu","Rural","13.3","3.4","5.8","2.6","2.4","1.1","2.6","1.3","9.5","1.3","2.0","9.4","10.5","9.4","7.8","9.1","1.7","14.3","14.2","15.0","6.5","6.3","11.1","44.9","13.6","33.0","35.9","31.9","0.0","32.9","56.9","23.3","57.5","4.7","39.3","44.6","87.8","84.6","75.7","29.6","38.1","66.2","50.0","29.9","24.2","50.2","41.4","15.6","25.2","33.4","70.3","56.6","55.6","73.7","42.1","63.2","79.0"
"Telangana","Total","9.4","5.2","6.9","4.0","3.8","2.5","2.5","1.1","3.9","1.9","1.5","7.9","13.1","10.1","12.6","25.3","1.5","15.7","15.3","30.1","5.9","9.6","48.9","42.1","11.4","30.9","32.3","21.9","39.8","27.8","38.0","25.2","49.4","20.9","69.8","56.7","41.2","35.4","82.0","41.6","52.9","65.1","49.2","24.1","26.0","72.7","71.0","11.7","24.8","34.7","71.1","67.2","65.8","53.1","21.9","53.1","62.5"
"Telangana","Urban","9.7","5.0","6.9","3.8","3.5","2.1","2.1","1.0","4.0","1.8","0.9","8.9","12.5","12.5","13.1","28.8","1.5","11.2","16.7","20.0","7.2","9.6","18.5","42.0","7.4","31.8","31.5","24.0","16.8","37.7","65.0","2.3","33.4","15.8","52.4","34.6","59.3","20.4","73.6","57.6","48.0","67.6","52.4","29.1","29.1","78.2","77.0","11.4","28.1","38.8","73.3","72.5","71.7","52.9","29.4","64.7","76.5"
"Telangana","Rural","9.1","5.5","7.0","4.3","4.2","3.1","3.0","1.2","3.9","1.9","2.2","6.6","13.5","9.6","12.5","20.8","1.3","21.3","13.8","41.4","4.2","9.7","85.0","42.3","16.4","29.8","33.4","19.3","58.3","19.9","7.1","51.5","63.1","25.3","84.3","80.6","26.9","50.3","89.0","28.7","58.4","62.0","45.2","17.8","22.0","65.9","63.5","12.1","20.6","29.4","68.2","60.4","58.4","53.3","13.3","40.0","46.7"
"Tripura","Total","22.6","7.6","10.5","4.0","5.6","2.7","4.3","1.9","19.7","5.0","8.2","5.9","9.9","9.4","8.0","38.0","2.7","12.7","25.7","40.2","15.1","13.9","22.5","43.7","17.0","30.8","35.8","19.2","85.4","11.2","65.1","18.9","70.3","24.6","91.6","89.7","86.0","30.0","78.6","55.2","33.3","66.0","50.0","24.0","27.5","46.2","36.0","17.8","17.4","21.1","74.4","44.2","43.5","92.0","48.0","64.0","76.0"
"Tripura","Urban","13.4","2.4","5.5","2.2","3.0","0.5","2.0","1.2","9.9","0.3","2.7","3.9","11.2","12.1","12.4","44.9","2.2","9.0","76.8","54.6","5.1","0.0","0.0","57.0","22.5","43.7","48.1","23.9","0.0","0.0","98.3","1.7","100.0","0.0","0.0","58.5","0.0","100.0","100.0","0.0","0.0","75.5","54.3","28.1","29.4","63.4","51.8","24.4","23.2","27.7","85.4","75.4","73.1","100.0","50.0","66.7","100.0"
"Tripura","Rural","23.8","8.3","11.1","4.3","5.9","3.0","4.5","2.0","20.9","5.6","8.9","6.2","9.9","9.2","7.9","37.1","2.7","12.9","22.5","39.2","15.7","14.0","22.6","42.0","16.3","29.2","34.2","18.7","100.0","100.0","63.6","19.7","70.3","24.6","93.5","92.0","86.0","24.2","78.6","55.2","34.8","64.8","49.5","23.5","27.2","44.0","34.0","17.0","16.7","20.2","73.0","40.3","39.8","89.5","47.4","63.2","68.4"
"Uttar Pradesh","Total","32.2","22.9","23.4","21.2","4.0","2.3","4.6","1.9","24.4","12.3","12.5","8.0","9.6","7.9","7.7","34.3","5.0","3.2","4.3","4.0","1.8","26.6","26.8","26.7","16.3","21.7","23.3","43.8","29.3","22.8","38.4","36.1","61.6","20.3","64.0","79.5","78.2","57.4","97.9","26.1","21.9","69.6","51.7","35.3","18.0","61.2","51.9","17.5","48.0","22.9","74.7","57.1","63.3","91.9","59.5","91.9","86.5"
"Uttar Pradesh","Urban","6.6","2.6","2.8","1.7","0.9","0.6","1.4","0.6","4.9","1.0","1.5","4.6","9.4","6.8","10.9","18.6","1.1","13.5","18.0","8.9","0.3","10.1","3.5","25.1","13.6","20.8","21.8","25.4","44.5","13.2","28.6","64.6","62.6","0.0","76.5","100.0","39.4","48.2","73.8","24.9","20.9","63.0","50.8","39.2","13.4","78.7","77.5","14.2","39.8","19.1","67.6","53.9","58.7","100.0","70.0","100.0","90.0"
"Uttar Pradesh","Rural","36.3","26.1","26.7","24.2","4.5","2.5","5.1","2.1","27.4","14.1","14.2","8.8","9.6","7.9","7.7","36.7","5.6","3.1","4.2","3.9","1.8","26.8","27.1","26.9","16.7","21.8","23.5","46.7","28.6","23.3","38.9","34.6","61.6","21.0","63.5","78.5","79.8","57.9","98.1","26.1","21.9","70.6","51.8","34.7","18.8","58.4","47.9","18.1","49.3","23.5","75.8","57.6","64.0","88.9","55.6","88.9","85.2"
"Uttarakhand","Total","31.4","18.5","26.6","17.2","13.2","7.3","14.3","5.6","10.3","2.6","2.9","11.2","7.0","7.5","<7","36.9","7.6","14.1","20.9","17.9","7.1","8.8","1.6","42.5","11.9","31.0","30.2","17.8","69.1","13.9","72.6","20.5","39.4","27.8","26.1","74.0","62.2","75.1","31.0","43.5","17.3","70.0","40.2","37.6","31.7","47.3","36.1","16.7","27.5","25.4","63.4","50.7","56.5","50.0","14.3","67.9","60.7"
"Uttarakhand","Urban","39.5","25.7","35.9","24.8","19.4","9.7","22.2","7.7","8.7","1.6","2.4","11.4","7.1","7.6","<7","49.2","14.7","15.8","19.6","17.6","0.8","0.0","0.0","58.1","12.0","42.5","47.7","13.2","59.5","31.8","79.3","19.7","58.4","17.8","23.6","73.1","23.0","75.5","100.0","54.9","15.8","76.4","40.5","44.8","38.7","60.7","45.7","22.4","35.3","35.4","67.7","60.6","67.4","42.9","0.0","42.9","57.1"
"Uttarakhand","Rural","28.2","15.7","22.9","14.2","10.7","6.3","11.3","4.8","11.0","2.9","3.1","11.1","<7","7.4","7.5","32.1","4.8","13.1","21.8","18.1","9.0","10.7","2.0","36.4","11.8","26.5","23.4","19.7","76.1","0.7","68.2","21.1","34.3","30.5","27.6","69.2","89.0","74.8","69.3","35.2","18.2","67.5","40.1","34.8","28.9","42.0","32.3","14.4","24.4","21.5","61.7","46.9","52.2","52.4","19.1","76.2","61.9"
"West Bengal","Total","17.3","7.1","9.3","5.2","5.4","3.6","5.5","2.9","11.1","3.0","3.8","6.7","12.6","12.7","12.3","32.3","2.0","16.9","37.9","40.1","11.9","15.5","13.8","55.1","27.0","38.9","46.6","33.4","49.3","18.8","52.0","22.7","59.2","17.4","63.1","74.2","34.1","24.8","38.9","45.2","20.7","67.6","50.0","29.3","28.7","50.1","38.3","21.0","25.1","19.9","73.7","48.1","49.3","94.3","65.7","85.7","91.4"
"West Bengal","Urban","18.0","6.9","9.1","4.1","5.0","2.2","2.9","1.4","12.2","3.8","2.8","4.9","12.5","12.5","11.7","25.0","2.3","16.9","39.4","27.3","14.2","41.9","25.2","71.4","24.0","51.7","58.2","43.3","52.3","23.0","33.4","45.8","66.5","16.8","60.6","79.2","11.0","11.6","17.2","59.2","22.9","81.3","71.1","27.5","39.2","61.3","52.9","23.4","39.3","26.3","74.1","74.8","74.1","85.7","57.1","71.4","71.4"
