Date,Month,Weekday,Season,Holiday,Marketing_Spend,Revenue,Room_Revenue,Occupancy_Rate,ADR,RevPAR,Available_Rooms,Reserved_Rooms,Booking_Channel,Guest_Type,Market_Segment,Guest_Country,Complaints,Compliment,Bookings,No_Shows,Cancellations,Checkouts,New_Bookings,Checkins,Average_Review_Score,Revenue_Managed_Guests,RevPAR_Managed_Guests,Occupancy_Managed_Guests,RevPAR_All,Occupancy_All,Room_Revenue_All,Total_Revenue,Operating_Expenses,Fixed_Costs,Variable_Costs,Total_Costs,Profit
01/01/2024,1,1,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
02/01/2024,1,2,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
03/01/2024,1,3,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
04/01/2024,1,4,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
05/01/2024,1,5,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
06/01/2024,1,6,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
07/01/2024,1,7,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
08/01/2024,1,1,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
09/01/2024,1,2,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
10/01/2024,1,3,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
11/01/2024,1,4,Winter,1,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
12/01/2024,1,5,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
13/01/2024,1,6,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
14/01/2024,1,7,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
15/01/2024,1,1,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
16/01/2024,1,2,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
17/01/2024,1,3,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
18/01/2024,1,4,Winter,1,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
19/01/2024,1,5,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
20/01/2024,1,6,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
21/01/2024,1,7,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
22/01/2024,1,1,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
23/01/2024,1,2,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
24/01/2024,1,3,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
25/01/2024,1,4,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
26/01/2024,1,5,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
27/01/2024,1,6,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
28/01/2024,1,7,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
29/01/2024,1,1,Winter,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
30/01/2024,1,2,Winter,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
31/01/2024,1,3,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
01/02/2024,2,4,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
02/02/2024,2,5,Winter,1,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
03/02/2024,2,6,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
04/02/2024,2,7,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
05/02/2024,2,1,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
06/02/2024,2,2,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
07/02/2024,2,3,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
08/02/2024,2,4,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
09/02/2024,2,5,Winter,1,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
10/02/2024,2,6,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
11/02/2024,2,7,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
12/02/2024,2,1,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
13/02/2024,2,2,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
14/02/2024,2,3,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
15/02/2024,2,4,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
16/02/2024,2,5,Winter,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
17/02/2024,2,6,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
18/02/2024,2,7,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
19/02/2024,2,1,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
20/02/2024,2,2,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
21/02/2024,2,3,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
22/02/2024,2,4,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
23/02/2024,2,5,Winter,1,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
24/02/2024,2,6,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
25/02/2024,2,7,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
26/02/2024,2,1,Winter,0,65000,88000,49000,0.79,128,101.12,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,880,4.5,79,4.5,0.79,49000,55000,12000,6000,73000,15000,
27/02/2024,2,2,Winter,0,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
28/02/2024,2,3,Winter,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
29/02/2024,2,4,Winter,0,55000,82000,47000,0.77,122,93.94,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,820,4.6,77,4.6,0.77,47000,53000,11000,5000,69000,13000,
01/03/2024,3,5,Spring,1,70000,91000,50000,0.81,134,108.54,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
02/03/2024,3,6,Spring,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
03/03/2024,3,7,Spring,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
04/03/2024,3,1,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
05/03/2024,3,2,Spring,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
06/03/2024,3,3,Spring,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
07/03/2024,3,4,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
08/03/2024,3,5,Spring,1,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
09/03/2024,3,6,Spring,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
10/03/2024,3,7,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
11/03/2024,3,1,Spring,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
12/03/2024,3,2,Spring,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
13/03/2024,3,3,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
14/03/2024,3,4,Spring,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
15/03/2024,3,5,Spring,1,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
16/03/2024,3,6,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
17/03/2024,3,7,Spring,0,60000,85000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,850,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,12000,
18/03/2024,3,1,Spring,0,70000,90000,49000,0.8,130,104,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,900,4.7,80,4.7,0.8,49000,58000,11000,7000,76000,14000,
19/03/2024,3,2,Spring,0,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
02/07/2024,7,1,Summer,0,60000,86000,48000,0.78,125,97.5,32,8,OTA,Business,0.2,UK,1,1,9,2,1,7,3,2,4.6,860,4.6,78,4.6,0.78,48000,55000,12000,6000,73000,13000,
03/07/2024,7,2,Summer,0,70000,91000,50000,0.81,134,108.54,33,6,Direct,Leisure,0.22,Germany,0,2,8,1,1,8,4,1,4.7,910,4.7,81,4.7,0.81,50000,57000,11500,7000,75500,15500,
04/07/2024,7,3,Summer,1,50000,80000,45000,0.75,120,90,30,10,Direct,Leisure,0.25,USA,2,0,10,1,0,8,2,1,4.5,800,4.5,75,4.5,0.75,45000,50000,10000,5000,65000,15000,
05/07/2024,7,4,Summer,0,55000,83000,46000,0.76,123,88,31,9,OTA,Business,0.23,France,1,1,9,1,1,8,2,2,4.6,830,4.6,76,4.6,0.76,46000,52000,11000,5000,67000,16000,
06/07/2024,7,5,Summer,0,65000,89000,48000,0.78,128,93.84,32,10,Direct,Leisure,0.21,Italy,2,0,10,2,1,9,3,1,4.5,890,4.5,78,4.5,0.78,48000,54000,11500,5000,71000,18000,
07/07/2024,7,6,Summer,0,70000,93000,49000,0.8,135,108,33,8,OTA,Business,0.19,Spain,1,2,8,1,0,7,2,2,4.7,930,4.7,80,4.7,0.8,49000,57000,12000,6000,75000,18000,
08/07/2024,7,7,Summer,0,50000,79000,44000,0.74,118,81.92,29,11,Direct,Leisure,0.26,USA,3,0,11,1,1,7,3,2,4.4,790,4.4,74,4.4,0.74,44000,49000,10500,4500,59500,19500,
09/07/2024,7,1,Summer,0,60000,84000,47000,0.77,121,90.67,30,10,OTA,Business,0.2,UK,1,1,9,2,1,8,4,1,4.5,840,4.5,77,4.5,0.77,47000,53000,11000,5000,68000,16000,
10/07/2024,7,2,Summer,0,70000,88000,48000,0.79,124,96.96,31,9,Direct,Leisure,0.23,Germany,0,2,8,1,1,8,4,1,4.6,880,4.6,79,4.6,0.79,48000,54000,11000,6000,70000,18000,
11/07/2024,7,3,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,France,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
12/07/2024,7,4,Summer,0,55000,81000,44000,0.75,120,82.5,30,10,Direct,Leisure,0.25,Italy,1,0,10,1,1,8,3,1,4.4,810,4.4,75,4.4,0.75,44000,50000,10500,4500,59500,21500,
13/07/2024,7,5,Summer,0,65000,87000,46000,0.78,125,90.4,32,8,OTA,Business,0.2,Spain,1,2,8,1,1,8,4,1,4.5,870,4.5,78,4.5,0.78,46000,52000,11000,5000,67000,20000,
14/07/2024,7,6,Summer,0,70000,91000,48000,0.8,130,96,33,7,Direct,Leisure,0.21,USA,0,2,7,0,0,7,3,2,4.7,910,4.7,80,4.7,0.8,48000,55000,11000,6000,71000,20000,
15/07/2024,7,7,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,UK,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
16/07/2024,7,1,Summer,0,55000,81000,44000,0.75,120,82.5,30,10,Direct,Leisure,0.25,Germany,1,0,10,1,1,8,3,1,4.4,810,4.4,75,4.4,0.75,44000,50000,10500,4500,59500,21500,
17/07/2024,7,2,Summer,0,65000,87000,46000,0.78,125,90.4,32,8,OTA,Business,0.2,France,1,2,8,1,1,8,4,1,4.5,870,4.5,78,4.5,0.78,46000,52000,11000,5000,67000,20000,
18/07/2024,7,3,Summer,0,70000,91000,48000,0.8,130,96,33,7,Direct,Leisure,0.21,Italy,0,2,7,0,0,7,3,2,4.7,910,4.7,80,4.7,0.8,48000,55000,11000,6000,71000,20000,
19/07/2024,7,4,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,Spain,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
20/07/2024,7,5,Summer,0,55000,81000,44000,0.75,120,82.5,30,10,Direct,Leisure,0.25,USA,1,0,10,1,1,8,3,1,4.4,810,4.4,75,4.4,0.75,44000,50000,10500,4500,59500,21500,
21/07/2024,7,6,Summer,0,65000,87000,46000,0.78,125,90.4,32,8,OTA,Business,0.2,UK,1,2,8,1,1,8,4,1,4.5,870,4.5,78,4.5,0.78,46000,52000,11000,5000,67000,20000,
22/07/2024,7,7,Summer,0,70000,91000,48000,0.8,130,96,33,7,Direct,Leisure,0.21,Germany,0,2,7,0,0,7,3,2,4.7,910,4.7,80,4.7,0.8,48000,55000,11000,6000,71000,20000,
23/07/2024,7,1,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,France,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
24/07/2024,7,2,Summer,0,55000,81000,44000,0.75,120,82.5,30,10,Direct,Leisure,0.25,Italy,1,0,10,1,1,8,3,1,4.4,810,4.4,75,4.4,0.75,44000,50000,10500,4500,59500,21500,
25/07/2024,7,3,Summer,0,65000,87000,46000,0.78,125,90.4,32,8,OTA,Business,0.2,Spain,1,2,8,1,1,8,4,1,4.5,870,4.5,78,4.5,0.78,46000,52000,11000,5000,67000,20000,
26/07/2024,7,4,Summer,0,70000,91000,48000,0.8,130,96,33,7,Direct,Leisure,0.21,USA,0,2,7,0,0,7,3,2,4.7,910,4.7,80,4.7,0.8,48000,55000,11000,6000,71000,20000,
27/07/2024,7,5,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,UK,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
28/07/2024,7,6,Summer,0,55000,81000,44000,0.75,120,82.5,30,10,Direct,Leisure,0.25,Germany,1,0,10,1,1,8,3,1,4.4,810,4.4,75,4.4,0.75,44000,50000,10500,4500,59500,21500,
29/07/2024,7,7,Summer,0,65000,87000,46000,0.78,125,90.4,32,8,OTA,Business,0.2,France,1,2,8,1,1,8,4,1,4.5,870,4.5,78,4.5,0.78,46000,52000,11000,5000,67000,20000,
30/07/2024,7,1,Summer,0,70000,91000,48000,0.8,130,96,33,7,Direct,Leisure,0.21,Italy,0,2,7,0,0,7,3,2,4.7,910,4.7,80,4.7,0.8,48000,55000,11000,6000,71000,20000,
31/07/2024,7,2,Summer,0,50000,78000,43000,0.73,115,79.15,28,12,OTA,Business,0.27,Spain,2,1,10,2,0,6,2,2,4.3,780,4.3,73,4.3,0.73,43000,48000,10000,4000,58000,20000,
