Movie name,Year of release,Watch  hour ,Rating,Ratedby,Film Industry,Genre,Director,Box office collection,User reviews,Awards,Description,Streaming platform
12th Fail,2023,2 hours 27 minutes,8.9,126K,Bollywood (Hindi),"Drama, Biography",Vidhu Vinod Chopra,"$138,288.00",945,23 wins & 32 nominations,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,SonyLIV
Gol Maal,1979,2 hours ,8.5,20K,Bollywood (Hindi),Comedy,Hrishikesh Mukherjee, NIL,48,3 wins & 1 nomination,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,"Amazon Prime Video, YouTube, Zee5"
Maharaja,2024,2 hours 30 minutes,8.6,37K,Kollywood (Tamil),"Crime, Drama",Nithilan Saminathan,"$975,543.00",370,2 nominations,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...  ",Netflix
Nayakan,1987,2 hours 25 minutes,8.7,25K,Kollywood (Tamil),"Crime, Drama",Mani Ratnam,"$120,481.93",237,7 wins & 1 nomination,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ...  ","Amazon Prime Video, YouTube"
The World of Apu,1959,1 hour 45 minutes,8.4,17K,Bengali Cinema,Drama,Satyajit Ray,"$134,241.00",62,4 wins & 2 nominations total,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,"Amazon Prime Video, Hoichoi"
Anbe Sivam,2003,2 hours 40 minutes,8.6,26K,Kollywood (Tamil),"Drama, Comedy",Sundar C., NIL,115,2 wins & 3 nominations,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat...  ",Disney+ Hotstar
Pariyerum Perumal,2018,2 hours 34 minutes,8.7,19K,Kollywood (Tamil),"Drama, Social",Mari Selvaraj, NIL,169,11 wins & 5 nominations,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Amazon Prime Video
3 Idiots,2009,2 hours 50 minutes,8.4,441K,Bollywood (Hindi),"Comedy, Drama",Rajkumar Hirani,"$60,262,836.00",1000,64 wins & 30 nominations,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...  ","Netflix, Amazon Prime Video"
#Home,2021,2 hours 38 minutes,8.8,16K,Mollywood (Malayalam),"Drama, Family",Rojin Thomas, NIL,541,3 wins & 2 nominations,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Amazon Prime Video
Black Friday,2004,2 hours 23 minutes,8.4,22K,Bollywood (Hindi),"Crime, Drama, Thriller",Anurag Kashyap,"$1,610,897.00",88,1 win & 7 nominations,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",YouTube
Manichithrathazhu,1993,2 hours 49 minutes,8.7,13K,Mollywood (Malayalam),"Horror, Thriller, Drama",Fazil,"$843,373.49",53,5 wins,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Disney+ Hotstar
Rocketry: The Nambi Effect,2022,2 hours 37 minutes,8.7,59K,Bollywood (Hindi),"Biography, Drama",Madhavan,"$398,615.00",1100,6 wins & 19 nominations,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",Amazon Prime Video
Kumbalangi Nights,2019,2 hours 15 minutes,8.5,19K,Mollywood (Malayalam),"Drama, Family",Madhu C. Narayanan,"$1,312,005.00",194,13 wins & 11 nominations,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby st...  ",Amazon Prime Video
777 Charlie,2022,2 hours 44 minutes,8.7,41K,Sandalwood (Kannada),"Adventure, Drama",Kiranraj K,"$7,523,995.00",392,3 wins & 6 nominations,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa...  ,"Voot, Amazon Prime Video"
Kireedam,1989,2 hours 4 minutes,8.9,8.8K,Mollywood (Malayalam),"Drama, Family",Sibi Malayil,"$181,001.00",33,1 win,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,Amazon Prime Video
C/o Kancharapalem,2018,2 hours 32 minutes,8.8,8.2K,Tollywood (Telugu),"Drama, Anthology",Venkatesh Maha, NIL,139,2 wins & 6 nominations,Four unconventional love stories set in the town and including the people of Kancherapalem.,Netflix
Like Stars on Earth,2007,2 hours 42 minutes,8.3,209K,Bollywood (Hindi),"Drama, Family",Aamir Khan,"$21,897,373.00",463,28 wins & 18 nominations,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Netflix, Disney+ Hotstar"
Sandesham,1991,2 hours 18 minutes,9,5.4K,Mollywood (Malayalam),"Political Satire, Comedy",Sathyan Anthikad, NIL,17,2 wins,"A satire on contemporary Kerala politics where brothers turn local leaders of rival parties, leading to distress for their aged and once-proud parents.",Amazon Prime Video
Laapataa Ladies,2023,2 hours 2 minutes,8.4,39K,Bollywood (Hindi),"Drama, Comedy",Kiran Rao,"$108,886.00",319,5 nominations,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m...  ",Yet to be released/Not available
Dangal,2016,2 hours 41 minutes,8.3,215K,Bollywood (Hindi),"Biography, Sports, Drama",Nitesh Tiwari,"$303,723,636.00",497,41 wins & 38 nominations,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Netflix, Disney+ Hotstar"
Jersey,2019,2 hours 37 minutes,8.5,23K,Tollywood (Telugu),"Sports, Drama",Gowtam Tinnanuri,"$204,669.00",178,9 wins & 7 nominations,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,Netflix
Soorarai Pottru,2020,2 hours 33 minutes,8.7,125K,Kollywood (Tamil),"Drama, Biography",Sudha Kongara,"$1,807,228.92",2100,23 wins & 24 nominations,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Amazon Prime Video
96,2018,2 hours 38 minutes,8.5,38K,Kollywood (Tamil),"Romance, Drama",C. Prem Kumar,"$616,333.00",512,14 wins & 11 nominations,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,Amazon Prime Video
Natsamrat,2016,2 hours 46 minutes,8.8,7.3K,Marathi Cinema,"Drama, Tragedy",Mahesh Manjrekar,$633.00,72,2 wins & 5 nominations,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",Zee5
Visaaranai,2015,1 hour 57 minutes,8.4,12K,Kollywood (Tamil),"Crime, Drama, Thriller",Vetrimaaran,"$1,943.00",47,11 wins & 7 nominations,Four labourers are tortured by the police to confess to a theft they have not committed.,Netflix
Drishyam 2,2021,2 hours 32 minutes,8.4,42K,Mollywood (Malayalam),"Thriller, Drama",Jeethu Joseph,"$3,841.00",1000,10 nominations,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Amazon Prime Video
Kaithi,2019,2 hours 25 minutes,8.4,44K,Kollywood (Tamil),"Action, Thriller",Lokesh Kanagaraj,"$522,938.00",290,15 wins & 8 nominations,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Disney+ Hotstar
Mayabazar,1957,3 hours 12 minutes,9.1,5.9K,Tollywood (Telugu),"Fantasy, Mythological",Kadiri Venkata Reddy, NIL,39,NIL,"Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.","Amazon Prime Video, YouTube"
Nadodikkattu,1987,2 hours 38 minutes,8.8,5.9K,Mollywood (Malayalam),"Satire, Comedy, Thriller",Sathyan Anthikad, NIL,11,NIL,"After losing their jobs in Kerala, Dasan and Vijayan decide to migrate to the Middle East. But they end up in Tamil Nadu where they are mistaken as two CID officers by a group of smugglers.","Amazon Prime Video, YouTube"
Thevar Magan,1992,2 hours 25 minutes,8.7,8.2K,Kollywood (Tamil),"Drama, Family",Bharathan, NIL,26,13 wins,The urbane son of a village chieftain struggles between his personal aspirations and those of his family.,"Amazon Prime Video, YouTube"
Asuran,2019,2 hours 21 minutes,8.4,34K,Kollywood (Tamil),"Drama, Action",Vetrimaaran,"$379,728.00",285,22 wins & 9 nominations,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",Amazon Prime Video
Jai Bhim,2021,2 hours 44 minutes,8.7,219K,Kollywood (Tamil),"Drama, Legal",T.J. Gnanavel, NIL,3300,10 wins & 20 nominations,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Amazon Prime Video
Thalapathi,1991,2 hours 37 minutes,8.5,13K,Kollywood (Tamil),"Crime, Drama, Action",Mani Ratnam, NIL,28,4 wins,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.,Amazon Prime Video
Sita Ramam,2022,2 hours 43 minutes,8.5,71K,Tollywood (Telugu),"Romance, Drama",Hanu Raghavapudi,"$2,208,029.00",701,11 wins & 24 nominations,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After ...  ","Amazon Prime Video, Hotstar"
Drishyam,2013,2 hours 40 minutes,8.3,45K,Mollywood (Malayalam),"Thriller, Drama",Jeethu Joseph,"$13,076,265.00",141,16 wins & 6 nominations,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Amazon Prime Video
Anniyan,2005,3 hours 1minute,8.3,22K,Kollywood (Tamil),"Action, Psychological Thriller",S. Shankar,"$3,373,493.98",74,18 wins,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial el...  ",Amazon Prime Video
Jaane Bhi Do Yaaro,1983,2 hours 12 minutes,8.3,15K,Bollywood (Hindi),"Satire, Comedy",Kundan Shah, NIL,62,2 wins & 3 nominations,"Two photographers, who are employed by a magazine editor to expose the scandalous activities of the rich, come across corruption by a builder and accidentally photograph a murder.",YouTube
Khosla Ka Ghosla!,2006,2 hours 15 minutes,8.2,25K,Bollywood (Hindi),"Comedy, Drama",Dibakar Banerjee,"$40,194.00",54,2 wins & 7 nominations,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,Disney+ Hotstar
Aparajito,1956,1 hour 50 minutes,8.2,16K,Bengali Cinema,Drama,Satyajit Ray,"$134,241.00",59,6 wins & 2 nominations total,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",Amazon Prime Video
Sarpatta Parambarai,2021,2 hours 53 minutes,8.5,26K,Kollywood (Tamil),"Sports, Drama",Pa. Ranjith, NIL,465,10 wins & 18 nominations,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mothe...  ",Amazon Prime Video
Nuvvu Naaku Nachchav,2001,3 hours 4 minutes,8.8,5.7K,Tollywood (Telugu),"Romance, Comedy",Vijay K. Bhaskar, NIL,14,1 win,"Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",Amazon Prime Video
Vada Chennai,2018,2 hours 44 minutes,8.4,20K,Kollywood (Tamil),"Crime, Drama",Vetrimaaran,"$472,865.00",157,9 wins & 8 nominations,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,Hotstar
Thani Oruvan,2015,2 hours 40 minutes,8.4,22K,Kollywood (Tamil),"Thriller, Action",Mohan Raja,"$2,409,638.55",60,17 wins & 10 nominations,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",Disney+ Hotstar
Pather Panchali,1955,2 hours 5 minutes,8.2,39K,Bengali Cinema,Drama,Satyajit Ray,"$135,342.00",204,11 wins & 2 nominations total,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.","Amazon Prime Video, Hoichoi"
Satya,1998,2 hours 50 minutes,8.3,17K,Bollywood (Hindi),"Crime, Drama",Ram Gopal Varma, NIL,77,12 wins & 6 nominations,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,Amazon Prime Video
Bangalore Days,2014,2 hours 51 minutes,8.3,23K,Mollywood (Malayalam),"Drama, Romance, Comedy",Anjali Menon,"$180,217.00",76,20 wins & 2 nominations,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",Hotstar
Chupke Chupke,1975,2 hours 26 minutes,8.3,13K,Bollywood (Hindi),Comedy,Hrishikesh Mukherjee,"$11,939.76",22,NIL,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,"Amazon Prime Video, YouTube"
Premam,2015,2 hours 36 minutes,8.3,24K,Mollywood (Malayalam),"Romance, Drama",Alphonse Puthren,"$7,228,915.66",111,25 wins & 5 nominations,A young man has three opportunities to find love. Will the third time be the charm?,Disney+ Hotstar
Agent Sai Srinivasa Athreya,2019,2 hours 28 minutes,8.3,17K,Tollywood (Telugu),"Detective, Comedy, Thriller",Swaroop Rsj,"$4,454.00",178,1 win & 4 nominations,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,Amazon Prime Video
Devasuram,1993,3 hours 7 minutes,8.7,6.5K,Mollywood (Malayalam),"Drama, Action",I.V. Sasi, NIL,14,2 wins,"Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his li...  ","Amazon Prime Video, YouTube"
Drishyam,2015,2 hours 43 minutes,8.2,97K,Mollywood (Malayalam),"Thriller, Drama",Nishikant Kamat,"$9,400,000.00",310,2 wins & 8 nominations,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Amazon Prime Video
Gangs of Wasseypur,2012,5 hours 21 minutes,8.2,105K,Bollywood (Hindi),"Crime, Drama, Action",Anurag Kashyap,"$4,384,642.00",306,18 wins & 65 nominations,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Amazon Prime Video
Raatchasan,2018,2 hours 26 minutes,8.3,52K,Kollywood (Tamil),"Crime, Thriller, Mystery",Ram Kumar, NIL,572,3 wins & 6 nominations,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Disney+ Hotstar
Bhaag Milkha Bhaag,2013,3 hours 6 minutes,8.2,73K,Bollywood (Hindi),"Biography, Sports, Drama",Rakeysh Omprakash Mehra,"$17,551,296.00",216,55 wins & 46 nominations,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.","Disney+ Hotstar, Amazon Prime Video"
Guide,1965,3 hours 3 minutes,8.3,8.7K,Bollywood (Hindi),"Romance, Drama",Vijay Anand, NIL,62,9 wins & 3 nominations,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.","Amazon Prime Video, YouTube"
Sardar Udham,2021,2 hours 44 minutes,8.4,48K,Bollywood (Hindi),"Biography, Drama, History",Shoojit Sircar, NIL,952,31 wins & 30 nominations,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",Amazon Prime Video
Mahanati,2018,2 hours 57 minutes,8.4,15K,Tollywood (Telugu),"Biography, Drama",Nag Ashwin,"$279,078.00",108,22 wins & 13 nominations,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",Amazon Prime Video
Peranbu,2018,2 hours 27 minutes,8.7,17K,Kollywood (Tamil),Drama,Ram,"$3,417.00",425,5 wins & 9 nominations,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",Amazon Prime Video
Chithram,1988,2 hours 39 minutes,8.6,6.2K,Mollywood (Malayalam),"Comedy, Drama",Priyadarshan, NIL,14,2 wins,A woman hires a stranger to pose as her husband because she doesn't want her ailing father to know that her fiance broke their engagement.,Amazon Prime Video
Zindagi Na Milegi Dobara,2011,2 hours 35 minutes,8.2,87K,Bollywood (Hindi),"Drama, Romance",Zoya Akhtar,"$5,192,743.00",240,35 wins & 38 nominations,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,"Netflix, Amazon Prime Video"
Iruvar,1997,2 hours 20 minutes,8.4,7.4K,Kollywood (Tamil),"Drama, Political",Mani Ratnam, NIL,36,3 wins & 1 nomination,A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political po...  ,Amazon Prime Video
Super Deluxe,2019,2 hours 56 minutes,8.2,18K,Kollywood (Tamil),"Drama, Anthology",Thiagarajan Kumararaja,"$273,191.00",224,15 wins & 11 nominations,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one...  ",Netflix
Andhadhun,2018,2 hours 19 minutes,8.2,104K,Bollywood (Hindi),"Crime, Thriller, Comedy",Sriram Raghavan,"$62,475,342.00",927,35 wins & 43 nominations,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Netflix, Disney+ Hotstar"
Mudhalvan,1999,2 hours 49 minutes,8.4,8.6K,Kollywood (Tamil),"Political Thriller, Action",S. Shankar,"$6,024,096.39",14,3 wins & 2 nominations,"A man accepts a challenge to act as the Chief Minister of Tamil Nadu for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",Amazon Prime Video
Shahid,2012,2 hours 9 minutes,8.2,18K,Bollywood (Hindi),"Biography, Legal Drama",Hansal Mehta,"$377,803.00",74,11 wins & 9 nominations,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",Amazon Prime Video
Kannathil Muthamittal,2002,2 hours 16 minutes,8.3,9.3K,Kollywood (Tamil),"Drama, War, Family",Mani Ratnam, NIL,49,18 wins & 2 nominations,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",Amazon Prime Video
Hera Pheri,2000,2 hours 36 minutes,8.2,73K,Bollywood (Hindi),Comedy,Priyadarshan, NIL,128,8 wins & 6 nominations,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","Amazon Prime Video, YouTube"
Thirst,1957,2 hours 26 minutes,8.3,7.4K,South Korean Cinema,"Thriller, Drama, Mystery",Guru Dutt, NIL,62,NIL,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",Mubi
Munna Bhai M.B.B.S.,2003,2 hours 36 minutes,8.1,89K,Bollywood (Hindi),"Comedy, Drama",Rajkumar Hirani,"$3,137,716.00",104,25 wins & 35 nominations,A gangster sets out to fulfill his father's dream of becoming a doctor.,"Netflix, Amazon Prime Video"
Sairat,2016,2 hours 54 minutes,8.3,15K,Marathi Cinema,"Romance, Drama",Nagraj Manjule, NIL,105,12 wins & 5 nominations,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.",Zee5
Swades,2004,3 hours 9 minutes,8.2,99K,Bollywood (Hindi),Drama,Ashutosh Gowariker,"$1,953,889.00",366,18 wins & 26 nominations,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Netflix, Amazon Prime Video"
Spadikam,1995,2 hours 30 minutes,8.6,7K,Mollywood (Malayalam),"Action, Drama",Bhadran,"$62,313.00",19,4 wins,A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,Amazon Prime Video
Chhichhore,2019,2 hours 23 minutes,8.3,65K,Bollywood (Hindi),"Drama, Comedy",Nitesh Tiwari,"$3,311,391.00",736,5 wins & 20 nominations,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Disney+ Hotstar
Tumbbad,2018,1 hour 44 minutes,8.2,61K,Bollywood (Hindi),"Horror, Fantasy",Rahi Anil Barve,"$1,691,980.00",910,17 wins & 26 nominations,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Amazon Prime Video
Papanasam,2015,2 hours 59 minutes,8.4,8.7K,Mollywood (Malayalam),"Thriller, Drama",Jeethu Joseph,"$586,973.00",20,1 win & 8 nominations,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,Disney+ Hotstar
Vikram Vedha,2017,2 hours 27 minutes,8.2,51K,Kollywood (Tamil),"Action, Crime, Thriller",Gayatri,"$546,792.00",208,12 wins & 13 nominations,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a con...  ",Disney+ Hotstar
Manjummel Boys,2024,2 hours 15 minutes,8.3,20K,Mollywood (Malayalam),"Comedy, Drama",Chidambaram,"$3,784,106.00",124,NIL,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",Not available on major streaming platforms
Paan Singh Tomar,2012,2 hours 15 minutes,8.2,38K,Bollywood (Hindi),"Biography, Sports, Drama",Tigmanshu Dhulia,"$40,311.00",101,12 wins & 17 nominations,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Netflix
Jo Jeeta Wohi Sikandar,1992,2 hours 54 minutes,8.1,24K,Bollywood (Hindi),"Sports, Drama, Romance",Mansoor Khan, NIL,42,2 wins & 5 nominations,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",Amazon Prime Video
Mandela,2021,2 hours 20 minutes,8.4,8.6K,Kollywood (Tamil),"Satire, Comedy, Drama",Madonne Ashwin,"$602,409.64",141,5 wins & 6 nominations,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,Netflix
Chak De! India,2007,2 hours 33 minutes,8.1,86K,Bollywood (Hindi),"Sports, Drama",Shimit Amin,"$21,505,244.00",148,32 wins & 24 nominations,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.","Amazon Prime Video, Disney+ Hotstar"
Black,2005,2 hours 2 minutes,8.1,36K,Bollywood (Hindi),Drama,Sanjay Leela Bhansali,"$1,266,341.00",184,57 wins & 9 nominations,"Michelle, a disabled girl who can't see, hear, or speak, suffering in a world that has given up on her. But when the teacher Debraj enters her life, he becomes a ray of hope that she might p...  ",Amazon Prime Video
Aruvi,2016,2 hours 10 minutes,8.4,14K,Kollywood (Tamil),"Drama, Satire",Arun Prabhu Purushothaman,"$400,000.00",121,6 wins & 10 nominations,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she d...  ,Amazon Prime Video
