Movie name,Year of release,Watch  hour ,Rating,Ratedby,Film Industry,Genre,Director,Box office collection,User reviews,Awards,Description,Streaming platform
Evaru,2019,1 hour 58 minutes,8.1,7.5K,Tollywood (Telugu),"Thriller, Mystery",Venkat Ramji,"$62,744.00",95,1 win & 2 nominations,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case h...  ,Amazon Prime Video
Kshanam,2016,1 hour 50 minutes,8.2,6.1K,Tollywood (Telugu),"Thriller, Mystery",Ravikanth Perepu,"$132,530.12",22,3 wins & 6 nominations,"Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",Disney+ Hotstar
Gully Boy,2019,2 hours 34 minutes,7.9,44K,Bollywood (Hindi),"Drama, Musical",Zoya Akhtar,"$28,299,498.00",493,76 wins & 67 nominations,A coming-of-age story based on the lives of street rappers in Mumbai.,"Amazon Prime Video, Zee5"
Ayyappanum Koshiyum,2020,2 hours 57 minutes,8,11K,Mollywood (Malayalam),"Action, Drama, Thriller",Sachy,"$5,088,713.00",122,17 wins & 16 nominations,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",Amazon Prime Video
Kantara,2022,2 hours 28 minutes,8.2,104K,Sandalwood (Kannada),"Action, Drama, Fantasy",Rishab Shetty,"$2,406,221.00",1200,21 wins & 14 nominations,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.","Amazon Prime Video, Netflix"
22 Shey Shraban,2011,2 hours 19 minutes,8.1,6.2K,Bengali Cinema,"Crime, Thriller",Srijit Mukherji, NIL,22,NIL,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,Hoichoi
Ulidavaru Kandanthe,2014,2 hours 34 minutes,8.4,9.6K,Sandalwood (Kannada),"Crime, Drama",Rakshit Shetty,"$253,012.05",72,4 wins & 10 nominations,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",Voot
Charlie,2015,2 hours 10 minutes,8,13K,Mollywood (Malayalam),"Drama, Romance",Martin Prakkat,"$46,083.00",78,10 wins,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",SonyLIV
Ship of Theseus,2012,2 hours 20 minutes,8,7.9K,Bollywood (Hindi),"Drama, Philosophical",Anand Gandhi,"$144,578.31",82,12 wins & 13 nominations,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",Disney+ Hotstar
Jab We Met,2007,2 hours 18 minutes,7.9,60K,Bollywood (Hindi),"Romance, Comedy, Drama",Imtiaz Ali,"$10,065,630.00",127,14 wins & 22 nominations,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Netflix, Amazon Prime Video"
Thondi Muthalum Driksakshiyum,2017,2 hours 15 minutes,8.1,8.2K,Mollywood (Malayalam),"Crime, Drama, Family",Dileesh Pothan,"$803,887.00",39,22 wins & 1 nomination,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain...  ",Disney+ Hotstar
Deiva Thirumagal,2011,2 hours 46 minutes,8.2,6.6K,Kollywood (Tamil),"Drama, Family",A.L. Vijay,"$846,407.00",49,13 wins & 13 nominations,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",Amazon Prime Video
Pranchiyettan and the Saint,2010,2 hours 20 minutes,8.3,6.3K,Mollywood (Malayalam),"Comedy, Drama",Ranjith,$957.00,13,17 wins & 1 nomination,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name...  ,Disney+ Hotstar
My Name Is Khan,2010,2 hours 45 minutes,7.9,117K,Bollywood (Hindi),"Drama, Social",Karan Johar,"$42,345,360.00",362,25 wins & 36 nominations,"Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the Presid...  ",Netflix
Border,1997,2 hours 56 minutes,7.9,18K,Bollywood (Hindi),"War, Action, Drama",J.P. Dutta,"$1,325,301.20",48,15 wins & 11 nominations,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",Amazon Prime Video
Take Off,2017,2 hours 19 minutes,8.1,7.4K,Mollywood (Malayalam),"Drama, Thriller",Mahesh Narayanan,"$884,267.00",29,19 wins & 7 nominations,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture.",Disney+ Hotstar
Dev.D,2009,2 hours 24 minutes,7.9,32K,Bollywood (Hindi),"Romance, Drama, Musical",Anurag Kashyap,"$4,047,969.00",141,12 wins & 27 nominations,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin...  ",Netflix
Gargi,2022,2 hours 20 minutes,8.1,7K,Kollywood (Tamil),"Drama, Legal",Gautham Ramachandran,"$366,674.00",91,6 wins & 10 nominations,The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.,SonyLIV
The Brawler,2017,2 hours 34 minutes,8,8.7K,Bollywood (Hindi),"Drama, Sports",Anurag Kashyap,"$140,981.00",81,6 wins & 15 nominations,A boxer struggles to make his mark in the boxing world.,Mubi
Garuda Gamana Vrishabha Vahana,2021,2 hours 31 minutes,8.3,8.4K,Sandalwood (Kannada),"Crime, Drama",Raj B. Shetty,"$120,481.93",168,3 wins & 13 nominations,"Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their...  ",Zee5
Manjhi: The Mountain Man,2015,2 hours ,8,20K,Bollywood (Hindi),"Biography, Drama",Ketan Mehta,"$963,855.42",87,7 nominations,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Zee5
M.S. Dhoni: The Untold Story,2016,3 hours 4 minutes,8,69K,Bollywood (Hindi),"Biography, Sports, Drama",Mathur Goswami,"$28,903,047.00",265,12 wins & 29 nominations,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Disney+ Hotstar
Kal Ho Naa Ho,2003,3 hours 6 minutes,7.9,76K,Bollywood (Hindi),"Romance, Drama, Comedy",Nikkhil Advani,"$13,200,241.00",195,45 wins & 47 nominations,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain...  ",Amazon Prime Video
Vedam,2010,2 hours 15 minutes,8.1,8.9K,Tollywood (Telugu),"Drama, Anthology",Radha Krishna Jagarlamudi, NIL,29,8 wins & 3 nominations,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy.",Disney+ Hotstar
Salaam Bombay!,1988,1 hour 53 minutes,7.9,10K,Bollywood (Hindi),"Drama, Social",Mira Nair,"$2,080,758.00",75,13 wins & 8 nominations total,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.","Amazon Prime Video, YouTube"
Por Thozhil,2023,2 hours 27 minutes,8,10K,Kollywood (Tamil),"Thriller, Drama",Vignesh Raja,"$350,534.00",81,1 nomination,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the...  ,SonyLIV
Vinnaithaandi Varuvaayaa,2010,2 hours 37 minutes,8.1,7K,Kollywood (Tamil),"Romance, Drama",Gautham Vasudev Menon,"$292,732.00",46,14 wins & 17 nominations,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.,Amazon Prime Video
Pizza,2012,2 hours 7 minutes,7.9,8.8K,Kollywood (Tamil),"Thriller, Horror",Karthik Subbaraj,"$180,722.89",14,5 wins & 3 nominations,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,Disney+ Hotstar
The Music Room,1958,1 hour 35 minutes,7.9,6.8K,Bengali Cinema,Drama,Satyajit Ray,"$3,247.00",42,2 wins & 2 nominations,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.",Amazon Prime Video
Pad Man,2018,2 hours 20 minutes,7.9,29K,Bollywood (Hindi),"Biography, Drama, Social",R. Balki,"$29,045,020.00",145,4 wins & 8 nominations,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",Zee5
Traffic,2011,2 hours 2 minutes,8.1,5.3K,Mollywood (Malayalam),"Thriller, Drama",Rajesh Pillai, NIL,14,2 wins,The lives of some different people get intertwined when a girl is in urgent need of a heart transplant with the only heart donor being many miles of traffic away.,Amazon Prime Video
K.G.F: Chapter 2,2022,2 hours 46 minutes,8.2,152K,Sandalwood (Kannada),"Action, Drama",Prashanth Neel,"$89,123,940.00",1900,8 wins & 13 nominations,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for uncha...  ","Amazon Prime Video, Netflix"
Hridayam,2022,2 hours 52 minutes,8.1,16K,Mollywood (Malayalam),"Romance, Drama",Vineeth Sreenivasan,"$1,740,483.00",253,3 wins & 2 nominations,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Disney+ Hotstar
Hindi Medium,2017,2 hours 12 minutes,7.8,32K,Bollywood (Hindi),"Drama, Social",Saket Chaudhary,"$41,635,636.00",111,9 wins & 19 nominations,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,"Amazon Prime Video, Netflix"
Kirik Party,2016,2 hours 39 minutes,8.2,7.4K,Sandalwood (Kannada),"Comedy, Drama, Romance",Rishab Shetty,"$12,195.00",34,9 wins & 14 nominations,"Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college.",Voot
Android Kunjappan Ver 5.25,2019,2 hours 20 minutes,8,7K,Mollywood (Malayalam),"Sci-Fi, Drama, Comedy",Ratheesh Balakrishnan Poduval,"$10,230.00",69,6 wins & 1 nomination,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid ent...  ",Amazon Prime Video
Jigarthanda Double X,2023,2 hours 52 minutes,8,9.9K,Kollywood (Tamil),"Action, Crime, Drama",Karthik Subbaraj,"$279,408.00",57,3 nominations,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.",Amazon Prime Video
Ankhon Dekhi,2013,1 hour 47 minutes,7.9,13K,Bollywood (Hindi),"Drama, Comedy",Rajat Kapoor,"$151,226.00",105,8 wins & 11 nominations,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",Netflix
Major,2022,2 hours 30 minutes,8.1,33K,Tollywood (Telugu),"Biography, Action, Drama",Sashi Kiran Tikka,"$4,961,424.00",708,3 wins & 12 nominations,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks.","Netflix, SonyLIV"
Super 30,2019,2 hours 34 minutes,7.9,38K,Bollywood (Hindi),"Biography, Drama",Vikas Bahl,"$24,701,637.00",617,6 wins & 12 nominations,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Zee5
Johnny Gaddaar,2007,2 hours 15 minutes,7.9,13K,Bollywood (Hindi),"Crime, Thriller",Sriram Raghavan,"$1,109,943.00",75,3 wins & 8 nominations,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",Amazon Prime Video
English Vinglish,2012,2 hours 14 minutes,7.8,40K,Bollywood (Hindi),"Drama, Family",Gauri Shinde,"$10,299,150.00",150,13 wins & 25 nominations,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.","Netflix, Amazon Prime Video"
Dor,2006,2 hours 27 minutes,7.9,6.3K,Bollywood (Hindi),Drama,Nagesh Kukunoor,"$517,575.00",51,6 wins & 10 nominations,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her ...  ",Amazon Prime Video
Joseph,2018,2 hours 18 minutes,8,6.4K,Mollywood (Malayalam),"Thriller, Drama",M. Padmakumar, NIL,76,10 wins & 3 nominations,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is be...  ",Amazon Prime Video
Anjaam Pathiraa,2020,2 hours 24 minutes,7.9,9.3K,Mollywood (Malayalam),"Thriller, Mystery",Midhun Manuel Thomas,"$1,106,211.00",156,2 wins & 9 nominations,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?",Sun NXT
Hey Ram,2000,3 hours 6 minutes,7.9,14K,Kollywood (Tamil),"Drama, History, Thriller",Kamal Haasan,"$274,675.00",72,5 wins & 9 nominations,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets ou...  ,Amazon Prime Video
Karnan,2021,2 hours 38 minutes,8,24K,Kollywood (Tamil),"Drama, Action",Mari Selvaraj,"$3,817,585.00",362,3 wins & 10 nominations,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",Amazon Prime Video
Baahubali: The Beginning,2015,2 hours 39 minutes,8,139K,Tollywood (Telugu),"Action, Fantasy, Drama",S.S. Rajamouli,"$24,548,038.00",610,55 wins & 22 nominations,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.","Netflix, Amazon Prime Video"
Memories,2013,2 hours 12 minutes,8,8K,Mollywood (Malayalam),"Thriller, Drama, Mystery",Jeethu Joseph,"$602,409.64",28,2 wins,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expect...  ",Amazon Prime Video
Love Today,2022,2 hours 34 minutes,8,16K,Kollywood (Tamil),"Romance, Comedy",Pradeep Ranganathan,"$158,787.00",75,3 wins & 6 nominations,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",Netflix
Baby,2015,2 hours 39 minutes,7.9,61K,Bollywood (Hindi),"Action, Thriller",Neeraj Pandey,"$11,533,057.00",259,2 wins & 10 nominations,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent t...  ",Netflix
Malik,2021,2 hours 42 minutes,8,14K,Mollywood (Malayalam),"Drama, Crime",Mahesh Narayanan,"$3,012,048.19",391,7 wins & 6 nominations,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.",Amazon Prime Video
Lakshya,2004,3 hours 6 minutes,7.8,26K,Bollywood (Hindi),"War, Drama",Farhan Akhtar,"$5,859,242.00",107,6 wins & 14 nominations,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Amazon Prime Video
Mera Naam Joker,1970,3 hours 44 minutes,7.9,5.4K,Bollywood (Hindi),"Drama, Musical",Raj Kapoor, NIL,29,11 wins,"Raju is a joker, a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters, from his school days to the circus to the streets, he must always make pe...  ",Amazon Prime Video
The Lunchbox,2013,1 hour 44 minutes,7.8,62K,Bollywood (Hindi),"Romance, Drama",Ritesh Batra,"$11,621,785.00",262,29 wins & 46 nominations total,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ...  ,"Netflix, Amazon Prime Video"
The Goat Life,2024,2 hours 53 minutes,8,14K,Sandalwood (Kannada),"Action, Drama",Blessy,"$5,138,042.00",204,NIL,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.",Amazon Prime Video
Gangaajal,2003,2 hours 37 minutes,7.8,18K,Bollywood (Hindi),"Crime, Drama",Prakash Jha,"$1,875,477.00",23,5 wins & 31 nominations,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",Disney+ Hotstar
Arjun Reddy,2017,3 hours 2 minutes,7.9,28K,Tollywood (Telugu),"Romance, Drama",Sandeep Reddy Vanga,"$145,522.00",151,3 wins & 8 nominations,"Arjun Reddy, a short-tempered house surgeon, gets used to drugs and drinks when his girlfriend is forced to marry another person.",Amazon Prime Video
Vettaiyaadu Vilaiyaadu,2006,2 hours 54 minutes,7.9,8.3K,Kollywood (Tamil),"Crime, Thriller",Gautham Vasudev Menon,"$7,888.00",39,3 wins,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",Amazon Prime Video
Kaakha Kaakha,2003,2 hours 33 minutes,8,6.9K,Kollywood (Tamil),"Action, Crime, Drama",Gautham Vasudev Menon,"$602,409.64",15,6 wins & 4 nominations,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families.",Amazon Prime Video
Ab Tak Chhappan,2004,2 hours 9 minutes,7.8,9.7K,Bollywood (Hindi),"Crime, Thriller",Shimit Amin,"$3,614,457.83",28,3 wins & 17 nominations,"Sadhu, an encounter specialist, is armed with a personal vendetta to find and kill the gangsters responsible for his wife's death.",Disney+ Hotstar
Airlift,2016,2 hours 10 minutes,7.9,59K,Bollywood (Hindi),"Drama, Thriller, History",Raja Menon,"$9,323,484.00",214,3 wins & 18 nominations,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Disney+ Hotstar
Oopiri,2016,2 hours 38 minutes,8,6.2K,Tollywood (Telugu),"Drama, Comedy",Vamshi Paidipally,"$7,124.00",21,4 wins & 6 nominations,"Impressed by his carefree attitude, quadriplegic multi-billionaire Vikram hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",Disney+ Hotstar
Maidaan,2024,3 hours 1minute,8,20K,Bollywood (Hindi),"Sports, Drama, Biography",Amit Ravindernath Sharma,"$371,226.00",161,NIL,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",Amazon Prime Video
Mumbai Police,2013,2 hours 25 minutes,7.9,7.9K,Mollywood (Malayalam),"Crime, Thriller, Drama",Rosshan Andrrews, NIL,36,1 win & 1 nomination,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate th...  ",Disney+ Hotstar
Unnaipol Oruvan,2009,1 hour 42 minutes,8,6.2K,Kollywood (Tamil),"Thriller, Drama",Chakri Toleti,"$6,024,096.39",14,3 wins & 8 nominations,A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.,Amazon Prime Video
Pokiri,2006,2 hours 44 minutes,8,16K,Tollywood (Telugu),"Action, Drama",Puri Jagannadh,"$93,651.00",24,7 wins & 6 nominations,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,Disney+ Hotstar
Thuppakki,2012,2 hours 45 minutes,8.1,38K,Kollywood (Tamil),"Action, Thriller",A.R. Murugadoss,"$2,130,470.00",134,14 wins & 17 nominations,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,Disney+ Hotstar
Stanley Ka Dabba,2011,1 hour 36 minutes,7.8,7.7K,Bollywood (Hindi),"Drama, Family",Amole Gupte,"$1,241,102.00",44,4 wins & 6 nominations,"A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box.",Disney+ Hotstar
Nayak: The Real Hero,2001,3 hours 7 minutes,7.8,18K,Bollywood (Hindi),"Action, Political Drama",S. Shankar, NIL,20,4 nominations,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue.",Amazon Prime Video
Leader,2010,2 hours 47 minutes,8,5.7K,Tollywood (Telugu),Political Drama,Sekhar Kammula,"$1,566,265.06",15,3 wins & 6 nominations,"A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How wou...  ",Amazon Prime Video
Veer-Zaara,2004,3 hours 12 minutes,7.8,58K,Bollywood (Hindi),"Romance, Drama",Yash Chopra,"$6,887,221.00",197,30 wins & 42 nominations,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.",Amazon Prime Video
The Tashkent Files,2019,2 hours 14 minutes,8.1,36K,Bollywood (Hindi),"Thriller, Political Drama",Vivek Agnihotri,"$71,369.00",532,2 wins,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",Zee5
Okkadu,2003,2 hours 51 minutes,8,11K,Tollywood (Telugu),"Action, Drama",Gunasekhar,"$11,764.00",15,20 wins,A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,Amazon Prime Video
Manam,2014,2 hours 43 minutes,8,12K,Tollywood (Telugu),"Drama, Family, Fantasy",Vikram K. Kumar,"$28,369.00",37,18 wins & 10 nominations,"Through reincarnation, family members are able to cross generations and meddle in each others' lives.",Disney+ Hotstar
Vicky Donor,2012,2 hours 6 minutes,7.7,46K,Bollywood (Hindi),"Comedy, Drama",Shoojit Sircar,"$6,456,358.00",82,43 wins & 37 nominations,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.","Amazon Prime Video, Netflix"
Angamaly Diaries,2017,2 hours 12 minutes,7.9,6.8K,Mollywood (Malayalam),"Crime, Drama",Lijo Jose Pellissery,"$661,915.00",39,2 wins & 6 nominations,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale o...  ",Netflix
Mr. India,1987,2 hours 59 minutes,7.7,17K,Bollywood (Hindi),"Action, Sci-Fi, Family",Shekhar Kapur, NIL,25,1 win,"A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of Indi...  ","Zee5, Amazon Prime Video"
Hazaaron Khwaishein Aisi,2003,2 hours ,7.9,5.3K,Bollywood (Hindi),"Political Drama, Romance",Sudhir Mishra, NIL,44,8 wins & 9 nominations,"Set in the backdrop of Indian Emergency 1975, the story revolves around 3 friends whose lives changes drastically after the turn of events.",Amazon Prime Video
Ghilli,2004,2 hours 40 minutes,8.1,17K,Kollywood (Tamil),"Action, Drama",Dharani,"$163,961.00",47,2 wins & 2 nominations,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will...  ",Disney+ Hotstar
Mukundan Unni Associates,2022,2 hours 8 minutes,7.9,6.2K,Mollywood (Malayalam),"Satire, Drama",Abhinav Sunder Nayak,"$44,990.00",62,1 win,"Advocate Mukundan Unni, played by Vineeth Sreenivasan wants to be successful and leaves no stone unturned to achieve growth, prosperity, and respect. But this steadfast nature aided with an ...  ",Disney+ Hotstar
Happy Days,2007,2 hours 33 minutes,7.9,6.3K,Tollywood (Telugu),"Drama, Romance, Comedy",Sekhar Kammula,"$361,445.78",16,7 wins,A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles together.,Amazon Prime Video
