Name,Tags,Role,Range type,Resourse type,Base HP,HP per lvl,Base mana,Mana per lvl,Movement speed,Base armor,Armor per lvl,Base magic resistance,Magic resistance per lvl,Attack range,HP regeneration,HP regeneration per lvl,Mana regeneration,Mana regeneration per lvl,Attack damage,Attack damage per lvl,Attack speed per lvl,Attack speed,AS ratio
Aatrox,Fighter,Top,Melee,Blood Well,650,114,0,0.0,345,38,4.8,32,2.05,175,3.0,0.5,0.0,0.0,60,5.0,2.5,0.651,0.651
Ahri,"Mage,Assassin",Middle,Ranged,Mana,590,104,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,53,3.0,2.2,0.668,0.625
Akali,Assassin,"Top,Middle",Melee,Energy,600,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,62,3.3,3.2,0.625,0.625
Akshan,"Marksman,Assassin",Middle,Ranged,Mana,630,107,350,40.0,330,26,4.7,30,1.3,500,3.75,0.65,8.2,0.7,52,3.0,4.0,0.638,0.4
Alistar,"Tank,Support",Support,Melee,Mana,685,120,350,40.0,330,47,4.7,32,2.05,125,8.5,0.85,8.5,0.8,62,3.75,2.125,0.625,0.625
Amumu,"Tank,Support","Jungle,Support",Melee,Mana,685,94,285,40.0,335,33,4.0,32,2.05,125,9.0,0.85,7.4,0.55,57,3.8,2.18,0.736,0.638
Anivia,Mage,Middle,Ranged,Mana,550,92,495,45.0,325,21,4.9,30,1.3,600,5.5,0.55,8.0,0.8,51,3.2,1.68,0.658,0.625
Annie,"Mage,Support",Middle,Ranged,Mana,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,50,2.65,1.36,0.61,0.625
Aphelios,Marksman,Bottom,Ranged,Mana,580,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,55,2.3,2.1,0.64,0.64
Ashe,"Marksman,Support","Bottom,Support",Ranged,Mana,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,59,2.95,3.33,0.658,0.658
Aurelion Sol,Mage,Middle,Ranged,Mana,620,90,530,40.0,335,22,4.0,30,1.3,550,5.5,0.55,8.0,0.75,55,3.2,1.5,0.625,0.625
Azir,"Mage,Marksman",Middle,Ranged,Mana,550,119,320,40.0,335,22,5.0,30,1.3,525,3.5,0.75,8.0,0.8,52,3.5,6.0,0.625,0.694
Bard,"Support,Mage",Support,Ranged,Mana,630,103,350,50.0,330,34,5.0,30,1.3,500,5.5,0.55,6.0,0.45,52,3.0,2.0,0.658,0.658
Bel'Veth,Fighter,Jungle,Melee,,610,99,60,0.0,340,32,4.7,32,2.05,175,6.0,0.6,0.0,0.0,60,1.5,0.0,0.85,0.85
Blitzcrank,"Tank,Support",Support,Melee,Mana,600,109,267,40.0,325,37,4.7,32,2.05,125,7.5,0.75,8.5,0.8,62,3.5,1.13,0.625,0.625
Brand,"Mage,Support","Jungle,Support,Middle",Ranged,Mana,570,105,469,21.0,340,27,4.2,30,1.3,550,5.5,0.55,10.65,0.6,57,3.0,2.0,0.681,0.625
Braum,"Tank,Support",Support,Melee,Mana,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,7.0,0.8,55,3.2,3.5,0.644,0.644
Briar,"Fighter,Assassin",Jungle,Melee,Fury,590,95,0,0.0,340,30,4.2,32,2.05,125,0.0,0.0,0.0,0.0,60,3.0,2.0,0.644,0.669
Caitlyn,Marksman,Bottom,Ranged,Mana,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,60,3.8,4.0,0.681,0.594
Camille,"Fighter,Assassin","Top,Support",Melee,Mana,670,99,339,52.0,340,35,5.0,32,2.05,125,8.5,0.8,8.15,0.75,68,3.8,2.5,0.644,0.644
Cassiopeia,Mage,Middle,Ranged,Mana,630,104,350,60.0,328,18,4.7,32,1.3,550,5.5,0.5,8.0,0.8,53,3.0,1.5,0.647,0.647
Cho'Gath,"Tank,Mage",Top,Melee,Mana,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,69,4.2,1.44,0.625,0.625
Corki,"Marksman,Mage",Middle,Ranged,Mana,640,100,350,54.0,325,30,4.5,30,1.3,550,5.5,0.55,7.4,0.7,52,2.5,2.8,0.644,0.644
Darius,"Fighter,Tank",Top,Melee,Mana,652,114,263,58.0,340,39,5.2,32,2.05,175,10.0,0.95,6.6,0.35,64,5.0,1.0,0.625,0.625
Diana,"Fighter,Assassin","Jungle,Middle",Melee,Mana,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,57,3.0,2.0,0.625,0.694
Draven,Marksman,Bottom,Ranged,Mana,675,104,361,39.0,330,29,4.5,30,1.3,550,3.75,0.7,8.05,0.65,62,3.6,2.7,0.679,0.679
Dr. Mundo,"Tank,Fighter",Top,Melee,,613,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,61,2.5,3.3,0.67,0.625
Ekko,"Assassin,Mage","Jungle,Middle",Melee,Mana,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,58,3.0,3.3,0.688,0.625
Elise,"Assassin,Mage",Jungle,Ranged,Mana,650,109,324,50.0,330,30,5.2,30,1.3,550,5.5,0.6,6.0,0.8,55,3.0,1.75,0.625,0.625
Evelynn,"Assassin,Mage",Jungle,Melee,Mana,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,61,3.0,2.1,0.667,0.667
Ezreal,"Marksman,Mage",Bottom,Ranged,Mana,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,62,2.75,2.5,0.625,0.625
Fiddlesticks,"Mage,Support",Jungle,Ranged,Mana,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,55,2.65,2.11,0.625,0.625
Fiora,"Fighter,Assassin",Top,Melee,Mana,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,66,3.3,3.2,0.69,0.69
Fizz,"Assassin,Fighter",Middle,Melee,Mana,640,106,317,52.0,335,22,4.6,32,2.05,175,8.0,0.7,6.0,0.8,58,3.0,3.1,0.658,0.658
Galio,"Tank,Mage","Middle,Support",Melee,Mana,632,126,500,40.0,340,24,4.7,32,2.05,150,8.0,0.8,9.5,0.7,59,3.5,1.5,0.625,0.625
Gangplank,Fighter,Top,Melee,Mana,630,114,280,60.0,345,31,4.7,32,2.05,125,6.0,0.6,7.5,0.7,64,3.7,3.2,0.658,0.69
Garen,"Fighter,Tank",Top,Melee,,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,69,4.5,3.65,0.625,0.625
Gnar,"Fighter,Tank",Top,Ranged,Rage,540,79,100,0.0,335,32,3.7,30,1.3,175,4.5,1.25,0.0,0.0,57,3.2,6.0,0.625,0.625
Gragas,"Fighter,Mage","Jungle,Top,Middle",Melee,Mana,640,115,400,47.0,330,38,5.0,32,2.05,125,5.5,0.5,6.0,0.8,64,3.5,2.05,0.675,0.625
Graves,Marksman,Jungle,Ranged,Mana,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,68,4.0,3.0,0.475,0.49
Gwen,Fighter,Top,Melee,Mana,620,115,330,40.0,340,39,5.2,32,2.05,150,9.0,0.9,7.5,0.7,63,3.0,2.25,0.69,0.69
Hecarim,"Fighter,Tank",Jungle,Melee,Mana,625,99,280,40.0,345,32,5.45,32,2.05,175,7.0,0.75,7.0,0.8,66,3.7,2.5,0.67,0.67
Heimerdinger,"Mage,Support","Support,Top,Middle",Ranged,Mana,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,56,2.7,1.36,0.658,0.625
Hwei,"Mage,Support","Middle,Support",Ranged,Mana,580,109,480,30.0,330,21,4.7,30,1.3,550,5.5,0.55,7.5,0.75,54,3.3,2.5,0.69,0.658
Illaoi,"Fighter,Tank",Top,Melee,Mana,656,115,350,60.0,350,35,5.0,32,2.05,125,9.5,0.8,7.5,0.75,68,5.0,2.5,0.625,0.625
Irelia,"Fighter,Assassin","Top,Middle",Melee,Mana,590,115,350,50.0,335,36,4.7,30,2.05,200,8.5,0.85,8.0,0.8,65,4.0,2.5,0.656,0.656
Ivern,"Support,Mage",Jungle,Ranged,Mana,630,99,450,60.0,330,27,4.7,30,1.3,475,7.0,0.85,6.0,0.75,50,3.0,3.4,0.644,0.644
Janna,"Support,Mage",Support,Ranged,Mana,570,90,360,50.0,325,28,4.5,30,1.3,550,5.5,0.55,11.5,0.4,47,2.5,3.0,0.625,0.625
Jarvan IV,"Fighter,Tank",Jungle,Melee,Mana,640,104,300,55.0,340,36,5.2,32,2.05,175,8.0,0.7,6.5,0.45,64,3.0,2.5,0.658,0.658
Jax,Fighter,"Top,Jungle",Melee,Mana,665,100,339,52.0,350,36,4.2,32,2.05,125,8.5,0.55,7.6,0.7,68,4.25,3.4,0.638,0.638
Jayce,"Marksman,Fighter","Top,Middle",Melee,Mana,590,109,375,45.0,335,22,5.0,30,1.3,125,6.0,0.6,6.0,0.8,59,4.25,3.0,0.658,0.658
Jhin,"Marksman,Mage",Bottom,Ranged,Mana,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,59,4.7,0.0,0.625,0.0
Jinx,Marksman,Bottom,Ranged,Mana,630,105,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,59,2.9,1.0,0.625,0.625
Kai'Sa,"Marksman,Mage",Bottom,Ranged,Mana,640,102,345,40.0,335,25,4.2,30,1.3,525,3.5,0.55,8.2,0.7,59,2.6,1.8,0.644,0.644
Kalista,Marksman,Bottom,Ranged,Mana,600,114,300,45.0,330,24,5.2,30,1.3,525,4.0,0.75,6.3,0.4,59,3.25,4.5,0.694,0.694
Karma,"Mage,Support","Middle,Support,Top",Ranged,Mana,630,109,374,40.0,335,28,5.0,30,1.3,525,5.5,0.55,13.0,0.8,51,3.3,2.3,0.625,0.625
Karthus,Mage,Jungle,Ranged,Mana,620,110,467,31.0,335,21,4.7,30,1.3,450,6.5,0.55,8.0,0.8,46,3.25,2.11,0.625,0.625
Kassadin,"Assassin,Mage",Middle,Melee,Mana,646,119,400,87.0,335,19,4.0,30,1.3,150,6.0,0.5,6.0,0.8,59,3.9,3.7,0.64,0.64
Katarina,"Assassin,Mage",Middle,Melee,,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,58,3.2,2.74,0.658,0.658
Kayle,"Mage,Marksman",Top,Melee,Mana,670,92,330,50.0,335,26,4.2,22,1.3,175,5.0,0.5,8.0,0.8,50,2.5,1.5,0.625,0.667
Kayn,"Fighter,Assassin",Jungle,Melee,Mana,655,109,410,50.0,340,38,4.5,32,2.05,175,8.0,0.75,11.5,0.95,68,3.3,2.7,0.669,0.669
Kennen,Mage,Top,Ranged,Energy,580,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,48,3.75,3.4,0.625,0.69
Kha'Zix,Assassin,Jungle,Melee,Mana,643,99,327,40.0,350,36,4.2,32,2.05,125,7.5,0.75,7.59,0.5,60,3.1,2.7,0.668,0.668
Kindred,Marksman,Jungle,Ranged,Mana,610,104,300,35.0,325,29,4.7,30,1.3,500,7.0,0.55,7.0,0.4,65,3.25,3.5,0.625,0.625
Kled,Fighter,Top,Melee,Courage,410,84,100,0.0,345,35,5.2,28,2.05,125,6.0,0.75,0.0,0.0,65,3.5,3.5,0.625,0.625
Kog'Maw,"Marksman,Mage",Bottom,Ranged,Mana,635,99,325,40.0,330,24,4.45,30,1.3,500,3.75,0.55,8.75,0.7,61,3.1,2.65,0.665,0.665
K'Sante,"Tank,Fighter",Top,Melee,Mana,625,120,320,60.0,330,33,5.2,30,2.1,175,9.5,1.0,7.0,1.0,64,3.5,2.5,0.625,0.625
LeBlanc,"Assassin,Mage",Middle,Ranged,Mana,598,111,400,25.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,0.8,55,2.2,2.35,0.658,0.4
Lee Sin,"Fighter,Assassin",Jungle,Melee,Energy,645,108,200,0.0,345,36,4.9,32,2.05,125,7.5,0.7,50.0,0.0,66,3.7,3.0,0.651,0.651
Leona,"Tank,Support",Support,Melee,Mana,646,101,302,40.0,335,47,4.8,32,2.05,125,8.5,0.85,6.0,0.8,60,3.0,2.9,0.625,0.625
Lillia,"Fighter,Mage",Jungle,Melee,Mana,605,105,410,50.0,330,22,5.2,32,1.55,325,2.5,0.55,11.5,0.95,61,3.1,2.7,0.625,0.625
Lissandra,Mage,Middle,Ranged,Mana,620,110,475,30.0,325,22,4.9,30,1.3,550,7.0,0.55,8.0,0.4,55,2.7,1.5,0.656,0.625
Lucian,"Marksman,Assassin",Bottom,Ranged,Mana,641,100,320,43.0,335,28,4.2,30,1.3,500,3.75,0.65,7.0,0.8,60,2.9,3.3,0.638,0.638
Lulu,"Support,Mage",Support,Ranged,Mana,595,92,350,55.0,330,26,4.9,30,1.3,550,6.0,0.6,11.0,0.6,47,2.6,2.25,0.625,0.625
Lux,"Mage,Support","Middle,Support",Ranged,Mana,580,99,480,23.5,330,21,5.2,30,1.3,550,5.5,0.55,7.0,0.8,54,3.3,3.0,0.669,0.625
Malphite,"Tank,Mage","Top,Middle,Support",Melee,Mana,644,104,280,60.0,335,37,4.95,28,2.05,125,7.0,0.55,7.3,0.55,62,4.0,3.4,0.736,0.638
Malzahar,Mage,Middle,Ranged,Mana,580,101,375,28.0,335,18,4.7,30,1.3,500,6.0,0.6,8.0,0.8,55,3.0,1.5,0.625,0.625
Maokai,"Tank,Support","Support,Jungle",Melee,Mana,635,109,375,43.0,330,35,5.2,32,2.05,125,5.0,0.75,6.0,0.6,64,3.3,2.125,0.8,0.695
Master Yi,"Assassin,Fighter",Jungle,Melee,Mana,669,105,251,42.0,355,33,4.7,32,2.05,175,7.5,0.65,7.25,0.45,65,2.5,2.5,0.679,0.679
Milio,"Support,Mage",Support,Ranged,Mana,560,88,365,43.0,330,26,4.6,30,1.3,525,5.0,0.5,11.5,0.4,48,3.2,3.0,0.625,0.625
Miss Fortune,"Marksman,Mage",Bottom,Ranged,Mana,640,103,300,40.0,325,28,4.2,30,1.3,550,3.75,0.65,8.0,0.8,55,2.4,3.0,0.656,0.656
Mordekaiser,"Fighter,Mage",Top,Melee,Shield,645,104,100,0.0,335,37,4.2,32,2.05,175,5.0,0.75,0.0,0.0,61,4.0,1.0,0.625,0.625
