Breed,Age (Years),Weight (kg),Color,Gender
Airedale Terrier,13,35,White,Male
Jack Russell Terrier,10,43,Tan,Female
Dogo Argentino,2,16,Spotted,Female
Labrador Retriever,9,57,Bicolor,Male
French Bulldog,12,39,Spotted,Male
French Bulldog,9,8,Black and Tan,Female
Bull Terrier,7,54,Red,Female
Boxer,1,47,Black,Female
Cocker Spaniel,13,5,Brindle,Male
Shetland Sheepdog,1,11,Cream,Female
Whippet,3,38,Black and Tan,Female
Weimaraner,4,34,Black and Tan,Male
Havanese,13,26,Tan,Female
Beagle,3,19,Black and Tan,Female
Maltese,2,57,Spotted,Male
Maltese,12,27,White,Female
Siberian Husky,10,32,Brindle,Male
German Shepherd,6,8,Gray,Female
Bloodhound,7,54,Brindle,Female
Bull Terrier,2,35,Blue,Male
Havanese,13,44,White,Male
Irish Setter,11,51,Bicolor,Female
Maltese,12,28,Black,Male
Doberman Pinscher,13,29,Black and Tan,Female
Vizsla,9,48,Red,Female
Bernese Mountain Dog,12,18,Gray,Male
Shih Tzu,13,37,Tan,Female
Yorkshire Terrier,8,37,Brown,Male
Boxer,12,55,Bicolor,Male
Boston Terrier,8,59,Black,Male
Chinese Shar-Pei,4,54,Tan,Female
Pug,5,30,Brown,Female
Chinese Shar-Pei,10,14,Tan,Female
Poodle,7,42,Black and White,Female
Australian Shepherd,10,49,Merle,Female
Jack Russell Terrier,7,22,Tricolor,Female
Labrador Retriever,5,28,White,Female
Miniature Schnauzer,12,40,Brown,Female
Saint Bernard,2,40,Cream,Female
Maltese,3,39,Merle,Male
Rottweiler,1,25,Spotted,Male
Chinese Shar-Pei,1,10,Cream,Female
Pekingese,11,25,Brindle,Female
Cocker Spaniel,8,11,White,Female
Cocker Spaniel,7,13,Tricolor,Male
Chihuahua,3,5,Red,Female
Bull Terrier,11,49,Brindle,Male
Shiba Inu,12,30,Merle,Female
German Shepherd,10,43,Black and White,Male
Boxer,11,12,Merle,Male
Shiba Inu,13,14,Brown,Female
Schnauzer,14,11,Cream,Female
Dachshund,9,34,Bicolor,Female
Papillon,9,10,Red,Male
Havanese,3,41,Black and Tan,Male
Saint Bernard,2,34,Gray,Female
Pembroke Welsh Corgi,11,44,White,Male
Whippet,13,24,Bicolor,Male
Great Dane,3,52,Tan,Female
Akita,12,27,Merle,Female
Labrador Retriever,8,8,Sable,Female
Labrador Retriever,7,12,Gray,Female
Weimaraner,7,34,Brown,Male
Dogo Argentino,3,25,Tricolor,Male
Poodle,12,13,Tricolor,Female
Bloodhound,2,23,Cream,Male
Basenji,6,27,Black,Female
Papillon,7,27,Black and White,Female
Doberman Pinscher,10,26,Spotted,Female
Australian Shepherd,13,51,Brown,Male
Bulldog,10,44,Brindle,Male
Belgian Malinois,4,39,Brindle,Female
West Highland White Terrier,10,39,Bicolor,Male
Schnauzer,12,21,Spotted,Female
German Shepherd,5,18,Brindle,Male
German Shepherd,12,33,Brindle,Female
Bull Terrier,3,18,Gray,Female
Belgian Malinois,2,38,Black,Male
Saint Bernard,7,31,Bicolor,Female
Bloodhound,1,18,Sable,Male
Pembroke Welsh Corgi,3,15,Black and Tan,Male
Irish Setter,14,28,Red,Female
Miniature Schnauzer,7,26,Gray,Male
Bichon Frise,4,32,Tan,Male
Labrador Retriever,8,50,Brown,Female
Chihuahua,6,26,Spotted,Female
Saint Bernard,14,36,Red,Female
Dogo Argentino,14,43,Sable,Male
Siberian Husky,11,23,Brown,Female
West Highland White Terrier,11,32,White,Female
Boston Terrier,3,31,Black and White,Male
Pembroke Welsh Corgi,7,28,Black,Male
Bulldog,7,12,Black and Tan,Female
Beagle,11,18,Tricolor,Male
Bulldog,12,25,Cream,Female
Jack Russell Terrier,2,35,Gray,Female
Papillon,10,40,Black,Female
French Bulldog,11,15,Spotted,Male
Siberian Husky,1,40,Blue,Male
Weimaraner,2,10,Merle,Female
Papillon,4,42,White,Female
Basenji,4,27,Bicolor,Female
Chihuahua,2,38,Spotted,Female
Australian Shepherd,12,23,Black and Tan,Female
Boston Terrier,4,5,Brown,Male
Saint Bernard,5,36,White,Female
Havanese,4,49,Red,Female
Australian Shepherd,10,35,Sable,Male
Shih Tzu,10,50,Black,Male
Dogo Argentino,14,7,White,Male
Shetland Sheepdog,6,26,Blue,Male
Lhasa Apso,7,23,Gray,Male
Rottweiler,9,21,White,Male
Poodle,11,40,Brindle,Female
Belgian Malinois,10,17,Bicolor,Male
Saint Bernard,12,13,Sable,Male
Labrador Retriever,6,31,Sable,Male
Schnauzer,6,40,Spotted,Female
Poodle,9,14,Black and White,Female
Cavalier King Charles Spaniel,5,36,Gray,Female
Labrador Retriever,6,49,Merle,Female
Rottweiler,1,54,Blue,Male
Whippet,4,48,Blue,Male
Weimaraner,2,52,Bicolor,Female
Akita,7,5,Merle,Female
Lhasa Apso,9,50,Brown,Male
Pekingese,7,59,Tan,Female
French Bulldog,4,25,Black and Tan,Male
Akita,5,33,Sable,Male
West Highland White Terrier,6,43,Brown,Male
Shih Tzu,9,41,Tricolor,Male
Lhasa Apso,12,35,White,Female
Bull Terrier,3,38,Cream,Male
Shetland Sheepdog,10,40,Blue,Male
Boxer,4,46,Black and White,Male
Labrador Retriever,3,59,Blue,Female
Dachshund,10,31,Tricolor,Female
Whippet,14,51,Brindle,Male
Alaskan Malamute,2,23,Blue,Male
Havanese,2,29,White,Male
Golden Retriever,11,29,Merle,Female
Akita,9,19,Red,Female
Saint Bernard,14,33,Gray,Female
Cavalier King Charles Spaniel,11,55,Cream,Female
French Bulldog,7,46,Gray,Female
Miniature Schnauzer,11,24,Black and Tan,Male
Irish Setter,4,7,Brown,Male
Saint Bernard,12,47,Spotted,Male
Boston Terrier,13,54,Black,Female
Doberman Pinscher,3,34,Black and White,Female
Whippet,3,6,Red,Male
Bichon Frise,5,26,White,Male
Chihuahua,11,59,Bicolor,Female
Belgian Malinois,8,22,Black,Male
German Shepherd,3,30,Tricolor,Female
Weimaraner,13,19,Bicolor,Female
Dachshund,5,27,White,Male
Pomeranian,5,20,White,Female
Alaskan Malamute,10,55,Brown,Male
Basenji,12,23,Tricolor,Female
Pembroke Welsh Corgi,13,16,Black and Tan,Male
Golden Retriever,2,59,Black and Tan,Male
Chinese Shar-Pei,6,29,White,Female
Pug,4,10,White,Female
Shiba Inu,8,48,Brindle,Male
Labrador Retriever,5,11,Brindle,Male
Bloodhound,14,46,Brindle,Male
Cocker Spaniel,11,48,Red,Male
Irish Setter,3,52,Blue,Female
West Highland White Terrier,12,17,Merle,Male
Chinese Shar-Pei,1,17,Black and White,Male
Basenji,12,50,Cream,Male
Shih Tzu,10,42,Red,Female
Cavalier King Charles Spaniel,3,23,Sable,Male
Maltese,14,14,Blue,Female
Golden Retriever,14,13,Tricolor,Male
French Bulldog,3,58,Red,Male
Cavalier King Charles Spaniel,13,45,Black and White,Male
Akita,10,13,Brindle,Male
Alaskan Malamute,7,5,Spotted,Female
Shih Tzu,9,37,Cream,Female
Lhasa Apso,10,17,Blue,Female
Basenji,2,57,Black,Female
Yorkshire Terrier,2,25,Merle,Female
Cocker Spaniel,2,58,Blue,Male
Schnauzer,1,55,Bicolor,Male
Yorkshire Terrier,2,20,Sable,Male
Border Collie,8,28,Black and White,Male
Golden Retriever,1,59,Tricolor,Male
Papillon,7,49,Bicolor,Female
French Bulldog,12,22,Spotted,Male
Airedale Terrier,6,28,Brindle,Male
Chihuahua,10,14,Sable,Female
Shiba Inu,13,50,Merle,Female
Bulldog,9,39,Tan,Female
French Bulldog,14,37,Black and White,Female
Samoyed,6,46,Merle,Female
Pembroke Welsh Corgi,7,11,Blue,Female
Pomeranian,9,32,White,Male
Shih Tzu,14,40,Brown,Female
Samoyed,2,24,Gray,Male
Pembroke Welsh Corgi,5,43,Tan,Female
Pug,6,6,Black and Tan,Male
Maltese,14,38,Gray,Female
Pekingese,13,42,Black and White,Female
Shetland Sheepdog,10,38,Cream,Female
Irish Setter,13,38,Brindle,Male
Bernese Mountain Dog,1,8,Tricolor,Female
Pug,6,27,Gray,Male
Dogo Argentino,7,42,Brindle,Male
Cocker Spaniel,10,55,Bicolor,Female
Chesapeake Bay Retriever,2,38,Tricolor,Female
Basenji,2,8,Bicolor,Female
Shiba Inu,4,18,Black,Male
Weimaraner,2,39,Spotted,Female
Beagle,11,20,Brindle,Female
Shetland Sheepdog,7,48,Brown,Female
Schnauzer,11,38,White,Male
Shih Tzu,1,35,White,Female
Rottweiler,8,46,White,Male
Maltese,12,33,Spotted,Male
Australian Shepherd,7,14,Red,Female
Belgian Malinois,12,16,Spotted,Male
Miniature Schnauzer,5,30,Brown,Male
Basenji,10,53,Merle,Female
Australian Shepherd,3,14,Black,Female
Pembroke Welsh Corgi,4,37,Brindle,Male
Bloodhound,11,26,Tricolor,Male
Jack Russell Terrier,7,41,Bicolor,Female
Pekingese,7,16,Brindle,Female
German Shepherd,3,40,Black and White,Female
Schnauzer,2,49,Spotted,Female
Airedale Terrier,11,7,Black and Tan,Male
Maltese,8,37,Brown,Female
Maltese,9,33,Sable,Male
French Bulldog,9,41,Spotted,Female
Miniature Schnauzer,12,15,Gray,Male
Jack Russell Terrier,12,40,Cream,Female
French Bulldog,5,34,Tricolor,Female
West Highland White Terrier,3,48,Merle,Female
Siberian Husky,12,46,Cream,Male
Bloodhound,10,28,Tan,Male
Saint Bernard,12,42,Bicolor,Female
Pomeranian,9,34,Brindle,Male
Poodle,11,38,Black and White,Female
Havanese,1,40,Blue,Male
Alaskan Malamute,12,47,Bicolor,Male
Shiba Inu,4,21,Brown,Female
Pembroke Welsh Corgi,1,25,Black and Tan,Female
Basenji,6,38,Merle,Female
Boston Terrier,8,8,Bicolor,Male
Dachshund,8,36,Tan,Male
Alaskan Malamute,13,50,Bicolor,Male
Vizsla,5,41,Black and White,Female
Great Dane,12,13,Black and White,Male
Jack Russell Terrier,13,29,Black and White,Female
Basenji,9,30,Tan,Female
Golden Retriever,3,30,Sable,Female
Bichon Frise,12,42,Black and Tan,Male
Cocker Spaniel,10,15,Bicolor,Female
Bernese Mountain Dog,6,37,Black and White,Male
Havanese,13,8,Sable,Male
Dogo Argentino,13,26,Merle,Male
Chinese Shar-Pei,2,45,Brown,Male
Irish Setter,8,18,Black,Male
Boston Terrier,14,37,Bicolor,Female
Dogo Argentino,8,47,Tan,Male
Pekingese,2,10,Spotted,Female
French Bulldog,6,26,Tan,Female
Saint Bernard,1,45,Spotted,Male
Bull Terrier,8,18,Black and Tan,Female
Boxer,14,32,Gray,Female
Boxer,9,39,Sable,Female
Belgian Malinois,5,5,Black and Tan,Male
Havanese,6,49,Brindle,Male
French Bulldog,3,44,Black,Female
Irish Setter,1,53,Black,Female
Border Collie,14,52,Black and Tan,Male
Whippet,9,56,Gray,Female
Airedale Terrier,7,22,Tricolor,Female
French Bulldog,12,37,Brindle,Female
Schnauzer,6,37,Sable,Male
Boxer,4,16,Gray,Female
Dachshund,9,47,Brown,Male
Bichon Frise,11,11,Black and White,Male
Samoyed,13,23,Black and White,Male
Rottweiler,10,38,Red,Female
Bull Terrier,14,56,Black and Tan,Female
Shetland Sheepdog,1,57,Red,Male
Chesapeake Bay Retriever,11,10,Brindle,Female
Airedale Terrier,8,22,Bicolor,Male
Akita,3,59,Black,Female
Akita,11,15,Merle,Female
Maltese,9,17,Tan,Female
Chesapeake Bay Retriever,8,46,Tricolor,Female
Poodle,7,22,White,Male
Basenji,1,36,Black,Male
Weimaraner,6,8,Merle,Female
Labrador Retriever,14,45,Brindle,Male
Pembroke Welsh Corgi,3,39,Brown,Female
Akita,11,47,Merle,Male
Poodle,7,35,Gray,Female
Dogo Argentino,14,11,Black,Male
Pug,9,5,Tan,Male
Yorkshire Terrier,5,9,Black,Female
German Shepherd,1,9,Brindle,Male
Doberman Pinscher,4,49,Bicolor,Female
Lhasa Apso,11,5,Black and White,Male
Saint Bernard,5,56,Blue,Female
Bichon Frise,2,40,Merle,Male
Basenji,9,27,White,Male
Papillon,3,35,Spotted,Female
Weimaraner,9,44,Cream,Male
Lhasa Apso,10,34,Black and White,Male
Bernese Mountain Dog,9,27,Red,Female
French Bulldog,8,28,Bicolor,Female
Bull Terrier,13,54,Gray,Male
Saint Bernard,10,31,Tan,Female
Whippet,4,59,Red,Female
Cavalier King Charles Spaniel,7,16,Tan,Female
Pekingese,4,7,Sable,Female
Rottweiler,8,26,Brindle,Male
Chesapeake Bay Retriever,8,17,Bicolor,Female
Miniature Schnauzer,3,21,Spotted,Female
Doberman Pinscher,8,7,Sable,Female
Pekingese,12,32,Merle,Male
Boston Terrier,9,17,Black and Tan,Male
Golden Retriever,5,58,Sable,Female
Poodle,4,46,Sable,Male
Vizsla,11,40,Gray,Male
Siberian Husky,1,5,Black and White,Male
Airedale Terrier,3,18,Black and Tan,Female
Dogo Argentino,11,42,Black,Male
Golden Retriever,13,23,Black,Female
Jack Russell Terrier,6,40,Cream,Male
Bichon Frise,5,15,White,Female
Shetland Sheepdog,3,24,Tricolor,Female
Bull Terrier,8,49,Sable,Female
Bull Terrier,11,32,Red,Female
Pembroke Welsh Corgi,4,14,White,Male
Pomeranian,8,53,Brindle,Female
Cavalier King Charles Spaniel,4,43,Merle,Male
Doberman Pinscher,2,17,Cream,Female
Beagle,14,52,Tan,Female
Rottweiler,5,43,White,Male
Miniature Schnauzer,6,54,White,Male
Great Dane,4,43,Black and White,Male
Alaskan Malamute,3,10,Cream,Female
Cocker Spaniel,12,27,Spotted,Male
Rottweiler,2,17,Merle,Male
Belgian Malinois,12,7,Blue,Female
Pekingese,11,5,Tricolor,Female
Irish Setter,12,54,Tricolor,Female
Shetland Sheepdog,4,29,Black and White,Male
Boxer,5,47,Black and Tan,Male
Bernese Mountain Dog,5,34,Black and White,Male
Whippet,7,33,Spotted,Female
Shiba Inu,10,37,Gray,Female
Bichon Frise,10,9,Sable,Male
Boxer,4,13,Gray,Female
Great Dane,8,23,Tan,Male
Alaskan Malamute,13,50,Brown,Female
Doberman Pinscher,5,33,Bicolor,Female
Belgian Malinois,12,12,Blue,Male
Labrador Retriever,14,13,White,Female
Pomeranian,13,21,Cream,Female
Pug,1,27,Tan,Male
West Highland White Terrier,11,47,Red,Male
Weimaraner,14,20,Bicolor,Male
Cavalier King Charles Spaniel,1,25,Sable,Male
Maltese,1,53,Tricolor,Female
Papillon,1,26,Black and White,Female
French Bulldog,5,28,Merle,Female
Chinese Shar-Pei,12,38,Brown,Male
Yorkshire Terrier,14,7,Brown,Female
Bichon Frise,6,53,Black and Tan,Female
Pekingese,6,31,Blue,Female
Irish Setter,10,16,Blue,Male
Havanese,3,29,Spotted,Female
Shiba Inu,11,20,Black and White,Male
Cocker Spaniel,1,52,Tan,Male
Yorkshire Terrier,8,30,Brindle,Male
Rottweiler,2,10,Tan,Female
Havanese,12,27,Sable,Female
Shih Tzu,10,59,Tan,Female
Doberman Pinscher,10,56,White,Male
Papillon,11,39,Spotted,Female
Labrador Retriever,13,34,Bicolor,Male
Pembroke Welsh Corgi,1,17,Spotted,Female
Great Dane,8,49,Black and Tan,Male
Weimaraner,13,25,Black and White,Female
Bernese Mountain Dog,7,51,Blue,Female
Shiba Inu,14,38,Brindle,Male
West Highland White Terrier,8,16,Black and White,Female
Chihuahua,11,51,Tan,Female
Pomeranian,10,35,Brindle,Male
Great Dane,1,51,Tricolor,Male
Boston Terrier,12,16,Cream,Female
Miniature Schnauzer,12,11,Spotted,Male
Bulldog,10,36,Sable,Female
Pomeranian,5,39,Tricolor,Male
Saint Bernard,13,46,Cream,Female
Cocker Spaniel,9,26,Tan,Female
Rottweiler,6,15,Merle,Female
Yorkshire Terrier,3,32,Black and White,Male
Shih Tzu,13,22,Merle,Female
Poodle,12,43,Tan,Female
Labrador Retriever,12,11,Spotted,Female
Yorkshire Terrier,12,16,Tricolor,Female
Australian Shepherd,6,53,Gray,Female
Australian Shepherd,5,34,Merle,Male
Dogo Argentino,2,18,Bicolor,Female
Pembroke Welsh Corgi,13,51,Bicolor,Male
Bulldog,13,24,Red,Female
Bull Terrier,1,12,Tan,Female
Great Dane,3,21,Red,Female
Samoyed,6,11,White,Female
Border Collie,5,45,Tan,Male
Dachshund,13,20,Merle,Female
Papillon,3,7,Black and Tan,Male
Irish Setter,8,15,Black and White,Male
Rottweiler,4,46,Black,Female
Bichon Frise,6,47,Black and White,Female
Chinese Shar-Pei,11,45,Red,Male
Saint Bernard,7,34,Spotted,Male
Belgian Malinois,5,15,Tricolor,Male
Miniature Schnauzer,10,15,Blue,Male
Dogo Argentino,9,36,Black and White,Male
Akita,1,22,Tricolor,Male
Chinese Shar-Pei,11,40,Spotted,Male
Cavalier King Charles Spaniel,11,41,Brown,Male
Dogo Argentino,12,41,Brown,Female
Alaskan Malamute,1,22,Merle,Female
Miniature Schnauzer,3,54,Merle,Male
Samoyed,7,26,Brown,Female
Havanese,14,32,Black,Male
German Shepherd,13,30,Bicolor,Male
Beagle,13,52,Brindle,Female
West Highland White Terrier,2,59,Brown,Male
Dogo Argentino,6,13,Bicolor,Female
Lhasa Apso,10,38,Tricolor,Female
Cavalier King Charles Spaniel,6,52,Blue,Female
Pug,3,14,Gray,Female
Border Collie,4,16,Merle,Male
Saint Bernard,12,53,Black,Male
Rottweiler,4,52,Merle,Male
West Highland White Terrier,14,33,Bicolor,Male
Boxer,4,21,Tan,Male
Airedale Terrier,9,53,Black,Male
Shih Tzu,6,7,Brindle,Male
Beagle,14,13,Black and Tan,Male
Bloodhound,12,38,Tan,Male
Bull Terrier,10,53,Spotted,Male
Yorkshire Terrier,6,19,Tan,Male
Shih Tzu,2,45,Black and Tan,Female
Rottweiler,14,6,White,Female
Pug,9,51,Merle,Female
Pomeranian,11,36,Bicolor,Male
Australian Shepherd,13,27,Bicolor,Female
Bernese Mountain Dog,8,50,Spotted,Female
Yorkshire Terrier,8,5,Merle,Male
Saint Bernard,2,17,Black,Female
Beagle,10,45,Cream,Male
Doberman Pinscher,14,5,Tricolor,Male
Rottweiler,1,33,Tricolor,Female
Boston Terrier,10,36,Spotted,Male
Bernese Mountain Dog,5,33,Sable,Female
Golden Retriever,7,24,Blue,Male
Pug,1,56,Brown,Female
Whippet,12,37,Black and White,Female
Samoyed,4,47,Tan,Female
Havanese,4,48,Red,Male
Maltese,5,9,Black,Female
Bulldog,11,55,Gray,Female
Weimaraner,2,22,Merle,Female
Airedale Terrier,13,34,Tan,Male
Rottweiler,11,43,White,Male
Havanese,1,31,Tan,Male
Cavalier King Charles Spaniel,5,30,Merle,Male
Bernese Mountain Dog,7,23,Brindle,Male
Boston Terrier,9,56,Black and Tan,Male
Chesapeake Bay Retriever,3,25,Sable,Male
Vizsla,13,52,White,Male
Havanese,2,46,Brindle,Female
Bichon Frise,3,12,Bicolor,Male
Pekingese,2,39,Merle,Female
Chesapeake Bay Retriever,1,33,Brindle,Female
Chinese Shar-Pei,2,37,Black and Tan,Female
Dogo Argentino,7,54,Sable,Female
Chinese Shar-Pei,5,43,Tricolor,Male
Pomeranian,5,17,Tricolor,Female
Rottweiler,12,29,Black and Tan,Female
Belgian Malinois,6,51,Black and White,Male
Rottweiler,10,51,Merle,Male
Boxer,4,12,White,Male
Labrador Retriever,7,14,Brown,Male
Cocker Spaniel,11,44,Black and Tan,Female
Weimaraner,1,50,Red,Male
Doberman Pinscher,3,38,Tan,Female
Boston Terrier,14,35,Brindle,Female
Dogo Argentino,1,40,White,Female
Lhasa Apso,8,39,Cream,Male
French Bulldog,8,44,Sable,Female
West Highland White Terrier,14,7,Spotted,Female
German Shepherd,2,34,Red,Male
Boston Terrier,5,44,Red,Male
Weimaraner,10,27,Sable,Female
Bulldog,9,40,Sable,Male
Pug,12,58,Cream,Male
Lhasa Apso,1,5,Sable,Female
Jack Russell Terrier,4,31,Blue,Male
Dachshund,11,9,Black and White,Female
Samoyed,5,58,Merle,Female
Basenji,11,48,Cream,Male
Cavalier King Charles Spaniel,7,52,Black,Male
Bichon Frise,2,14,White,Female
Alaskan Malamute,14,11,Merle,Female
Schnauzer,4,34,Spotted,Female
Boston Terrier,4,10,Black,Female
Beagle,3,6,Black and Tan,Male
Boxer,5,27,Blue,Female
Bichon Frise,5,31,Red,Female
Jack Russell Terrier,11,34,Bicolor,Male
Saint Bernard,5,10,Spotted,Male
Cocker Spaniel,10,21,Brindle,Male
Siberian Husky,6,31,White,Male
Miniature Schnauzer,9,49,White,Female
Rottweiler,4,31,Bicolor,Male
Dachshund,7,19,White,Female
Akita,6,29,Blue,Male
Chesapeake Bay Retriever,4,13,Brindle,Male
Alaskan Malamute,4,24,Black and Tan,Female
French Bulldog,8,34,Cream,Female
Siberian Husky,1,16,Red,Male
Weimaraner,10,51,Bicolor,Male
German Shepherd,8,26,Gray,Female
Rottweiler,11,7,White,Male
Labrador Retriever,13,31,White,Male
Bull Terrier,5,58,Red,Female
Maltese,1,53,Gray,Female
Weimaraner,12,48,Brindle,Male
Saint Bernard,13,9,Blue,Female
Poodle,11,27,Merle,Female
Beagle,13,23,Merle,Male
French Bulldog,12,43,Gray,Female
Akita,6,6,Black and Tan,Male
Basenji,11,9,Spotted,Male
Chesapeake Bay Retriever,4,44,Red,Female
Great Dane,12,24,Red,Male
Bulldog,7,32,Tricolor,Female
Border Collie,8,12,Blue,Male
Shiba Inu,1,53,White,Female
Samoyed,4,58,Brindle,Male
Chinese Shar-Pei,3,34,Cream,Male
Boxer,1,39,Red,Female
Dogo Argentino,8,29,Cream,Male
Poodle,1,17,Black and White,Male
Chesapeake Bay Retriever,8,10,Merle,Male
Rottweiler,3,49,Spotted,Male
Cavalier King Charles Spaniel,1,18,White,Male
Yorkshire Terrier,3,53,Tan,Male
Boston Terrier,7,43,Cream,Male
Rottweiler,13,20,Brindle,Female
French Bulldog,1,5,Black and Tan,Female
Shetland Sheepdog,13,54,Bicolor,Female
Bichon Frise,9,56,Merle,Female
Airedale Terrier,4,9,Tricolor,Male
French Bulldog,14,50,Cream,Male
Bloodhound,11,27,Tan,Female
Boston Terrier,4,35,Merle,Male
Rottweiler,7,37,Bicolor,Female
Cocker Spaniel,7,36,Sable,Female
Schnauzer,7,50,Sable,Female
Labrador Retriever,5,41,Black and Tan,Female
Poodle,11,8,Bicolor,Male
Bichon Frise,3,40,Black and Tan,Female
Alaskan Malamute,6,24,Black and Tan,Male
Cavalier King Charles Spaniel,5,39,Brown,Female
Boxer,11,22,Black and White,Female
Cocker Spaniel,3,49,Brown,Male
Rottweiler,1,8,Bicolor,Male
Shetland Sheepdog,10,13,Merle,Male
Vizsla,12,6,Black,Female
Great Dane,2,20,White,Male
Yorkshire Terrier,11,46,Sable,Female
Alaskan Malamute,6,13,Blue,Male
Irish Setter,14,57,Sable,Female
Labrador Retriever,10,27,Sable,Female
Basenji,14,15,Cream,Male
Chinese Shar-Pei,6,49,Cream,Female
Bloodhound,9,17,Gray,Female
Bernese Mountain Dog,5,8,Brindle,Male
Dachshund,13,27,Spotted,Female
